Date,Year,Month,LGA,Population Band,Revenue Target,Actual Revenue,Registered Taxpayers,Active Taxpayers,Collection Gap
20/04/2021,2021,4,Daura,Medium,216073050,122243233.5,6666,3779,93829816.47
20/04/2021,2021,4,Funtua,High,133893685,113428019.2,19447,7262,20465665.83
20/04/2021,2021,4,Malumfashi,Low,237664434,151621383.5,3941,1606,86043050.5
20/04/2021,2021,4,Dutsin-Ma,Low,123080041,75382021.54,17203,8852,47698019.46
20/04/2021,2021,4,Kankia,Low,25356654,13680279.56,1649,1173,11676374.44
20/04/2021,2021,4,Mani,High,144569856,95719358.64,17828,13181,48850497.36
20/04/2021,2021,4,Mashi,Medium,172466748,203856374,28538,12560,-31389625.96
20/04/2021,2021,4,Musawa,Medium,173967037,181912445.1,9425,5602,-7945408.1
20/04/2021,2021,4,Bakori,Low,200563047,205968096.8,23488,15514,-5405049.77
20/04/2021,2021,4,Charanchi,Low,100870702,71217216.25,26430,14814,29653485.75
20/04/2021,2021,4,Jibia,High,131932137,136154212.6,29135,18681,-4222075.55
20/04/2021,2021,4,Batsari,Low,192076722,178765378.8,26017,21202,13311343.18
20/04/2021,2021,4,Rimi,High,110573973,129671165.4,24660,14280,-19097192.4
20/04/2021,2021,4,Kusada,Low,110915762,101043605.3,31370,13192,9872156.66
20/05/2021,2021,5,Katsina,High,168070375,194537755.4,16933,9677,-26467380.43
20/05/2021,2021,5,Daura,High,90343948,48128780.27,17048,8830,42215167.73
20/05/2021,2021,5,Funtua,Low,47536788,44572449.58,9305,6773,2964338.42
20/05/2021,2021,5,Malumfashi,Low,48703975,51734803.07,16733,13048,-3030828.07
20/05/2021,2021,5,Dutsin-Ma,Low,185706778,167763544,17601,13813,17943233.99
20/05/2021,2021,5,Kankia,High,107630744,73953616,15473,9389,33677128
20/05/2021,2021,5,Mani,Low,50446117,30292123.41,5354,2980,20153993.59
20/05/2021,2021,5,Mashi,High,194045924,183766418.1,23663,16858,10279505.93
20/05/2021,2021,5,Musawa,Medium,235412736,150095646.5,23253,15191,85317089.53
20/05/2021,2021,5,Bakori,Low,160919830,176264880.7,11004,5945,-15345050.68
20/05/2021,2021,5,Charanchi,Medium,114120618,91710979.88,19959,14027,22409638.12
20/05/2021,2021,5,Jibia,Low,147080505,167395972,17398,7747,-20315467
20/05/2021,2021,5,Batsari,Medium,39565957,35371637.78,25702,18482,4194319.22
20/05/2021,2021,5,Rimi,Medium,127441403,151119950.4,7007,2520,-23678547.41
20/05/2021,2021,5,Kusada,High,213156230,167740963.3,12823,8343,45415266.75
20/06/2021,2021,6,Katsina,Medium,167216531,135514780.7,17272,11885,31701750.31
20/06/2021,2021,6,Daura,High,46529192,39027633.54,23610,8838,7501558.46
20/06/2021,2021,6,Funtua,Low,100515972,113658756.8,24408,12225,-13142784.8
20/06/2021,2021,6,Malumfashi,High,245020043,117569947.8,7054,3462,127450095.3
20/06/2021,2021,6,Dutsin-Ma,Medium,155263994,104535897.9,26972,20620,50728096.13
20/06/2021,2021,6,Kankia,Low,132317756,116519000.5,32157,21949,15798755.53
20/06/2021,2021,6,Mani,Medium,50637193,41609163.35,23703,12044,9028029.65
20/06/2021,2021,6,Mashi,High,215150877,229454581.5,9874,7732,-14303704.47
20/06/2021,2021,6,Musawa,Low,153128092,91276303.47,24149,12499,61851788.53
20/06/2021,2021,6,Bakori,Low,235748283,233033878.4,5189,4069,2714404.65
20/06/2021,2021,6,Charanchi,Low,59959945,56133926.5,11441,7618,3826018.5
20/06/2021,2021,6,Jibia,High,199001590,188546901.4,30208,19430,10454688.61
20/06/2021,2021,6,Batsari,Medium,99046672,70280666.94,32530,19136,28766005.06
20/06/2021,2021,6,Rimi,High,221243944,238178898.5,11414,6961,-16934954.54
20/06/2021,2021,6,Kusada,High,49263946,38480264.56,6778,3221,10783681.44
20/07/2021,2021,7,Katsina,Medium,220055769,143328886.6,10763,7965,76726882.42
20/07/2021,2021,7,Daura,Low,186400890,202439082.6,20875,12731,-16038192.6
20/07/2021,2021,7,Funtua,Low,181365155,161747306.7,16195,10209,19617848.3
20/07/2021,2021,7,Malumfashi,Low,69851393,37547634.31,24940,14054,32303758.69
20/07/2021,2021,7,Dutsin-Ma,High,232094162,199388988,25634,14191,32705174.04
20/07/2021,2021,7,Kankia,Low,42714991,31340258.71,14579,11083,11374732.29
20/07/2021,2021,7,Mani,Medium,84412573,98803298.97,27217,18402,-14390725.97
20/07/2021,2021,7,Mashi,Medium,96240133,105615470,11808,4957,-9375337.04
20/07/2021,2021,7,Musawa,High,189116627,131835192.1,12606,4601,57281434.95
20/07/2021,2021,7,Bakori,Medium,240083805,110080493.3,33254,16139,130003311.7
20/07/2021,2021,7,Charanchi,Low,144442755,105995488.3,34832,15067,38447266.69
20/07/2021,2021,7,Jibia,Medium,81507466,54815544.84,21696,11135,26691921.16
20/07/2021,2021,7,Batsari,Low,239629676,276864977.1,12247,6239,-37235301.07
20/07/2021,2021,7,Rimi,Low,233308648,217018591,27122,15748,16290057.05
20/07/2021,2021,7,Kusada,Low,105616099,60876209.85,7372,5345,44739889.15
20/08/2021,2021,8,Katsina,Medium,214689915,118366614.4,5594,2144,96323300.63
20/08/2021,2021,8,Daura,Medium,71634918,37377255.33,15632,10987,34257662.67
20/08/2021,2021,8,Funtua,Low,50602448,36263640.83,21661,14297,14338807.17
20/08/2021,2021,8,Malumfashi,High,194020718,169997998.5,7273,4126,24022719.46
20/08/2021,2021,8,Dutsin-Ma,Low,140881475,168017999,5362,3929,-27136524.02
20/08/2021,2021,8,Kankia,Medium,95737845,96089677.15,12319,8597,-351832.15
20/08/2021,2021,8,Mani,Low,152706612,110795131.8,1906,1556,41911480.23
20/08/2021,2021,8,Mashi,High,106742234,127285845.1,13891,7754,-20543611.06
20/08/2021,2021,8,Musawa,High,190218221,179434282.4,19062,9805,10783938.56
20/08/2021,2021,8,Bakori,Medium,35965115,36541594.36,19773,14540,-576479.36
20/08/2021,2021,8,Charanchi,Medium,103966859,79009585.89,29963,11676,24957273.11
20/08/2021,2021,8,Jibia,High,141138755,114918754.3,14885,8335,26220000.75
20/08/2021,2021,8,Batsari,High,148880779,139493996.4,32534,20428,9386782.59
20/08/2021,2021,8,Rimi,Medium,85149377,48488771.37,32576,12722,36660605.63
20/08/2021,2021,8,Kusada,Low,106196275,66193021.11,32040,26213,40003253.89
20/09/2021,2021,9,Katsina,High,227129774,128380682.3,32823,25228,98749091.67
20/09/2021,2021,9,Daura,Medium,204783380,186113267.7,14754,6135,18670112.33
20/09/2021,2021,9,Funtua,High,28460239,28019415.62,6937,2591,440823.38
20/09/2021,2021,9,Malumfashi,Medium,39107322,41655825.02,17943,7058,-2548503.02
20/09/2021,2021,9,Dutsin-Ma,Medium,193345337,202139960.7,13211,9504,-8794623.66
20/09/2021,2021,9,Kankia,Low,219038428,108707505,11433,4478,110330923
20/09/2021,2021,9,Mani,Medium,47205473,36567650.96,24324,19638,10637822.04
20/09/2021,2021,9,Mashi,Medium,205066418,244721137.8,30172,11418,-39654719.82
20/09/2021,2021,9,Musawa,Medium,161890335,95836602.05,21847,17569,66053732.95
20/09/2021,2021,9,Bakori,Medium,73475946,80855270.4,29120,18015,-7379324.4
20/09/2021,2021,9,Charanchi,Medium,176112707,145685403.3,9615,4569,30427303.69
20/09/2021,2021,9,Jibia,Low,90420862,83820147.2,4930,3308,6600714.8
20/09/2021,2021,9,Batsari,Low,37325059,40629292.42,23325,19106,-3304233.42
20/09/2021,2021,9,Rimi,Medium,84075759,68493076.8,30950,17823,15582682.2
20/09/2021,2021,9,Kusada,Low,211216940,156315457.8,31311,22589,54901482.22
20/10/2021,2021,10,Katsina,Low,39359607,44981979.93,9495,6225,-5622372.93
20/10/2021,2021,10,Daura,Low,168260905,156176714.7,6087,3091,12084190.26
20/10/2021,2021,10,Funtua,Low,75415227,51908583.63,24828,19999,23506643.37
20/10/2021,2021,10,Malumfashi,Medium,210167323,222893193.1,8668,4564,-12725870.09
20/10/2021,2021,10,Dutsin-Ma,Low,60421295,52354590.56,6125,4322,8066704.44
20/10/2021,2021,10,Kankia,Low,230087602,203039489.9,28392,18649,27048112.15
20/10/2021,2021,10,Mani,High,141044670,147678708.1,10653,6901,-6634038.08
20/10/2021,2021,10,Mashi,Medium,167943775,123827059.9,3721,1385,44116715.12
20/10/2021,2021,10,Musawa,High,164042481,77508234.26,31818,23979,86534246.74
20/10/2021,2021,10,Bakori,High,42176042,34943779.09,27082,17143,7232262.91
20/10/2021,2021,10,Charanchi,Medium,127151455,117101388.7,5168,2226,10050066.31
20/10/2021,2021,10,Jibia,Medium,101342001,80106822.53,1228,512,21235178.47
20/10/2021,2021,10,Batsari,High,121143658,104567228.3,6184,3072,16576429.73
20/10/2021,2021,10,Rimi,Low,194442179,131282116.5,30334,11350,63160062.54
20/10/2021,2021,10,Kusada,High,181797887,157894544,31308,12821,23903342.96
20/11/2021,2021,11,Katsina,Low,158896550,153597192.9,12652,7178,5299357.11
20/11/2021,2021,11,Daura,High,194231012,156807028.2,13129,5009,37423983.8
20/11/2021,2021,11,Funtua,High,37159994,31759184.97,26983,12377,5400809.03
20/11/2021,2021,11,Malumfashi,Medium,53413588,34963806.28,1172,677,18449781.72
20/11/2021,2021,11,Dutsin-Ma,Low,181577672,105195931.8,4912,3167,76381740.2
20/11/2021,2021,11,Kankia,Low,114038763,99053818,3470,1738,14984945
20/11/2021,2021,11,Mani,Medium,35641668,33759854.11,20382,8872,1881813.89
20/11/2021,2021,11,Mashi,Medium,183809268,169942153.8,26473,10816,13867114.19
20/11/2021,2021,11,Musawa,Medium,213351877,220308551.3,30492,14510,-6956674.33
20/11/2021,2021,11,Bakori,Low,26143351,11981790.13,11895,5953,14161560.87
20/11/2021,2021,11,Charanchi,Low,111761751,71414474.47,34945,14312,40347276.53
20/11/2021,2021,11,Jibia,High,80998485,38485700.79,31657,21441,42512784.21
20/11/2021,2021,11,Batsari,Low,43352217,40393857.1,22855,14296,2958359.9
20/11/2021,2021,11,Rimi,High,111088523,99707916.96,19660,12667,11380606.04
20/11/2021,2021,11,Kusada,High,241960914,235971275.5,19781,8899,5989638.46
20/12/2021,2021,12,Katsina,Low,28867424,17503988.36,19513,9876,11363435.64
20/12/2021,2021,12,Daura,Low,228658945,269316110,5374,4273,-40657165.04
20/12/2021,2021,12,Funtua,Low,230577047,174387365.5,20458,7286,56189681.54
20/12/2021,2021,12,Malumfashi,Medium,185079599,172535450.4,32889,20319,12544148.64
20/12/2021,2021,12,Dutsin-Ma,Medium,138313594,97457205.49,2853,1346,40856388.51
20/12/2021,2021,12,Kankia,High,71480779,37939857.77,26191,15591,33540921.23
20/12/2021,2021,12,Mani,High,62855680,51597434.79,26091,11307,11258245.21
20/12/2021,2021,12,Mashi,Medium,229904916,210379069.7,10221,7553,19525846.26
20/12/2021,2021,12,Musawa,High,142035128,70801888.84,10926,8271,71233239.16
20/12/2021,2021,12,Bakori,High,201248249,192856426.7,32049,13009,8391822.28
20/12/2021,2021,12,Charanchi,High,205444572,186084985.2,34842,21868,19359586.85
20/12/2021,2021,12,Jibia,High,47499180,21755748.79,17410,13282,25743431.21
20/12/2021,2021,12,Batsari,High,147957106,157445490.5,17180,11534,-9488384.51
20/12/2021,2021,12,Rimi,Medium,38084216,27727055.75,22373,8013,10357160.25
20/12/2021,2021,12,Kusada,High,94626330,57601597.11,9772,3678,37024732.89
20/01/2022,2022,1,Katsina,Low,49213142,57664335.32,8273,5102,-8451193.32
20/01/2022,2022,1,Daura,Low,182850876,154362352.5,23724,12634,28488523.47
20/01/2022,2022,1,Funtua,High,41048977,41289268.38,1042,719,-240291.38
20/01/2022,2022,1,Malumfashi,Low,44978784,21979652.74,5033,2507,22999131.26
20/01/2022,2022,1,Dutsin-Ma,Medium,217456606,161961121.1,16217,10191,55495484.87
20/01/2022,2022,1,Kankia,Medium,68511793,38604267.65,22156,15761,29907525.35
20/01/2022,2022,1,Mani,Low,221108243,189821867.5,12741,7192,31286375.52
20/01/2022,2022,1,Mashi,Medium,186454943,177446911.5,4191,2296,9008031.47
20/01/2022,2022,1,Musawa,Low,198526019,136816433.5,6128,2960,61709585.51
20/01/2022,2022,1,Bakori,Medium,247119542,178067984.9,3562,1598,69051557.08
20/01/2022,2022,1,Charanchi,Low,145110075,170213774.9,4624,1991,-25103699.92
20/01/2022,2022,1,Jibia,Medium,168990112,140450899.6,6825,3330,28539212.45
20/01/2022,2022,1,Batsari,Low,180002696,212409500.2,3791,2730,-32406804.22
20/01/2022,2022,1,Rimi,Low,56402799,27087231.67,2367,1174,29315567.33
20/01/2022,2022,1,Kusada,Medium,70637146,69945164.88,28934,11948,691981.12
20/02/2022,2022,2,Katsina,High,169727840,176551844.8,10629,5524,-6824004.84
20/02/2022,2022,2,Daura,Medium,37666761,29135097.7,26282,12814,8531663.3
20/02/2022,2022,2,Funtua,Low,121388166,68279082.07,23308,19018,53109083.93
20/02/2022,2022,2,Malumfashi,High,115602197,111640073.4,9216,5434,3962123.62
20/02/2022,2022,2,Dutsin-Ma,Low,114967950,81192995.88,21563,11951,33774954.12
20/02/2022,2022,2,Kankia,Medium,137837286,158518421.6,4667,2758,-20681135.62
20/02/2022,2022,2,Mani,Medium,225556637,108634736.7,23709,11737,116921900.3
20/02/2022,2022,2,Mashi,High,240379010,236390226.5,6123,3901,3988783.52
20/02/2022,2022,2,Musawa,High,242404785,119553237.5,34450,14812,122851547.5
20/02/2022,2022,2,Bakori,Medium,119207006,139784611.3,32206,15499,-20577605.33
20/02/2022,2022,2,Charanchi,High,97253053,45931438.09,18026,13169,51321614.91
20/02/2022,2022,2,Jibia,Low,202690808,181418141.4,22954,17139,21272666.56
20/02/2022,2022,2,Batsari,Low,247701656,245902540.2,28353,15488,1799115.78
20/02/2022,2022,2,Rimi,High,162496939,98195574.45,16735,11252,64301364.55
20/02/2022,2022,2,Kusada,Medium,195754974,126115209.9,7682,6220,69639764.06
20/03/2022,2022,3,Katsina,Low,192629278,173594243.7,5930,3797,19035034.31
20/03/2022,2022,3,Daura,Low,62079174,66154015.51,15682,5900,-4074841.51
20/03/2022,2022,3,Funtua,High,47192693,50181138.91,30206,18524,-2988445.91
20/03/2022,2022,3,Malumfashi,Medium,55166695,64176825.88,32261,23681,-9010130.88
20/03/2022,2022,3,Dutsin-Ma,Low,238268366,278670005.5,8940,3438,-40401639.52
20/03/2022,2022,3,Kankia,Medium,96306566,63359865.39,24835,10027,32946700.61
20/03/2022,2022,3,Mani,Low,189305035,168870071.2,34889,13484,20434963.84
20/03/2022,2022,3,Mashi,Low,170775102,141985351.5,15187,5848,28789750.51
20/03/2022,2022,3,Musawa,Medium,176336398,176673724.8,11268,7809,-337326.76
20/03/2022,2022,3,Bakori,Low,220091968,112874763.1,3839,1869,107217204.9
20/03/2022,2022,3,Charanchi,High,201578762,154451731.2,3114,1192,47127030.85
20/03/2022,2022,3,Jibia,Medium,200713723,126134568.7,17638,13011,74579154.28
20/03/2022,2022,3,Batsari,High,132039855,111821970.4,24212,9419,20217884.6
20/03/2022,2022,3,Rimi,High,95042069,76213894.83,18015,13104,18828174.17
20/03/2022,2022,3,Kusada,Medium,159094886,108903612.8,24621,15268,50191273.22
20/04/2022,2022,4,Katsina,Low,84739454,41318909.99,5315,3251,43420544.01
20/04/2022,2022,4,Daura,High,245571016,137398690.3,11144,7381,108172325.7
20/04/2022,2022,4,Funtua,Medium,79504179,91553335.86,1129,568,-12049156.86
20/04/2022,2022,4,Malumfashi,Low,205356835,161980601.1,6640,4090,43376233.88
20/04/2022,2022,4,Dutsin-Ma,High,112755638,85021302.76,32100,11636,27734335.24
20/04/2022,2022,4,Kankia,Low,55614066,31602835.33,4682,2394,24011230.67
20/04/2022,2022,4,Mani,High,83411637,51149762.06,27422,9666,32261874.94
20/04/2022,2022,4,Mashi,Low,218622768,197679410.1,29891,21744,20943357.9
20/04/2022,2022,4,Musawa,Low,242393892,283161371.9,14840,11621,-40767479.9
20/04/2022,2022,4,Bakori,Medium,91471325,104798226.6,28436,19888,-13326901.6
20/04/2022,2022,4,Charanchi,Low,242534534,178725040.2,20819,14689,63809493.85
20/04/2022,2022,4,Jibia,Medium,155640154,171976470.3,3000,1600,-16336316.31
20/04/2022,2022,4,Batsari,Low,86903300,61064796.01,8776,3748,25838503.99
20/04/2022,2022,4,Rimi,High,63049924,37307144.74,33409,19133,25742779.26
20/04/2022,2022,4,Kusada,High,179725861,151866526.4,24003,14676,27859334.56
20/05/2022,2022,5,Katsina,Low,115259471,129817241.8,17181,7403,-14557770.8
20/05/2022,2022,5,Daura,Low,245263465,163438613.1,24482,14145,81824851.94
20/05/2022,2022,5,Funtua,Medium,127344923,121090624.4,24231,14916,6254298.65
20/05/2022,2022,5,Malumfashi,Medium,75625370,40717882.63,32618,11775,34907487.37
20/05/2022,2022,5,Dutsin-Ma,Low,179952294,161076812.4,32584,25160,18875481.64
20/05/2022,2022,5,Kankia,Medium,92018732,62272425.1,32237,16942,29746306.9
20/05/2022,2022,5,Mani,Medium,150238498,153248305.7,23646,15314,-3009807.65
20/05/2022,2022,5,Mashi,Low,56691492,56639197.68,34042,24926,52294.32
20/05/2022,2022,5,Musawa,High,226042270,193091885.9,30132,12962,32950384.14
20/05/2022,2022,5,Bakori,Low,129602860,125327393.8,6724,2380,4275466.17
20/05/2022,2022,5,Charanchi,Medium,181593154,201073223.7,23936,8378,-19480069.68
20/05/2022,2022,5,Jibia,High,29760690,15807030.66,26263,21126,13953659.34
20/05/2022,2022,5,Batsari,High,155545721,150594584.2,19378,14673,4951136.81
20/05/2022,2022,5,Rimi,Medium,71908454,79364427.6,9467,3573,-7455973.6
20/05/2022,2022,5,Kusada,Medium,174239070,175133005.1,22024,17619,-893935.09
20/06/2022,2022,6,Katsina,High,141023809,144735557.2,7175,4027,-3711748.23
20/06/2022,2022,6,Daura,Low,109850242,77048083.45,30871,10884,32802158.55
20/06/2022,2022,6,Funtua,High,50338141,39712009.47,20085,12023,10626131.53
20/06/2022,2022,6,Malumfashi,High,59773943,65077989.91,8987,5679,-5304046.91
20/06/2022,2022,6,Dutsin-Ma,High,167739657,157999531.3,10723,6200,9740125.73
20/06/2022,2022,6,Kankia,Medium,64886828,35262812.33,5911,4164,29624015.67
20/06/2022,2022,6,Mani,Low,71544019,32674319.96,33248,26160,38869699.04
20/06/2022,2022,6,Mashi,High,130642337,145862793.2,19189,12382,-15220456.22
20/06/2022,2022,6,Musawa,Low,178008358,100753540.8,27381,19839,77254817.21
20/06/2022,2022,6,Bakori,Low,47376652,46764180.37,26986,15309,612471.63
20/06/2022,2022,6,Charanchi,Low,44538972,36796309.39,31252,21713,7742662.61
20/06/2022,2022,6,Jibia,Low,235569350,173072218.5,29268,14012,62497131.46
20/06/2022,2022,6,Batsari,Medium,29006662,29676173.73,14885,11586,-669511.73
20/06/2022,2022,6,Rimi,Low,163770675,81035487.7,29228,16463,82735187.3
20/06/2022,2022,6,Kusada,Low,43354127,25201793.63,15564,10313,18152333.37
20/07/2022,2022,7,Katsina,Low,118753315,60149276.83,27942,21902,58604038.17
20/07/2022,2022,7,Daura,High,98278453,92716675.51,4186,2348,5561777.49
20/07/2022,2022,7,Funtua,Low,214646213,174281871.2,33774,21254,40364341.85
20/07/2022,2022,7,Malumfashi,Low,123195428,83286674.93,13072,9477,39908753.07
20/07/2022,2022,7,Dutsin-Ma,Low,172382164,162538436.7,21717,13637,9843727.3
20/07/2022,2022,7,Kankia,Medium,245807597,214071752.1,4127,3227,31735844.91
20/07/2022,2022,7,Mani,Low,155659323,160704063.9,12682,8872,-5044740.85
20/07/2022,2022,7,Mashi,Medium,95213006,96143493.35,33429,13679,-930487.35
20/07/2022,2022,7,Musawa,Low,127188788,120531771.8,13710,5398,6657016.22
20/07/2022,2022,7,Bakori,High,135168479,122637016.7,32098,24939,12531462.33
20/07/2022,2022,7,Charanchi,Medium,132263766,155209815.4,6055,3569,-22946049.35
20/07/2022,2022,7,Jibia,Low,147537781,93971624.56,5227,3273,53566156.44
20/07/2022,2022,7,Batsari,High,240923753,123667748.5,25278,16120,117256004.5
20/07/2022,2022,7,Rimi,Medium,148565340,95925760.42,11841,6606,52639579.58
20/07/2022,2022,7,Kusada,Medium,105265594,70180898.8,4708,1993,35084695.2
20/08/2022,2022,8,Katsina,High,90237019,99044739.68,23939,16165,-8807720.68
20/08/2022,2022,8,Daura,Low,55677148,48157054.36,30180,12364,7520093.64
20/08/2022,2022,8,Funtua,High,40786929,36104445.75,3526,1464,4682483.25
20/08/2022,2022,8,Malumfashi,Medium,239888087,260648102.3,34345,15874,-20760015.32
20/08/2022,2022,8,Dutsin-Ma,Medium,218050485,246940365.3,33273,24351,-28889880.28
20/08/2022,2022,8,Kankia,Medium,100751802,56081440.14,30955,19665,44670361.86
20/08/2022,2022,8,Mani,Low,53548880,38330809.14,32282,19309,15218070.86
20/08/2022,2022,8,Mashi,Low,30140823,29057242.02,17204,7902,1083580.98
20/08/2022,2022,8,Musawa,High,197862783,154085378,20499,9330,43777405.03
20/08/2022,2022,8,Bakori,Low,91849012,78321080.68,12203,8024,13527931.32
20/08/2022,2022,8,Charanchi,High,206787005,105798594.2,16506,6075,100988410.8
20/08/2022,2022,8,Jibia,Low,80445117,41781939.5,9230,6924,38663177.5
20/08/2022,2022,8,Batsari,Medium,247912202,192842058.4,24704,12639,55070143.64
20/08/2022,2022,8,Rimi,Low,115950784,82235192.42,1328,988,33715591.58
20/08/2022,2022,8,Kusada,Medium,136588521,85938565.64,17075,13202,50649955.36
20/09/2022,2022,9,Katsina,Medium,78615682,82081018.45,12708,4806,-3465336.45
20/09/2022,2022,9,Daura,High,62575124,36300071.73,24853,13254,26275052.27
20/09/2022,2022,9,Funtua,Low,140598355,152692647.8,3781,2940,-12094292.77
20/09/2022,2022,9,Malumfashi,High,100224044,55950274.48,31062,17443,44273769.52
20/09/2022,2022,9,Dutsin-Ma,Medium,139498860,90302046.66,22928,15980,49196813.34
20/09/2022,2022,9,Kankia,Medium,180553669,133118155.1,8620,3960,47435513.9
20/09/2022,2022,9,Mani,Medium,33727506,18773961.07,31552,20798,14953544.93
20/09/2022,2022,9,Mashi,Low,170561621,155341842.3,34668,20418,15219778.7
20/09/2022,2022,9,Musawa,High,152281832,70738580.85,4206,2516,81543251.15
20/09/2022,2022,9,Bakori,Medium,100456815,98693418.32,33973,25723,1763396.68
20/09/2022,2022,9,Charanchi,Low,101937952,56823470.31,15516,8126,45114481.69
20/09/2022,2022,9,Jibia,High,172530912,205684448.5,19153,11083,-33153536.47
20/09/2022,2022,9,Batsari,Medium,162657242,148536339.7,27999,22849,14120902.34
20/09/2022,2022,9,Rimi,Medium,213163967,216487591.1,13003,7788,-3323624.08
20/09/2022,2022,9,Kusada,High,220988314,208437904.9,3956,1534,12550409.14
20/10/2022,2022,10,Katsina,Medium,233077119,149557067.8,28702,12350,83520051.19
20/10/2022,2022,10,Daura,Low,240221959,189633302.3,12663,9619,50588656.71
20/10/2022,2022,10,Funtua,High,51703281,60970801.66,9892,5547,-9267520.66
20/10/2022,2022,10,Malumfashi,Low,182276358,172307339.9,33619,16030,9969018.13
20/10/2022,2022,10,Dutsin-Ma,High,110321060,102336286.9,26147,13366,7984773.1
20/10/2022,2022,10,Kankia,Low,152070658,104690241,16677,8589,47380417.05
20/10/2022,2022,10,Mani,Medium,161207829,98140113.57,17454,10300,63067715.43
20/10/2022,2022,10,Mashi,Low,173296913,122222328.2,23851,18097,51074584.84
20/10/2022,2022,10,Musawa,High,156310695,183296783.4,34130,14108,-26986088.4
20/10/2022,2022,10,Bakori,Low,171008049,152601063.6,29205,18601,18406985.38
20/10/2022,2022,10,Charanchi,Low,182994008,167334570.1,34331,22835,15659437.89
