Date,Branch,Product,Revenue,Target,Cost,Profit
2021-05-01,Abuja,Product D,10436429,12877274.15,6359311.11,4077117.89
2021-05-01,Port Harcourt,Product A,2954280,3669675.98,1400427.51,1553852.49
2021-05-01,Port Harcourt,Product B,5117625,5443639.55,2407270.71,2710354.29
2021-05-01,Port Harcourt,Product C,5946066,6723544.52,4355367.52,1590698.48
2021-05-01,Port Harcourt,Product D,11557567,12704575.43,7262263.63,4295303.37
2021-05-01,Kano,Product A,12391497,13214251.27,8019924.93,4371572.07
2021-05-01,Kano,Product B,11482934,13257696.58,8387271.38,3095662.62
2021-05-01,Kano,Product C,5426900,6425152.18,2953618.32,2473281.68
2021-05-01,Kano,Product D,6456272,7290145.82,4206306.83,2249965.17
2021-05-01,Ibadan,Product A,7033115,8027913.35,5125069.58,1908045.42
2021-05-01,Ibadan,Product B,3217071,3383918.25,2047175.98,1169895.02
2021-05-01,Ibadan,Product C,11445465,14297895.66,5402010.16,6043454.84
2021-05-01,Ibadan,Product D,5576135,6419118.02,2730839.47,2845295.53
2021-06-01,Lagos,Product A,7855396,9632073.18,5607032.98,2248363.02
2021-06-01,Lagos,Product B,8199635,9076975.27,4767721.82,3431913.18
2021-06-01,Lagos,Product C,11113685,13233153.47,7040556.45,4073128.55
2021-06-01,Lagos,Product D,12971901,14992769.31,8436392.06,4535508.94
2021-06-01,Abuja,Product A,11304682,12546792.42,7336926.44,3967755.56
2021-06-01,Abuja,Product B,4253031,4690638.9,3049056.67,1203974.33
2021-06-01,Abuja,Product C,14455685,16777914.59,7686152.24,6769532.76
2021-06-01,Abuja,Product D,12147360,13266446.85,6715839.09,5431520.91
2021-06-01,Port Harcourt,Product A,13534287,15927793.06,7162279.32,6372007.68
2021-06-01,Port Harcourt,Product B,10196204,11218110.9,7366224.27,2829979.73
2021-06-01,Port Harcourt,Product C,2852264,3047529.12,1645963.78,1206300.22
2021-06-01,Port Harcourt,Product D,6641923,7032583.33,3653502.4,2988420.6
2021-06-01,Kano,Product A,4194789,4939039.69,2217309.17,1977479.83
2021-06-01,Kano,Product B,14435791,16433229.57,9552166.28,4883624.72
2021-06-01,Kano,Product C,11410455,12003044.88,5392274.75,6018180.25
2021-06-01,Kano,Product D,13593385,16730544.07,8341948.91,5251436.09
2021-06-01,Ibadan,Product A,8194416,9558801.94,4051549.83,4142866.17
2021-06-01,Ibadan,Product B,4138181,4379709.13,2314879.64,1823301.36
2021-06-01,Ibadan,Product C,2669324,3282694.42,1369424.5,1299899.5
2021-06-01,Ibadan,Product D,6186414,7320919.94,3440287.04,2746126.96
2021-07-01,Lagos,Product A,11393286,13977590.2,6515970.85,4877315.15
2021-07-01,Lagos,Product B,12412972,14894269.52,9033281.52,3379690.48
2021-07-01,Lagos,Product C,5971793,7303031.9,4436216.96,1535576.04
2021-07-01,Lagos,Product D,4970445,6095173.4,2273660.02,2696784.98
2021-07-01,Abuja,Product A,14357501,17730041.5,9830809.92,4526691.08
2021-07-01,Abuja,Product B,8907400,10781935.86,6317299.18,2590100.82
2021-07-01,Abuja,Product C,6163555,6800627.08,4229507.58,1934047.42
2021-07-01,Abuja,Product D,3813543,4295988.01,1760397.74,2053145.26
2021-07-01,Port Harcourt,Product A,9896868,10831990.83,6878085.55,3018782.45
2021-07-01,Port Harcourt,Product B,9722606,10888654.52,6768498.28,2954107.72
2021-07-01,Port Harcourt,Product C,5818418,6368751.38,3770392.79,2048025.21
2021-07-01,Port Harcourt,Product D,8685149,9689607.24,6160427.28,2524721.72
2021-07-01,Kano,Product A,14974268,16558919.89,9620136.44,5354131.56
2021-07-01,Kano,Product B,8705490,10323872.14,6120815.65,2584674.35
2021-07-01,Kano,Product C,7555772,9352892.94,3661546.19,3894225.81
2021-07-01,Kano,Product D,6382463,6929526.65,4715110.25,1667352.75
2021-07-01,Ibadan,Product A,6453786,6825856.05,4059246.66,2394539.34
2021-07-01,Ibadan,Product B,7799667,9326132.12,4243823.73,3555843.27
2021-07-01,Ibadan,Product C,12170496,15174748.49,5898963.17,6271532.83
2021-07-01,Ibadan,Product D,11673542,12700997.61,5408538.32,6265003.68
2021-08-01,Lagos,Product A,9315831,9784773.68,6778874.5,2536956.5
2021-08-01,Lagos,Product B,11033725,13101129.82,8077557.66,2956167.34
2021-08-01,Lagos,Product C,14365440,17010486.71,8034108.51,6331331.49
2021-08-01,Lagos,Product D,3173965,3935002.13,2305032.59,868932.41
2021-08-01,Abuja,Product A,12454812,13859504.67,8773226.66,3681585.34
2021-08-01,Abuja,Product B,14075472,17312962.41,8475358.98,5600113.02
2021-08-01,Abuja,Product C,13188606,14925262.93,7527002.75,5661603.25
2021-08-01,Abuja,Product D,6960271,8080056.77,3532699.66,3427571.34
2021-08-01,Port Harcourt,Product A,13155664,16287668.9,8593218.99,4562445.01
2021-08-01,Port Harcourt,Product B,4919694,5771307.71,2658036.69,2261657.31
2021-08-01,Port Harcourt,Product C,11192860,13618856.82,6057155.93,5135704.07
2021-08-01,Port Harcourt,Product D,5526280,6277730.46,3448373.49,2077906.51
2021-08-01,Kano,Product A,12984137,14470169.48,7563724.7,5420412.3
2021-08-01,Kano,Product B,13335144,14571848.99,7893816.58,5441327.42
2021-08-01,Kano,Product C,14347384,15551678.72,6821301.04,7526082.96
2021-08-01,Kano,Product D,10647849,12593964.53,6769670.71,3878178.29
2021-08-01,Ibadan,Product A,3566777,4328942.65,2408792.32,1157984.68
2021-08-01,Ibadan,Product B,13287638,14776968.19,9194631.83,4093006.17
2021-08-01,Ibadan,Product C,4472189,4717645.44,2340979.69,2131209.31
2021-08-01,Ibadan,Product D,9971465,11689097.66,6786048.61,3185416.39
2021-09-01,Lagos,Product A,9640615,10921739.0,6159674.42,3480940.58
2021-09-01,Lagos,Product B,5262081,6281183.93,2974094.19,2287986.81
2021-09-01,Lagos,Product C,8705062,9565095.03,5630585.6,3074476.4
2021-09-01,Lagos,Product D,2093026,2571349.35,1482139.04,610886.96
2021-09-01,Abuja,Product A,3788238,4567418.25,1953413.79,1834824.21
2021-09-01,Abuja,Product B,13675462,15775897.41,6359985.79,7315476.21
2021-09-01,Abuja,Product C,6180853,7624045.11,3006413.75,3174439.25
2021-09-01,Abuja,Product D,4237058,5128040.62,2755245.77,1481812.23
2021-09-01,Port Harcourt,Product A,11377210,13300987.71,8362384.54,3014825.46
2021-09-01,Port Harcourt,Product B,9425149,11051274.34,6275096.33,3150052.67
2021-09-01,Port Harcourt,Product C,10468772,11885700.94,7559044.02,2909727.98
2021-09-01,Port Harcourt,Product D,9481188,11656567.14,6381755.72,3099432.28
2021-09-01,Kano,Product A,9963715,11358774.11,6730818.64,3232896.36
2021-09-01,Kano,Product B,12698183,14037362.21,8676699.56,4021483.44
2021-09-01,Kano,Product C,10130188,11906513.3,5393101.73,4737086.27
2021-09-01,Kano,Product D,3299954,3935884.74,1717124.71,1582829.29
2021-09-01,Ibadan,Product A,7634586,8504485.34,4672715.28,2961870.72
2021-09-01,Ibadan,Product B,4321531,4667971.42,2441278.62,1880252.38
2021-09-01,Ibadan,Product C,4563646,5436597.68,2141576.02,2422069.98
2021-09-01,Ibadan,Product D,8838382,9865192.33,5212676.99,3625705.01
2021-10-01,Lagos,Product A,3044645,3322824.71,1753846.61,1290798.39
2021-10-01,Lagos,Product B,14915029,17403092.73,9823886.7,5091142.3
2021-10-01,Lagos,Product C,14844545,17295944.5,8804209.38,6040335.62
2021-10-01,Lagos,Product D,7901533,8768509.2,4480137.56,3421395.44
2021-10-01,Abuja,Product A,9030010,10453537.92,6053630.37,2976379.63
2021-10-01,Abuja,Product B,12120898,14903398.85,7229738.01,4891159.99
2021-10-01,Abuja,Product C,6579094,7481529.87,3017879.41,3561214.59
2021-10-01,Abuja,Product D,7639317,9043230.37,5266871.32,2372445.68
2021-10-01,Port Harcourt,Product A,14149747,15324302.59,8351421.86,5798325.14
2021-10-01,Port Harcourt,Product B,4141239,5160581.77,2527137.63,1614101.37
2021-10-01,Port Harcourt,Product C,8610562,10060395.99,5587393.05,3023168.95
2021-10-01,Port Harcourt,Product D,3408404,4016974.29,1672537.4,1735866.6
2021-10-01,Kano,Product A,9746014,10587541.43,5146352.42,4599661.58
2021-10-01,Kano,Product B,7492066,8183823.86,4106054.8,3386011.2
2021-10-01,Kano,Product C,14771315,18108568.61,7880156.59,6891158.41
2021-10-01,Kano,Product D,9072684,9984074.18,4305640.61,4767043.39
2021-10-01,Ibadan,Product A,2325197,2789782.64,1082671.44,1242525.56
2021-10-01,Ibadan,Product B,7871360,8617914.68,3704147.97,4167212.03
2021-10-01,Ibadan,Product C,12934628,13685504.21,5940991.05,6993636.95
2021-10-01,Ibadan,Product D,6148725,6701324.05,2804519.59,3344205.41
2021-11-01,Lagos,Product A,4556551,5001766.99,2697789.49,1858761.51
2021-11-01,Lagos,Product B,3919136,4557147.5,2019881.0,1899255.0
2021-11-01,Lagos,Product C,13735074,15125732.93,7700824.06,6034249.94
2021-11-01,Lagos,Product D,12165192,14250908.07,8203934.15,3961257.85
2021-11-01,Abuja,Product A,3921542,4727647.81,1957358.25,1964183.75
2021-11-01,Abuja,Product B,7218367,7735344.64,3303872.04,3914494.96
2021-11-01,Abuja,Product C,7233774,8428499.38,5225735.09,2008038.91
2021-11-01,Abuja,Product D,8296605,9369612.29,5513130.62,2783474.38
2021-11-01,Port Harcourt,Product A,3275009,3826584.61,2289792.92,985216.08
2021-11-01,Port Harcourt,Product B,6074336,6501849.35,4141143.73,1933192.27
2021-11-01,Port Harcourt,Product C,13479961,15772664.08,6555527.72,6924433.28
2021-11-01,Port Harcourt,Product D,11494772,13868753.57,6369955.84,5124816.16
2021-11-01,Kano,Product A,9186990,10861817.49,4324196.95,4862793.05
2021-11-01,Kano,Product B,12863973,14385089.37,9067463.23,3796509.77
2021-11-01,Kano,Product C,10224219,10951240.46,7547889.3,2676329.7
2021-11-01,Kano,Product D,12663348,15554580.34,7445058.4,5218289.6
2021-11-01,Ibadan,Product A,4566765,5192856.74,3060365.46,1506399.54
2021-11-01,Ibadan,Product B,12912864,14256014.65,8941638.78,3971225.22
2021-11-01,Ibadan,Product C,11029043,13289205.92,6501203.2,4527839.8
2021-11-01,Ibadan,Product D,14264584,16668093.99,7798325.04,6466258.96
2021-12-01,Lagos,Product A,6118725,7441264.18,2912506.18,3206218.82
2021-12-01,Lagos,Product B,9563202,10507785.17,5636671.18,3926530.82
2021-12-01,Lagos,Product C,12239666,14487330.04,6743064.38,5496601.62
2021-12-01,Lagos,Product D,10293086,12559526.45,5193396.69,5099689.31
2021-12-01,Abuja,Product A,5558780,6231197.79,2932288.26,2626491.74
2021-12-01,Abuja,Product B,6691890,8204685.39,4419023.86,2272866.14
2021-12-01,Abuja,Product C,6635017,7704304.43,4014106.83,2620910.17
2021-12-01,Abuja,Product D,5205394,5554793.54,3466909.0,1738485.0
2021-12-01,Port Harcourt,Product A,10196976,11839048.5,5323812.42,4873163.58
2021-12-01,Port Harcourt,Product B,9987516,11777084.91,5965007.98,4022508.02
2021-12-01,Port Harcourt,Product C,2289293,2446362.93,1182371.58,1106921.42
2021-12-01,Port Harcourt,Product D,13606262,14948669.86,8833022.1,4773239.9
2021-12-01,Kano,Product A,8191135,9375999.86,4990666.71,3200468.29
2021-12-01,Kano,Product B,9138769,11417304.4,5621407.98,3517361.02
2021-12-01,Kano,Product C,7902401,9408369.37,4198347.52,3704053.48
2021-12-01,Kano,Product D,6217853,6815435.98,4143485.83,2074367.17
2021-12-01,Ibadan,Product A,7294016,7833123.64,4454887.3,2839128.7
2021-12-01,Ibadan,Product B,14787419,17567937.48,7504057.54,7283361.46
2021-12-01,Ibadan,Product C,14391729,16505006.42,9604687.34,4787041.66
2021-12-01,Ibadan,Product D,14754172,17039997.12,7892000.86,6862171.14
2022-01-01,Lagos,Product A,3686548,4484780.29,1986584.64,1699963.36
2022-01-01,Lagos,Product B,8054579,8746373.17,3658748.29,4395830.71
2022-01-01,Lagos,Product C,10961299,11786866.68,5082257.91,5879041.09
2022-01-01,Lagos,Product D,2914794,3383119.18,1921505.71,993288.29
2022-01-01,Abuja,Product A,4118618,4849977.19,2783517.12,1335100.88
2022-01-01,Abuja,Product B,3721135,4556693.34,2315361.89,1405773.11
2022-01-01,Abuja,Product C,9875173,11314408.78,5453186.86,4421986.14
2022-01-01,Abuja,Product D,2861958,3149572.41,2027745.58,834212.42
2022-01-01,Port Harcourt,Product A,3914064,4753329.85,2231847.17,1682216.83
2022-01-01,Port Harcourt,Product B,3242892,3779280.06,2127127.35,1115764.65
2022-01-01,Port Harcourt,Product C,4545556,4908471.0,2813025.87,1732530.13
2022-01-01,Port Harcourt,Product D,7097514,7573304.24,3722342.93,3375171.07
2022-01-01,Kano,Product A,11362911,13668317.12,7180170.0,4182741.0
2022-01-01,Kano,Product B,12375338,13552695.82,7509005.63,4866332.37
2022-01-01,Kano,Product C,9558378,11773062.55,5153934.19,4404443.81
2022-01-01,Kano,Product D,11873813,14818592.86,6431024.22,5442788.78
2022-01-01,Ibadan,Product A,12419109,13189665.79,9165707.72,3253401.28
2022-01-01,Ibadan,Product B,3664863,4542663.8,1877642.61,1787220.39
2022-01-01,Ibadan,Product C,5540415,6110685.62,2628130.43,2912284.57
2022-01-01,Ibadan,Product D,6024269,6534902.36,2846584.34,3177684.66
2022-02-01,Lagos,Product A,2044891,2314210.33,1343107.6,701783.4
2022-02-01,Lagos,Product B,9883823,10953765.2,5134081.39,4749741.61
2022-02-01,Lagos,Product C,13860750,15337525.24,9811775.7,4048974.3
2022-02-01,Lagos,Product D,3194198,3793036.61,2322735.54,871462.46
2022-02-01,Abuja,Product A,12486733,14583978.68,8630476.53,3856256.47
2022-02-01,Abuja,Product B,5318855,6037048.25,3262419.25,2056435.75
2022-02-01,Abuja,Product C,12865507,13892147.19,6814727.08,6050779.92
2022-02-01,Abuja,Product D,4386328,4668289.79,2192185.13,2194142.87
2022-02-01,Port Harcourt,Product A,7160869,8371118.93,4993074.1,2167794.9
2022-02-01,Port Harcourt,Product B,6842082,7785130.88,4040997.88,2801084.12
2022-02-01,Port Harcourt,Product C,7101803,8450767.31,5204221.64,1897581.36
2022-02-01,Port Harcourt,Product D,10396529,12039142.25,6043789.87,4352739.13
2022-02-01,Kano,Product A,12033390,12730991.57,6974656.32,5058733.68
2022-02-01,Kano,Product B,7407658,8672461.74,3390925.58,4016732.42
2022-02-01,Kano,Product C,5840714,7256399.23,4093099.85,1747614.15
2022-02-01,Kano,Product D,11650239,13600775.45,5315114.41,6335124.59
2022-02-01,Ibadan,Product A,14830550,17566138.63,7872846.52,6957703.48
2022-02-01,Ibadan,Product B,2674975,3216983.25,1344328.0,1330647.0
2022-02-01,Ibadan,Product C,10706768,12637218.59,7760499.24,2946268.76
2022-02-01,Ibadan,Product D,5044882,6303020.56,2929893.4,2114988.6
2022-03-01,Lagos,Product A,10249789,12748800.79,6057657.26,4192131.74
2022-03-01,Lagos,Product B,8850944,9883509.99,5762319.05,3088624.95
2022-03-01,Lagos,Product C,4698193,5242998.9,3091890.69,1606302.31
2022-03-01,Lagos,Product D,6835492,8083083.49,3897157.86,2938334.14
2022-03-01,Abuja,Product A,14759068,17120804.05,8655422.55,6103645.45
2022-03-01,Abuja,Product B,7276722,8007885.35,3527583.68,3749138.32
2022-03-01,Abuja,Product C,14961203,16918652.17,9042235.05,5918967.95
2022-03-01,Abuja,Product D,2019311,2385880.72,1237389.51,781921.49
2022-03-01,Port Harcourt,Product A,8933143,9476642.72,5409302.32,3523840.68
2022-03-01,Port Harcourt,Product B,12446062,14951312.78,7935890.69,4510171.31
2022-03-01,Port Harcourt,Product C,14750525,15640311.41,7819502.17,6931022.83
2022-03-01,Port Harcourt,Product D,4198037,5186819.76,2440884.92,1757152.08
2022-03-01,Kano,Product A,13714691,15729960.05,6290391.59,7424299.41
2022-03-01,Kano,Product B,12570019,14729225.63,6558900.64,6011118.36
2022-03-01,Kano,Product C,4657144,5179442.83,2114819.99,2542324.01
2022-03-01,Kano,Product D,8844947,9452080.44,6613164.69,2231782.31
2022-03-01,Ibadan,Product A,3903561,4458997.05,1894163.33,2009397.67
2022-03-01,Ibadan,Product B,4583206,5269197.82,3047744.9,1535461.1
2022-03-01,Ibadan,Product C,10537455,12550976.41,6055317.99,4482137.01
2022-03-01,Ibadan,Product D,10094999,12578862.67,5280888.53,4814110.47
2022-04-01,Lagos,Product A,11248693,12136534.27,5705147.11,5543545.89
2022-04-01,Lagos,Product B,12055887,13884140.3,8605466.54,3450420.46
2022-04-01,Lagos,Product C,3171218,3504987.05,2178632.65,992585.35
2022-04-01,Lagos,Product D,8961578,10018820.6,6150467.39,2811110.61
2022-04-01,Abuja,Product A,6482413,7870361.76,3467129.58,3015283.42
2022-04-01,Abuja,Product B,7008935,8533344.61,4373414.34,2635520.66
2022-04-01,Abuja,Product C,13071968,15005678.99,6465115.97,6606852.03
2022-04-01,Abuja,Product D,11035882,12656702.98,6066777.34,4969104.66
2022-04-01,Port Harcourt,Product A,14798879,17147254.1,8681072.52,6117806.48
2022-04-01,Port Harcourt,Product B,7398528,9055208.88,5506224.17,1892303.83
2022-04-01,Port Harcourt,Product C,6006492,6993716.19,3123788.69,2882703.31
2022-04-01,Port Harcourt,Product D,8891662,9413864.51,5987747.85,2903914.15
2022-04-01,Kano,Product A,13831760,17050217.37,7806221.32,6025538.68
2022-04-01,Kano,Product B,13134850,15873186.87,8479934.03,4654915.97
2022-04-01,Kano,Product C,4551903,5230435.74,2098909.25,2452993.75
2022-04-01,Kano,Product D,10427047,12961556.8,5730688.46,4696358.54
2022-04-01,Ibadan,Product A,3683838,4512105.04,2144332.12,1539505.88
2022-04-01,Ibadan,Product B,10823994,13336116.75,4920633.99,5903360.01
2022-04-01,Ibadan,Product C,4418526,5001752.54,2856287.19,1562238.81
2022-04-01,Ibadan,Product D,4589751,4887927.16,3141489.9,1448261.1
2022-05-01,Lagos,Product A,6446344,7205157.64,4240478.44,2205865.56
2022-05-01,Lagos,Product B,12902449,13754824.32,7077892.28,5824556.72
2022-05-01,Lagos,Product C,13313841,16267762.09,7509043.86,5804797.14
2022-05-01,Lagos,Product D,7312692,8595044.47,5237581.13,2075110.87
2022-05-01,Abuja,Product A,10186400,12473008.47,4693584.78,5492815.22
2022-05-01,Abuja,Product B,3147909,3453111.52,2062887.32,1085021.68
2022-05-01,Abuja,Product C,6821419,8523261.98,4597840.43,2223578.57
2022-05-01,Abuja,Product D,9280833,11560832.46,6293434.09,2987398.91
2022-05-01,Port Harcourt,Product A,13809328,16909740.97,8052268.39,5757059.61
2022-05-01,Port Harcourt,Product B,13643407,15142724.87,6258014.88,7385392.12
2022-05-01,Port Harcourt,Product C,7442103,8999204.48,4003928.31,3438174.69
2022-05-01,Port Harcourt,Product D,8288789,9417202.83,4337185.35,3951603.65
2022-05-01,Kano,Product A,8913081,10367567.58,6130023.53,2783057.47
2022-05-01,Kano,Product B,4851852,5264326.72,3070482.58,1781369.42
2022-05-01,Kano,Product C,8418028,9882277.25,4396306.18,4021721.82
2022-05-01,Kano,Product D,11783753,12710233.42,6932911.85,4850841.15
2022-05-01,Ibadan,Product A,6261032,7149560.72,4069997.72,2191034.28
2022-05-01,Ibadan,Product B,9805654,12063326.26,6405869.67,3399784.33
2022-05-01,Ibadan,Product C,4650391,4951607.89,3411390.54,1239000.46
2022-05-01,Ibadan,Product D,11857817,13160171.12,8758287.06,3099529.94
2022-06-01,Lagos,Product A,13581538,14939958.61,9555850.31,4025687.69
2022-06-01,Lagos,Product B,5342306,6677213.18,3771671.44,1570634.56
2022-06-01,Lagos,Product C,3789344,4158582.0,2355368.35,1433975.65
2022-06-01,Lagos,Product D,11643743,12914942.56,7682352.12,3961390.88
2022-06-01,Abuja,Product A,2368085,2949660.38,1533261.5,834823.5
2022-06-01,Abuja,Product B,6605016,6945964.24,4686392.4,1918623.6
2022-06-01,Abuja,Product C,14493469,18040318.9,10481460.63,4012008.37
2022-06-01,Abuja,Product D,14501914,16667708.98,10459455.98,4042458.02
2022-06-01,Port Harcourt,Product A,6801541,8196864.87,3530241.35,3271299.65
2022-06-01,Port Harcourt,Product B,7910964,8653019.6,4011172.0,3899792.0
2022-06-01,Port Harcourt,Product C,6204819,7356141.11,4134137.58,2070681.42
2022-06-01,Port Harcourt,Product D,13059231,15490481.34,6412523.45,6646707.55
2022-06-01,Kano,Product A,3630140,4467543.38,2337455.07,1292684.93
2022-06-01,Kano,Product B,7183033,8675107.68,3304262.41,3878770.59
2022-06-01,Kano,Product C,8121355,9716973.48,3874211.29,4247143.71
2022-06-01,Kano,Product D,6951131,7752901.04,3994473.88,2956657.12
2022-06-01,Ibadan,Product A,5368777,5779123.15,3284737.64,2084039.36
2022-06-01,Ibadan,Product B,8138070,9408996.26,5892337.78,2245732.22
2022-06-01,Ibadan,Product C,4760597,5243293.05,3320073.4,1440523.6
2022-06-01,Ibadan,Product D,10084065,12539301.03,5430696.92,4653368.08
2022-07-01,Lagos,Product A,7682698,9302568.04,4536628.69,3146069.31
