Date,Branch,Product,Opening Stock,Units Sold,Closing Stock,Inventory Value
2021-07-01,Port Harcourt,Product B,3455,2928,527,6871553
2021-07-01,Port Harcourt,Product C,3735,3395,340,2365720
2021-07-01,Port Harcourt,Product D,1217,356,861,3627393
2021-07-01,Kano,Product A,613,295,318,1218894
2021-07-01,Kano,Product B,630,292,338,824382
2021-07-01,Kano,Product C,2214,2070,144,1818288
2021-07-01,Kano,Product D,1689,1430,259,1543899
2021-07-01,Ibadan,Product A,4069,3549,520,6373640
2021-07-01,Ibadan,Product B,4912,1663,3249,11079090
2021-07-01,Ibadan,Product C,2965,1998,967,4280909
2021-07-01,Ibadan,Product D,4382,3556,826,1946882
2021-08-01,Lagos,Product A,1454,440,1014,4559958
2021-08-01,Lagos,Product B,4147,4047,100,994700
2021-08-01,Lagos,Product C,4362,260,4102,38411128
2021-08-01,Lagos,Product D,2487,924,1563,10675290
2021-08-01,Abuja,Product A,3709,308,3401,25402069
2021-08-01,Abuja,Product B,564,152,412,5079136
2021-08-01,Abuja,Product C,4037,1802,2235,22620435
2021-08-01,Abuja,Product D,2882,251,2631,26275797
2021-08-01,Port Harcourt,Product A,3774,2091,1683,17520030
2021-08-01,Port Harcourt,Product B,4496,1999,2497,34213894
2021-08-01,Port Harcourt,Product C,997,640,357,825027
2021-08-01,Port Harcourt,Product D,3957,2460,1497,10739478
2021-08-01,Kano,Product A,1020,374,646,8153166
2021-08-01,Kano,Product B,3917,3741,176,1716880
2021-08-01,Kano,Product C,1457,1113,344,4197488
2021-08-01,Kano,Product D,3340,1936,1404,18852912
2021-08-01,Ibadan,Product A,4073,185,3888,18051984
2021-08-01,Ibadan,Product B,2859,887,1972,19104736
2021-08-01,Ibadan,Product C,3316,1894,1422,8250444
2021-08-01,Ibadan,Product D,4658,1899,2759,32081652
2021-09-01,Lagos,Product A,3278,2566,712,9766504
2021-09-01,Lagos,Product B,4337,1174,3163,21527378
2021-09-01,Lagos,Product C,3697,1807,1890,24622920
2021-09-01,Lagos,Product D,3451,3360,91,886158
2021-09-01,Abuja,Product A,1827,1373,454,2448876
2021-09-01,Abuja,Product B,2813,453,2360,30512440
2021-09-01,Abuja,Product C,4455,1157,3298,15959022
2021-09-01,Abuja,Product D,2134,420,1714,20437736
2021-09-01,Port Harcourt,Product A,4531,926,3605,54075000
2021-09-01,Port Harcourt,Product B,3907,2122,1785,12450375
2021-09-01,Port Harcourt,Product C,2422,957,1465,16295195
2021-09-01,Port Harcourt,Product D,885,118,767,6042426
2021-09-01,Kano,Product A,2636,1562,1074,14058660
2021-09-01,Kano,Product B,1799,457,1342,13752816
2021-09-01,Kano,Product C,761,165,596,4489668
2021-09-01,Kano,Product D,4027,566,3461,41940398
2021-09-01,Ibadan,Product A,2357,594,1763,19757941
2021-09-01,Ibadan,Product B,2335,2092,243,1512432
2021-09-01,Ibadan,Product C,3287,1555,1732,25295860
2021-09-01,Ibadan,Product D,882,670,212,1352984
2021-10-01,Lagos,Product A,1738,1513,225,2349900
2021-10-01,Lagos,Product B,1353,203,1150,10548950
2021-10-01,Lagos,Product C,4244,1008,3236,12083224
2021-10-01,Lagos,Product D,1334,1251,83,223021
2021-10-01,Abuja,Product A,4655,963,3692,17485312
2021-10-01,Abuja,Product B,1467,520,947,7504975
2021-10-01,Abuja,Product C,1786,1591,195,1323270
2021-10-01,Abuja,Product D,4116,3221,895,9207760
2021-10-01,Port Harcourt,Product A,4582,913,3669,16609563
2021-10-01,Port Harcourt,Product B,3479,1470,2009,8552313
2021-10-01,Port Harcourt,Product C,1507,513,994,9138836
2021-10-01,Port Harcourt,Product D,3905,3250,655,9562345
2021-10-01,Kano,Product A,553,225,328,3201280
2021-10-01,Kano,Product B,3296,1274,2022,20774028
2021-10-01,Kano,Product C,1902,274,1628,10350824
2021-10-01,Kano,Product D,3550,3029,521,7485207
2021-10-01,Ibadan,Product A,3899,1577,2322,28588464
2021-10-01,Ibadan,Product B,2510,720,1790,25668600
2021-10-01,Ibadan,Product C,4838,3554,1284,19127748
2021-10-01,Ibadan,Product D,2369,665,1704,15378600
2021-11-01,Lagos,Product A,3886,3860,26,226356
2021-11-01,Lagos,Product B,4258,3063,1195,2971965
2021-11-01,Lagos,Product C,4125,696,3429,50125122
2021-11-01,Lagos,Product D,581,467,114,1194264
2021-11-01,Abuja,Product A,1070,186,884,6667128
2021-11-01,Abuja,Product B,3078,1745,1333,19533782
2021-11-01,Abuja,Product C,1846,988,858,2580006
2021-11-01,Abuja,Product D,3721,3209,512,1334784
2021-11-01,Port Harcourt,Product A,1736,1276,460,1355620
2021-11-01,Port Harcourt,Product B,4758,2522,2236,19831084
2021-11-01,Port Harcourt,Product C,3793,3728,65,855075
2021-11-01,Port Harcourt,Product D,2993,1384,1609,12289542
2021-11-01,Kano,Product A,564,523,41,269903
2021-11-01,Kano,Product B,4823,1303,3520,47424960
2021-11-01,Kano,Product C,3809,1927,1882,23617218
2021-11-01,Kano,Product D,2180,1911,269,3611863
2021-11-01,Ibadan,Product A,3328,3301,27,340983
2021-11-01,Ibadan,Product B,3813,3276,537,2809584
2021-11-01,Ibadan,Product C,2970,445,2525,6577625
2021-11-01,Ibadan,Product D,4902,2840,2062,17298118
2021-12-01,Lagos,Product A,1532,1165,367,3985620
2021-12-01,Lagos,Product B,2825,975,1850,6512000
2021-12-01,Lagos,Product C,4691,4620,71,505165
2021-12-01,Lagos,Product D,4770,2891,1879,27063237
2021-12-01,Abuja,Product A,1810,147,1663,4084328
2021-12-01,Abuja,Product B,4923,2219,2704,16099616
2021-12-01,Abuja,Product C,2989,1831,1158,11901924
2021-12-01,Abuja,Product D,1404,222,1182,9586020
2021-12-01,Port Harcourt,Product A,2627,2178,449,3505343
2021-12-01,Port Harcourt,Product B,1514,197,1317,18958215
2021-12-01,Port Harcourt,Product C,1521,1019,502,3454262
2021-12-01,Port Harcourt,Product D,542,332,210,1586130
2021-12-01,Kano,Product A,2434,2416,18,246744
2021-12-01,Kano,Product B,4868,2015,2853,22079367
2021-12-01,Kano,Product C,2951,1265,1686,21793236
2021-12-01,Kano,Product D,1646,1562,84,687708
2021-12-01,Ibadan,Product A,4757,2128,2629,9790396
2021-12-01,Ibadan,Product B,3185,2215,970,11194770
2021-12-01,Ibadan,Product C,2077,1785,292,4308460
2021-12-01,Ibadan,Product D,3459,1960,1499,5403895
2022-01-01,Lagos,Product A,1700,1557,143,1283282
2022-01-01,Lagos,Product B,3875,435,3440,12077840
2022-01-01,Lagos,Product C,1009,535,474,1957620
2022-01-01,Lagos,Product D,4401,1859,2542,23663478
2022-01-01,Abuja,Product A,1139,856,283,3704187
2022-01-01,Abuja,Product B,4811,3399,1412,16431444
2022-01-01,Abuja,Product C,4751,3334,1417,8955440
2022-01-01,Abuja,Product D,4586,3568,1018,9375780
2022-01-01,Port Harcourt,Product A,4510,3515,995,4644660
2022-01-01,Port Harcourt,Product B,1682,1135,547,2232854
2022-01-01,Port Harcourt,Product C,4471,3849,622,2562018
2022-01-01,Port Harcourt,Product D,4704,4434,270,1062180
2022-01-01,Kano,Product A,2241,1965,276,2692380
2022-01-01,Kano,Product B,767,260,507,5657613
2022-01-01,Kano,Product C,3525,586,2939,34844784
2022-01-01,Kano,Product D,3847,551,3296,13118080
2022-01-01,Ibadan,Product A,3527,2441,1086,7323984
2022-01-01,Ibadan,Product B,829,635,194,875134
2022-01-01,Ibadan,Product C,1464,860,604,4224980
2022-01-01,Ibadan,Product D,3567,1342,2225,15165600
2022-02-01,Lagos,Product A,4480,329,4151,62111413
2022-02-01,Lagos,Product B,1670,391,1279,18981639
2022-02-01,Lagos,Product C,3955,299,3656,25588344
2022-02-01,Lagos,Product D,2822,983,1839,9193161
2022-02-01,Abuja,Product A,4504,117,4387,17565548
2022-02-01,Abuja,Product B,4985,2956,2029,6302074
2022-02-01,Abuja,Product C,866,527,339,3350337
2022-02-01,Abuja,Product D,3037,2417,620,5834820
2022-02-01,Port Harcourt,Product A,3267,1645,1622,15872892
2022-02-01,Port Harcourt,Product B,1587,383,1204,12365080
2022-02-01,Port Harcourt,Product C,4275,3785,490,6336190
2022-02-01,Port Harcourt,Product D,4178,710,3468,48291900
2022-02-01,Kano,Product A,3164,465,2699,33024964
2022-02-01,Kano,Product B,3855,1686,2169,12610566
2022-02-01,Kano,Product C,3739,1488,2251,24452613
2022-02-01,Kano,Product D,875,786,89,824051
2022-02-01,Ibadan,Product A,2772,2745,27,93150
2022-02-01,Ibadan,Product B,1856,1548,308,741048
2022-02-01,Ibadan,Product C,3030,2398,632,7944240
2022-02-01,Ibadan,Product D,1514,1418,96,1071744
2022-03-01,Lagos,Product A,1197,494,703,8531608
2022-03-01,Lagos,Product B,4938,4825,113,1628556
2022-03-01,Lagos,Product C,933,683,250,2637000
2022-03-01,Lagos,Product D,2051,1637,414,4055544
2022-03-01,Abuja,Product A,4617,252,4365,17329050
2022-03-01,Abuja,Product B,4856,1572,3284,7586040
2022-03-01,Abuja,Product C,2752,942,1810,10892580
2022-03-01,Abuja,Product D,4139,446,3693,39666513
2022-03-01,Port Harcourt,Product A,3124,1745,1379,16062592
2022-03-01,Port Harcourt,Product B,868,603,265,630965
2022-03-01,Port Harcourt,Product C,3284,1890,1394,6910058
2022-03-01,Port Harcourt,Product D,3899,198,3701,39411949
2022-03-01,Kano,Product A,3099,1664,1435,8915655
2022-03-01,Kano,Product B,1245,334,911,3304197
2022-03-01,Kano,Product C,4938,1477,3461,23102175
2022-03-01,Kano,Product D,1679,474,1205,7455335
2022-03-01,Ibadan,Product A,1234,415,819,5754294
2022-03-01,Ibadan,Product B,3836,2879,957,4566804
2022-03-01,Ibadan,Product C,982,729,253,1854237
2022-03-01,Ibadan,Product D,1986,155,1831,25059066
2022-04-01,Lagos,Product A,979,405,574,4814712
2022-04-01,Lagos,Product B,1308,755,553,2396702
2022-04-01,Lagos,Product C,3881,3757,124,906564
2022-04-01,Lagos,Product D,2612,1638,974,3877494
2022-04-01,Abuja,Product A,924,307,617,3655725
2022-04-01,Abuja,Product B,2437,2119,318,3285894
2022-04-01,Abuja,Product C,4632,3254,1378,5353530
2022-04-01,Abuja,Product D,2706,348,2358,17012970
2022-04-01,Port Harcourt,Product A,4307,3434,873,2681856
2022-04-01,Port Harcourt,Product B,4466,336,4130,35831880
2022-04-01,Port Harcourt,Product C,2414,176,2238,14343342
2022-04-01,Port Harcourt,Product D,1331,604,727,10541500
2022-04-01,Kano,Product A,1528,723,805,9104550
2022-04-01,Kano,Product B,3832,1926,1906,6430844
2022-04-01,Kano,Product C,4599,1766,2833,42002058
2022-04-01,Kano,Product D,1666,864,802,8704908
2022-04-01,Ibadan,Product A,1877,1701,176,1058816
2022-04-01,Ibadan,Product B,4903,3571,1332,14778540
2022-04-01,Ibadan,Product C,4200,442,3758,7576128
2022-04-01,Ibadan,Product D,4306,2469,1837,23328063
2022-05-01,Lagos,Product A,1871,101,1770,5283450
2022-05-01,Lagos,Product B,4450,2338,2112,24911040
2022-05-01,Lagos,Product C,2555,1657,898,6965786
2022-05-01,Lagos,Product D,2242,2190,52,343668
2022-05-01,Abuja,Product A,872,265,607,8564770
2022-05-01,Abuja,Product B,4875,4712,163,512635
2022-05-01,Abuja,Product C,2962,467,2495,21147620
2022-05-01,Abuja,Product D,1507,386,1121,15558359
2022-05-01,Port Harcourt,Product A,2789,1869,920,5017680
2022-05-01,Port Harcourt,Product B,4635,2707,1928,25401400
2022-05-01,Port Harcourt,Product C,3306,2701,605,3800610
2022-05-01,Port Harcourt,Product D,4208,2336,1872,11286288
2022-05-01,Kano,Product A,3134,1499,1635,8910750
2022-05-01,Kano,Product B,4266,2790,1476,3335760
2022-05-01,Kano,Product C,1595,1423,172,349676
2022-05-01,Kano,Product D,4403,135,4268,9201808
2022-05-01,Ibadan,Product A,1921,946,975,10828350
2022-05-01,Ibadan,Product B,4505,3317,1188,12849408
2022-05-01,Ibadan,Product C,1164,258,906,9807450
2022-05-01,Ibadan,Product D,753,555,198,2576772
2022-06-01,Lagos,Product A,1511,822,689,5626374
2022-06-01,Lagos,Product B,3432,1684,1748,8570444
2022-06-01,Lagos,Product C,569,163,406,3889480
2022-06-01,Lagos,Product D,3534,890,2644,24544252
2022-06-01,Abuja,Product A,576,213,363,5145525
2022-06-01,Abuja,Product B,662,387,275,3616250
2022-06-01,Abuja,Product C,3431,884,2547,8848278
2022-06-01,Abuja,Product D,2983,1005,1978,11547564
2022-06-01,Port Harcourt,Product A,4545,3073,1472,3830144
2022-06-01,Port Harcourt,Product B,2799,2118,681,9217335
2022-06-01,Port Harcourt,Product C,2212,129,2083,10856596
2022-06-01,Port Harcourt,Product D,3744,554,3190,20875360
2022-06-01,Kano,Product A,4598,4146,452,2166436
2022-06-01,Kano,Product B,2087,1451,636,8970144
2022-06-01,Kano,Product C,1937,233,1704,19827744
2022-06-01,Kano,Product D,1550,233,1317,5382579
2022-06-01,Ibadan,Product A,2626,2434,192,1100928
2022-06-01,Ibadan,Product B,4785,2347,2438,12538634
2022-06-01,Ibadan,Product C,689,645,44,530948
2022-06-01,Ibadan,Product D,2571,2394,177,1670349
2022-07-01,Lagos,Product A,516,318,198,2475198
2022-07-01,Lagos,Product B,924,430,494,4488484
2022-07-01,Lagos,Product C,3833,1222,2611,10428334
2022-07-01,Lagos,Product D,4745,3922,823,8327937
2022-07-01,Abuja,Product A,3461,2218,1243,17942705
2022-07-01,Abuja,Product B,856,838,18,102204
2022-07-01,Abuja,Product C,884,384,500,4441000
2022-07-01,Abuja,Product D,4861,3777,1084,7784204
2022-07-01,Port Harcourt,Product A,542,300,242,1255496
2022-07-01,Port Harcourt,Product B,3241,435,2806,31898608
2022-07-01,Port Harcourt,Product C,707,331,376,4999672
2022-07-01,Port Harcourt,Product D,3971,404,3567,21740865
2022-07-01,Kano,Product A,2112,436,1676,12392344
2022-07-01,Kano,Product B,3046,357,2689,32956384
2022-07-01,Kano,Product C,1292,157,1135,11194505
2022-07-01,Kano,Product D,4038,3409,629,1505197
2022-07-01,Ibadan,Product A,3238,1125,2113,12781537
2022-07-01,Ibadan,Product B,1383,1069,314,1854170
2022-07-01,Ibadan,Product C,3291,322,2969,22163585
2022-07-01,Ibadan,Product D,4757,2039,2718,8681292
2022-08-01,Lagos,Product A,4092,3229,863,3078321
2022-08-01,Lagos,Product B,4157,2471,1686,6819870
2022-08-01,Lagos,Product C,1200,224,976,2484896
2022-08-01,Lagos,Product D,3591,1383,2208,29498880
2022-08-01,Abuja,Product A,1032,901,131,535659
2022-08-01,Abuja,Product B,1007,921,86,794640
2022-08-01,Abuja,Product C,948,408,540,6483240
2022-08-01,Abuja,Product D,4037,369,3668,13454224
2022-08-01,Port Harcourt,Product A,957,672,285,813675
2022-08-01,Port Harcourt,Product B,2915,1662,1253,10751993
2022-08-01,Port Harcourt,Product C,1285,941,344,2001736
2022-08-01,Port Harcourt,Product D,586,332,254,2105660
2022-08-01,Kano,Product A,4302,3607,695,8451895
2022-08-01,Kano,Product B,1329,795,534,6762576
2022-08-01,Kano,Product C,712,564,148,1550152
2022-08-01,Kano,Product D,3188,2507,681,3509193
2022-08-01,Ibadan,Product A,1384,310,1074,2363874
2022-08-01,Ibadan,Product B,1053,707,346,5166818
2022-08-01,Ibadan,Product C,2086,1952,134,1526394
2022-08-01,Ibadan,Product D,1532,1405,127,1312799
2022-09-01,Lagos,Product A,2599,1555,1044,9288468
2022-09-01,Lagos,Product B,4443,3742,701,3537246
2022-09-01,Lagos,Product C,2491,663,1828,4975816
2022-09-01,Lagos,Product D,995,230,765,5436090
2022-09-01,Abuja,Product A,4070,2201,1869,23693313
2022-09-01,Abuja,Product B,3430,1374,2056,23771472
2022-09-01,Abuja,Product C,4933,1292,3641,16075015
2022-09-01,Abuja,Product D,4346,2628,1718,20416712
2022-09-01,Port Harcourt,Product A,3309,1292,2017,16220714
2022-09-01,Port Harcourt,Product B,566,365,201,2333208
2022-09-01,Port Harcourt,Product C,1684,217,1467,8639163
2022-09-01,Port Harcourt,Product D,4654,547,4107,36613905
2022-09-01,Kano,Product A,3316,900,2416,12761312
2022-09-01,Kano,Product B,2148,380,1768,13427960
2022-09-01,Kano,Product C,2051,1467,584,5719696
2022-09-01,Kano,Product D,4328,2812,1516,17397616
2022-09-01,Ibadan,Product A,3249,2623,626,4325034
2022-09-01,Ibadan,Product B,3929,1446,2483,11565814
2022-09-01,Ibadan,Product C,1358,1030,328,4897040
2022-09-01,Ibadan,Product D,845,607,238,1331372
2022-10-01,Lagos,Product A,530,427,103,582362
2022-10-01,Lagos,Product B,2386,2010,376,4595472
2022-10-01,Lagos,Product C,2246,1079,1167,11525292
2022-10-01,Lagos,Product D,3215,3131,84,685272
2022-10-01,Abuja,Product A,2181,1739,442,2217956
2022-10-01,Abuja,Product B,555,285,270,583740
2022-10-01,Abuja,Product C,1104,466,638,1589258
2022-10-01,Abuja,Product D,1443,391,1052,7111520
2022-10-01,Port Harcourt,Product A,4107,896,3211,39633373
2022-10-01,Port Harcourt,Product B,3448,279,3169,7878134
2022-10-01,Port Harcourt,Product C,2131,505,1626,10819404
2022-10-01,Port Harcourt,Product D,1926,548,1378,8670376
2022-10-01,Kano,Product A,1927,795,1132,12548220
2022-10-01,Kano,Product B,2514,831,1683,8770113
2022-10-01,Kano,Product C,676,280,396,2490444
2022-10-01,Kano,Product D,1328,142,1186,15535414
2022-10-01,Ibadan,Product A,1624,876,748,9521292
2022-10-01,Ibadan,Product B,1409,793,616,3353504
2022-10-01,Ibadan,Product C,2999,1968,1031,6117954
2022-10-01,Ibadan,Product D,3528,3415,113,915300
2022-11-01,Lagos,Product A,1903,1179,724,8840040
2022-11-01,Lagos,Product B,4053,3697,356,4858688
2022-11-01,Lagos,Product C,1035,221,814,3553924
2022-11-01,Lagos,Product D,1571,488,1083,5566620
2022-11-01,Abuja,Product A,4862,3198,1664,22257664
2022-11-01,Abuja,Product B,3565,1402,2163,25573149
2022-11-01,Abuja,Product C,4018,2705,1313,7885878
2022-11-01,Abuja,Product D,878,730,148,1720056
2022-11-01,Port Harcourt,Product A,2049,1849,200,2154600
2022-11-01,Port Harcourt,Product B,2909,708,2201,16216968
2022-11-01,Port Harcourt,Product C,2524,318,2206,27162478
2022-11-01,Port Harcourt,Product D,2794,617,2177,22481879
2022-11-01,Kano,Product A,4505,1814,2691,37447956
2022-11-01,Kano,Product B,1166,1063,103,1540777
2022-11-01,Kano,Product C,1031,271,760,7853080
2022-11-01,Kano,Product D,3679,3177,502,6309136
2022-11-01,Ibadan,Product A,4671,3165,1506,15313008
2022-11-01,Ibadan,Product B,4750,3903,847,4177404
2022-11-01,Ibadan,Product C,3136,3018,118,958750
2022-11-01,Ibadan,Product D,4804,4059,745,10225125
2022-12-01,Lagos,Product A,4553,3981,572,3658512
2022-12-01,Lagos,Product B,3784,2713,1071,16014663
2022-12-01,Lagos,Product C,799,312,487,2725252
2022-12-01,Lagos,Product D,2162,1951,211,1232240
2022-12-01,Abuja,Product A,3743,995,2748,19271724
2022-12-01,Abuja,Product B,3981,3740,241,1970898
2022-12-01,Abuja,Product C,1787,866,921,5682570
2022-12-01,Abuja,Product D,1194,375,819,11723166
2022-12-01,Port Harcourt,Product A,1188,704,484,4492488
2022-12-01,Port Harcourt,Product B,4750,2980,1770,10214670
2022-12-01,Port Harcourt,Product C,837,576,261,2712312
2022-12-01,Port Harcourt,Product D,3255,1845,1410,13241310
2022-12-01,Kano,Product A,4330,3643,687,5976900
2022-12-01,Kano,Product B,3510,3395,115,1167365
2022-12-01,Kano,Product C,3097,1218,1879,15528056
2022-12-01,Kano,Product D,702,283,419,3869884
2022-12-01,Ibadan,Product A,2415,1187,1228,15439644
2022-12-01,Ibadan,Product B,1121,467,654,2190900
2022-12-01,Ibadan,Product C,2912,2155,757,7873557
2022-12-01,Ibadan,Product D,4978,740,4238,63040250
2023-01-01,Lagos,Product A,2764,1032,1732,6255984
2023-01-01,Lagos,Product B,1471,246,1225,9679950
2023-01-01,Lagos,Product C,813,659,154,813274
2023-01-01,Lagos,Product D,3234,905,2329,30416740
2023-01-01,Abuja,Product A,3197,1124,2073,14426007
2023-01-01,Abuja,Product B,2748,880,1868,25331948
2023-01-01,Abuja,Product C,1629,1566,63,889623
2023-01-01,Abuja,Product D,4949,2239,2710,5796690
2023-01-01,Port Harcourt,Product A,2953,1254,1699,13046621
