Date,Branch,Expense Category,Expense Amount
2021-05-01,Lagos,Repairs,3697507
2021-05-01,Lagos,Security,2816722
2021-05-01,Lagos,Travel,1994911
2021-05-01,Abuja,Rent,3070464
2021-05-01,Abuja,Utilities,1640439
2021-05-01,Abuja,Fuel,3155296
2021-05-01,Abuja,Marketing,886906
2021-05-01,Abuja,Repairs,3325281
2021-05-01,Abuja,Security,406767
2021-05-01,Abuja,Travel,3048949
2021-05-01,Port Harcourt,Rent,2386132
2021-05-01,Port Harcourt,Utilities,1539855
2021-05-01,Port Harcourt,Fuel,1388112
2021-05-01,Port Harcourt,Marketing,2055591
2021-05-01,Port Harcourt,Repairs,1997010
2021-05-01,Port Harcourt,Security,1928543
2021-05-01,Port Harcourt,Travel,3390078
2021-05-01,Kano,Rent,448138
2021-05-01,Kano,Utilities,2745378
2021-05-01,Kano,Fuel,3269856
2021-05-01,Kano,Marketing,2699319
2021-05-01,Kano,Repairs,3722613
2021-05-01,Kano,Security,1096561
2021-05-01,Kano,Travel,1739346
2021-05-01,Ibadan,Rent,3347371
2021-05-01,Ibadan,Utilities,3292087
2021-05-01,Ibadan,Fuel,1232658
2021-05-01,Ibadan,Marketing,3178626
2021-05-01,Ibadan,Repairs,2542422
2021-05-01,Ibadan,Security,2977281
2021-05-01,Ibadan,Travel,3592096
2021-06-01,Lagos,Rent,2295378
2021-06-01,Lagos,Utilities,3118020
2021-06-01,Lagos,Fuel,1803645
2021-06-01,Lagos,Marketing,2427832
2021-06-01,Lagos,Repairs,1559108
2021-06-01,Lagos,Security,3845945
2021-06-01,Lagos,Travel,1012975
2021-06-01,Abuja,Rent,3825894
2021-06-01,Abuja,Utilities,3058235
2021-06-01,Abuja,Fuel,3976285
2021-06-01,Abuja,Marketing,2641462
2021-06-01,Abuja,Repairs,1059738
2021-06-01,Abuja,Security,1532219
2021-06-01,Abuja,Travel,709376
2021-06-01,Port Harcourt,Rent,2274598
2021-06-01,Port Harcourt,Utilities,836636
2021-06-01,Port Harcourt,Fuel,3407639
2021-06-01,Port Harcourt,Marketing,1384864
2021-06-01,Port Harcourt,Repairs,3341653
2021-06-01,Port Harcourt,Security,3690439
2021-06-01,Port Harcourt,Travel,2644748
2021-06-01,Kano,Rent,3499910
2021-06-01,Kano,Utilities,1067844
2021-06-01,Kano,Fuel,3150920
2021-06-01,Kano,Marketing,1707744
2021-06-01,Kano,Repairs,3044897
2021-06-01,Kano,Security,674550
2021-06-01,Kano,Travel,1232198
2021-06-01,Ibadan,Rent,1790166
2021-06-01,Ibadan,Utilities,1236705
2021-06-01,Ibadan,Fuel,3421442
2021-06-01,Ibadan,Marketing,3955051
2021-06-01,Ibadan,Repairs,1588008
2021-06-01,Ibadan,Security,2063589
2021-06-01,Ibadan,Travel,3605490
2021-07-01,Lagos,Rent,1689644
2021-07-01,Lagos,Utilities,1858949
2021-07-01,Lagos,Fuel,1392864
2021-07-01,Lagos,Marketing,2756061
2021-07-01,Lagos,Repairs,1533339
2021-07-01,Lagos,Security,2245153
2021-07-01,Lagos,Travel,3870249
2021-07-01,Abuja,Rent,794011
2021-07-01,Abuja,Utilities,2273573
2021-07-01,Abuja,Fuel,525137
2021-07-01,Abuja,Marketing,3933917
2021-07-01,Abuja,Repairs,2960852
2021-07-01,Abuja,Security,2747689
2021-07-01,Abuja,Travel,2734009
2021-07-01,Port Harcourt,Rent,2903214
2021-07-01,Port Harcourt,Utilities,598700
2021-07-01,Port Harcourt,Fuel,2280632
2021-07-01,Port Harcourt,Marketing,1115975
2021-07-01,Port Harcourt,Repairs,2399154
2021-07-01,Port Harcourt,Security,802544
2021-07-01,Port Harcourt,Travel,3938549
2021-07-01,Kano,Rent,3155053
2021-07-01,Kano,Utilities,1900836
2021-07-01,Kano,Fuel,2522303
2021-07-01,Kano,Marketing,1551394
2021-07-01,Kano,Repairs,2032697
2021-07-01,Kano,Security,526752
2021-07-01,Kano,Travel,3952606
2021-07-01,Ibadan,Rent,3882941
2021-07-01,Ibadan,Utilities,932410
2021-07-01,Ibadan,Fuel,876151
2021-07-01,Ibadan,Marketing,1140104
2021-07-01,Ibadan,Repairs,1737261
2021-07-01,Ibadan,Security,2016274
2021-07-01,Ibadan,Travel,2688251
2021-08-01,Lagos,Rent,2219193
2021-08-01,Lagos,Utilities,900725
2021-08-01,Lagos,Fuel,1627008
2021-08-01,Lagos,Marketing,3917142
2021-08-01,Lagos,Repairs,3301731
2021-08-01,Lagos,Security,1056471
2021-08-01,Lagos,Travel,3567116
2021-08-01,Abuja,Rent,638947
2021-08-01,Abuja,Utilities,2345062
2021-08-01,Abuja,Fuel,1695149
2021-08-01,Abuja,Marketing,2946743
2021-08-01,Abuja,Repairs,1041654
2021-08-01,Abuja,Security,1614553
2021-08-01,Abuja,Travel,2961281
2021-08-01,Port Harcourt,Rent,543326
2021-08-01,Port Harcourt,Utilities,319769
2021-08-01,Port Harcourt,Fuel,2196048
2021-08-01,Port Harcourt,Marketing,1447259
2021-08-01,Port Harcourt,Repairs,1178213
2021-08-01,Port Harcourt,Security,3492676
2021-08-01,Port Harcourt,Travel,3544471
2021-08-01,Kano,Rent,1007183
2021-08-01,Kano,Utilities,2717088
2021-08-01,Kano,Fuel,3506477
2021-08-01,Kano,Marketing,964525
2021-08-01,Kano,Repairs,2353435
2021-08-01,Kano,Security,3593413
2021-08-01,Kano,Travel,3502641
2021-08-01,Ibadan,Rent,3570518
2021-08-01,Ibadan,Utilities,669272
2021-08-01,Ibadan,Fuel,842767
2021-08-01,Ibadan,Marketing,2877314
2021-08-01,Ibadan,Repairs,2119117
2021-08-01,Ibadan,Security,2957039
2021-08-01,Ibadan,Travel,2101074
2021-09-01,Lagos,Rent,1991954
2021-09-01,Lagos,Utilities,2099463
2021-09-01,Lagos,Fuel,2302361
2021-09-01,Lagos,Marketing,1907745
2021-09-01,Lagos,Repairs,319583
2021-09-01,Lagos,Security,458231
2021-09-01,Lagos,Travel,2538846
2021-09-01,Abuja,Rent,1136403
2021-09-01,Abuja,Utilities,3364606
2021-09-01,Abuja,Fuel,1864900
2021-09-01,Abuja,Marketing,359043
2021-09-01,Abuja,Repairs,1651459
2021-09-01,Abuja,Security,3474449
2021-09-01,Abuja,Travel,3794814
2021-09-01,Port Harcourt,Rent,2527317
2021-09-01,Port Harcourt,Utilities,1099336
2021-09-01,Port Harcourt,Fuel,375145
2021-09-01,Port Harcourt,Marketing,3138487
2021-09-01,Port Harcourt,Repairs,317296
2021-09-01,Port Harcourt,Security,2928515
2021-09-01,Port Harcourt,Travel,3376955
2021-09-01,Kano,Rent,1343639
2021-09-01,Kano,Utilities,1249027
2021-09-01,Kano,Fuel,3208853
2021-09-01,Kano,Marketing,3978342
2021-09-01,Kano,Repairs,1744307
2021-09-01,Kano,Security,1609009
2021-09-01,Kano,Travel,840774
2021-09-01,Ibadan,Rent,730789
2021-09-01,Ibadan,Utilities,1908727
2021-09-01,Ibadan,Fuel,2411146
2021-09-01,Ibadan,Marketing,2769063
2021-09-01,Ibadan,Repairs,1583939
2021-09-01,Ibadan,Security,1000533
2021-09-01,Ibadan,Travel,573833
2021-10-01,Lagos,Rent,3755451
2021-10-01,Lagos,Utilities,491756
2021-10-01,Lagos,Fuel,1550750
2021-10-01,Lagos,Marketing,1519820
2021-10-01,Lagos,Repairs,2212293
2021-10-01,Lagos,Security,3352748
2021-10-01,Lagos,Travel,2482247
2021-10-01,Abuja,Rent,2801356
2021-10-01,Abuja,Utilities,2498308
2021-10-01,Abuja,Fuel,1716983
2021-10-01,Abuja,Marketing,2118923
2021-10-01,Abuja,Repairs,3180564
2021-10-01,Abuja,Security,861153
2021-10-01,Abuja,Travel,1737525
2021-10-01,Port Harcourt,Rent,2355958
2021-10-01,Port Harcourt,Utilities,1806807
2021-10-01,Port Harcourt,Fuel,3446212
2021-10-01,Port Harcourt,Marketing,1090316
2021-10-01,Port Harcourt,Repairs,991571
2021-10-01,Port Harcourt,Security,3705809
2021-10-01,Port Harcourt,Travel,1991947
2021-10-01,Kano,Rent,380214
2021-10-01,Kano,Utilities,1258055
2021-10-01,Kano,Fuel,1240871
2021-10-01,Kano,Marketing,3349967
2021-10-01,Kano,Repairs,850316
2021-10-01,Kano,Security,1185796
2021-10-01,Kano,Travel,3378940
2021-10-01,Ibadan,Rent,391910
2021-10-01,Ibadan,Utilities,2773351
2021-10-01,Ibadan,Fuel,2416586
2021-10-01,Ibadan,Marketing,1008773
2021-10-01,Ibadan,Repairs,816578
2021-10-01,Ibadan,Security,1837595
2021-10-01,Ibadan,Travel,3282611
2021-11-01,Lagos,Rent,3028564
2021-11-01,Lagos,Utilities,3622422
2021-11-01,Lagos,Fuel,456713
2021-11-01,Lagos,Marketing,1873671
2021-11-01,Lagos,Repairs,3976492
2021-11-01,Lagos,Security,2985701
2021-11-01,Lagos,Travel,1372857
2021-11-01,Abuja,Rent,3534855
2021-11-01,Abuja,Utilities,2542834
2021-11-01,Abuja,Fuel,2913616
2021-11-01,Abuja,Marketing,503788
2021-11-01,Abuja,Repairs,2791098
2021-11-01,Abuja,Security,501160
2021-11-01,Abuja,Travel,3076503
2021-11-01,Port Harcourt,Rent,753460
2021-11-01,Port Harcourt,Utilities,3041261
2021-11-01,Port Harcourt,Fuel,3806941
2021-11-01,Port Harcourt,Marketing,382802
2021-11-01,Port Harcourt,Repairs,502312
2021-11-01,Port Harcourt,Security,3193020
2021-11-01,Port Harcourt,Travel,785657
2021-11-01,Kano,Rent,2048083
2021-11-01,Kano,Utilities,2163589
2021-11-01,Kano,Fuel,1894899
2021-11-01,Kano,Marketing,818395
2021-11-01,Kano,Repairs,2595468
2021-11-01,Kano,Security,1360061
2021-11-01,Kano,Travel,2289762
2021-11-01,Ibadan,Rent,3243848
2021-11-01,Ibadan,Utilities,942261
2021-11-01,Ibadan,Fuel,1161908
2021-11-01,Ibadan,Marketing,3215846
2021-11-01,Ibadan,Repairs,3176202
2021-11-01,Ibadan,Security,2943717
2021-11-01,Ibadan,Travel,339026
2021-12-01,Lagos,Rent,1562973
2021-12-01,Lagos,Utilities,2065262
2021-12-01,Lagos,Fuel,3075222
2021-12-01,Lagos,Marketing,723540
2021-12-01,Lagos,Repairs,3078654
2021-12-01,Lagos,Security,2482335
2021-12-01,Lagos,Travel,1432366
2021-12-01,Abuja,Rent,2912203
2021-12-01,Abuja,Utilities,2840214
2021-12-01,Abuja,Fuel,3239059
2021-12-01,Abuja,Marketing,875305
2021-12-01,Abuja,Repairs,2056682
2021-12-01,Abuja,Security,3784010
2021-12-01,Abuja,Travel,740042
2021-12-01,Port Harcourt,Rent,2445742
2021-12-01,Port Harcourt,Utilities,3314724
2021-12-01,Port Harcourt,Fuel,2890813
2021-12-01,Port Harcourt,Marketing,793814
2021-12-01,Port Harcourt,Repairs,1485758
2021-12-01,Port Harcourt,Security,778203
2021-12-01,Port Harcourt,Travel,3591522
2021-12-01,Kano,Rent,745702
2021-12-01,Kano,Utilities,2387668
2021-12-01,Kano,Fuel,1133184
2021-12-01,Kano,Marketing,2854338
2021-12-01,Kano,Repairs,1137809
2021-12-01,Kano,Security,3562996
2021-12-01,Kano,Travel,1403076
2021-12-01,Ibadan,Rent,3787558
2021-12-01,Ibadan,Utilities,2494233
2021-12-01,Ibadan,Fuel,1145878
2021-12-01,Ibadan,Marketing,1801232
2021-12-01,Ibadan,Repairs,3250427
2021-12-01,Ibadan,Security,2018642
2021-12-01,Ibadan,Travel,1538792
2022-01-01,Lagos,Rent,972655
2022-01-01,Lagos,Utilities,465279
2022-01-01,Lagos,Fuel,2599060
2022-01-01,Lagos,Marketing,2381862
2022-01-01,Lagos,Repairs,1171131
2022-01-01,Lagos,Security,3186536
2022-01-01,Lagos,Travel,2316050
2022-01-01,Abuja,Rent,1686652
2022-01-01,Abuja,Utilities,1283586
2022-01-01,Abuja,Fuel,311484
2022-01-01,Abuja,Marketing,353474
2022-01-01,Abuja,Repairs,3117033
2022-01-01,Abuja,Security,673304
2022-01-01,Abuja,Travel,763180
2022-01-01,Port Harcourt,Rent,3803217
2022-01-01,Port Harcourt,Utilities,2708171
2022-01-01,Port Harcourt,Fuel,3106081
2022-01-01,Port Harcourt,Marketing,2372422
2022-01-01,Port Harcourt,Repairs,925557
2022-01-01,Port Harcourt,Security,677834
2022-01-01,Port Harcourt,Travel,3569569
2022-01-01,Kano,Rent,2446247
2022-01-01,Kano,Utilities,614775
2022-01-01,Kano,Fuel,3334845
2022-01-01,Kano,Marketing,3334898
2022-01-01,Kano,Repairs,724843
2022-01-01,Kano,Security,1373289
2022-01-01,Kano,Travel,3002544
2022-01-01,Ibadan,Rent,1269556
2022-01-01,Ibadan,Utilities,2215753
2022-01-01,Ibadan,Fuel,1541607
2022-01-01,Ibadan,Marketing,1407820
2022-01-01,Ibadan,Repairs,2247320
2022-01-01,Ibadan,Security,510051
2022-01-01,Ibadan,Travel,718628
2022-02-01,Lagos,Rent,3710717
2022-02-01,Lagos,Utilities,1032752
2022-02-01,Lagos,Fuel,3966410
2022-02-01,Lagos,Marketing,465442
2022-02-01,Lagos,Repairs,3874590
2022-02-01,Lagos,Security,1518727
2022-02-01,Lagos,Travel,1810849
2022-02-01,Abuja,Rent,3662137
2022-02-01,Abuja,Utilities,3138564
2022-02-01,Abuja,Fuel,1611588
2022-02-01,Abuja,Marketing,2086753
2022-02-01,Abuja,Repairs,3397662
2022-02-01,Abuja,Security,786124
2022-02-01,Abuja,Travel,698452
2022-02-01,Port Harcourt,Rent,3870384
2022-02-01,Port Harcourt,Utilities,3480138
2022-02-01,Port Harcourt,Fuel,492472
2022-02-01,Port Harcourt,Marketing,340568
2022-02-01,Port Harcourt,Repairs,3873541
2022-02-01,Port Harcourt,Security,880468
2022-02-01,Port Harcourt,Travel,3082312
2022-02-01,Kano,Rent,3014547
2022-02-01,Kano,Utilities,1015180
2022-02-01,Kano,Fuel,1678503
2022-02-01,Kano,Marketing,1799578
2022-02-01,Kano,Repairs,2135907
2022-02-01,Kano,Security,2908047
2022-02-01,Kano,Travel,1425371
2022-02-01,Ibadan,Rent,3984593
2022-02-01,Ibadan,Utilities,3374709
2022-02-01,Ibadan,Fuel,689866
2022-02-01,Ibadan,Marketing,1862890
2022-02-01,Ibadan,Repairs,3718207
2022-02-01,Ibadan,Security,1737483
2022-02-01,Ibadan,Travel,1067009
2022-03-01,Lagos,Rent,777446
2022-03-01,Lagos,Utilities,1980982
2022-03-01,Lagos,Fuel,1978771
2022-03-01,Lagos,Marketing,2214862
2022-03-01,Lagos,Repairs,1440150
2022-03-01,Lagos,Security,3805214
2022-03-01,Lagos,Travel,1917808
2022-03-01,Abuja,Rent,3193660
2022-03-01,Abuja,Utilities,3867975
2022-03-01,Abuja,Fuel,2305904
2022-03-01,Abuja,Marketing,3655019
2022-03-01,Abuja,Repairs,2068905
2022-03-01,Abuja,Security,3021459
2022-03-01,Abuja,Travel,3642480
2022-03-01,Port Harcourt,Rent,999520
2022-03-01,Port Harcourt,Utilities,774193
2022-03-01,Port Harcourt,Fuel,855793
2022-03-01,Port Harcourt,Marketing,3219948
2022-03-01,Port Harcourt,Repairs,3346789
2022-03-01,Port Harcourt,Security,545980
2022-03-01,Port Harcourt,Travel,3841459
2022-03-01,Kano,Rent,968552
2022-03-01,Kano,Utilities,735004
2022-03-01,Kano,Fuel,2044946
2022-03-01,Kano,Marketing,2777786
2022-03-01,Kano,Repairs,2324485
2022-03-01,Kano,Security,3664942
2022-03-01,Kano,Travel,2686321
2022-03-01,Ibadan,Rent,3145387
2022-03-01,Ibadan,Utilities,2137788
2022-03-01,Ibadan,Fuel,1060261
2022-03-01,Ibadan,Marketing,2864075
2022-03-01,Ibadan,Repairs,1892790
2022-03-01,Ibadan,Security,3568051
2022-03-01,Ibadan,Travel,1804072
2022-04-01,Lagos,Rent,2864223
2022-04-01,Lagos,Utilities,420864
2022-04-01,Lagos,Fuel,3917905
2022-04-01,Lagos,Marketing,3170850
2022-04-01,Lagos,Repairs,3990778
2022-04-01,Lagos,Security,3817076
2022-04-01,Lagos,Travel,3350427
2022-04-01,Abuja,Rent,848008
2022-04-01,Abuja,Utilities,2326182
2022-04-01,Abuja,Fuel,2347335
2022-04-01,Abuja,Marketing,773694
2022-04-01,Abuja,Repairs,2025051
2022-04-01,Abuja,Security,2148378
2022-04-01,Abuja,Travel,492821
2022-04-01,Port Harcourt,Rent,565650
2022-04-01,Port Harcourt,Utilities,1397283
2022-04-01,Port Harcourt,Fuel,3047158
2022-04-01,Port Harcourt,Marketing,1618009
2022-04-01,Port Harcourt,Repairs,351842
2022-04-01,Port Harcourt,Security,3255173
2022-04-01,Port Harcourt,Travel,3942049
2022-04-01,Kano,Rent,3143439
2022-04-01,Kano,Utilities,2501245
2022-04-01,Kano,Fuel,3519248
2022-04-01,Kano,Marketing,3418984
2022-04-01,Kano,Repairs,2718641
2022-04-01,Kano,Security,3335726
2022-04-01,Kano,Travel,2669833
2022-04-01,Ibadan,Rent,1239460
2022-04-01,Ibadan,Utilities,3109530
2022-04-01,Ibadan,Fuel,3962229
2022-04-01,Ibadan,Marketing,1718935
2022-04-01,Ibadan,Repairs,2477261
2022-04-01,Ibadan,Security,2494053
2022-04-01,Ibadan,Travel,3186694
2022-05-01,Lagos,Rent,3238446
2022-05-01,Lagos,Utilities,2893082
2022-05-01,Lagos,Fuel,699474
2022-05-01,Lagos,Marketing,2115495
2022-05-01,Lagos,Repairs,3075426
2022-05-01,Lagos,Security,3347799
2022-05-01,Lagos,Travel,1342607
2022-05-01,Abuja,Rent,2321359
2022-05-01,Abuja,Utilities,1750178
2022-05-01,Abuja,Fuel,3083804
2022-05-01,Abuja,Marketing,3136589
2022-05-01,Abuja,Repairs,2990245
2022-05-01,Abuja,Security,1914289
2022-05-01,Abuja,Travel,923501
2022-05-01,Port Harcourt,Rent,3819159
2022-05-01,Port Harcourt,Utilities,3766331
2022-05-01,Port Harcourt,Fuel,2641865
2022-05-01,Port Harcourt,Marketing,2870747
2022-05-01,Port Harcourt,Repairs,528866
2022-05-01,Port Harcourt,Security,348842
2022-05-01,Port Harcourt,Travel,2998609
2022-05-01,Kano,Rent,958201
2022-05-01,Kano,Utilities,2420504
2022-05-01,Kano,Fuel,3860316
2022-05-01,Kano,Marketing,2268340
2022-05-01,Kano,Repairs,3873006
2022-05-01,Kano,Security,2379682
2022-05-01,Kano,Travel,3946593
2022-05-01,Ibadan,Rent,993754
2022-05-01,Ibadan,Utilities,614007
2022-05-01,Ibadan,Fuel,3451725
2022-05-01,Ibadan,Marketing,2362121
2022-05-01,Ibadan,Repairs,1644835
2022-05-01,Ibadan,Security,1310373
2022-05-01,Ibadan,Travel,1687873
2022-06-01,Lagos,Rent,1466675
2022-06-01,Lagos,Utilities,511186
2022-06-01,Lagos,Fuel,2426215
2022-06-01,Lagos,Marketing,1234098
2022-06-01,Lagos,Repairs,2608945
2022-06-01,Lagos,Security,2998268
2022-06-01,Lagos,Travel,1888121
2022-06-01,Abuja,Rent,1991466
2022-06-01,Abuja,Utilities,3727179
2022-06-01,Abuja,Fuel,1285661
2022-06-01,Abuja,Marketing,630639
2022-06-01,Abuja,Repairs,2225582
2022-06-01,Abuja,Security,2163063
2022-06-01,Abuja,Travel,3660733
2022-06-01,Port Harcourt,Rent,2703482
2022-06-01,Port Harcourt,Utilities,2179461
2022-06-01,Port Harcourt,Fuel,669182
2022-06-01,Port Harcourt,Marketing,3892795
2022-06-01,Port Harcourt,Repairs,2390676
2022-06-01,Port Harcourt,Security,2175139
2022-06-01,Port Harcourt,Travel,1625658
2022-06-01,Kano,Rent,797892
2022-06-01,Kano,Utilities,2386135
2022-06-01,Kano,Fuel,3425758
2022-06-01,Kano,Marketing,3040445
2022-06-01,Kano,Repairs,374529
2022-06-01,Kano,Security,730517
2022-06-01,Kano,Travel,1992148
2022-06-01,Ibadan,Rent,2029473
2022-06-01,Ibadan,Utilities,450290
2022-06-01,Ibadan,Fuel,2636776
2022-06-01,Ibadan,Marketing,2603087
2022-06-01,Ibadan,Repairs,300711
2022-06-01,Ibadan,Security,3764112
2022-06-01,Ibadan,Travel,681243
2022-07-01,Lagos,Rent,3620979
2022-07-01,Lagos,Utilities,2834212
2022-07-01,Lagos,Fuel,2896551
2022-07-01,Lagos,Marketing,2974028
2022-07-01,Lagos,Repairs,1577576
2022-07-01,Lagos,Security,2432123
2022-07-01,Lagos,Travel,2658593
2022-07-01,Abuja,Rent,1167597
2022-07-01,Abuja,Utilities,3045574
2022-07-01,Abuja,Fuel,3116367
2022-07-01,Abuja,Marketing,2213474
2022-07-01,Abuja,Repairs,1729646
2022-07-01,Abuja,Security,1823968
2022-07-01,Abuja,Travel,3761605
2022-07-01,Port Harcourt,Rent,527646
2022-07-01,Port Harcourt,Utilities,3725021
2022-07-01,Port Harcourt,Fuel,1234986
2022-07-01,Port Harcourt,Marketing,3841324
2022-07-01,Port Harcourt,Repairs,2206143
2022-07-01,Port Harcourt,Security,1692394
2022-07-01,Port Harcourt,Travel,2649442
2022-07-01,Kano,Rent,3518777
2022-07-01,Kano,Utilities,2899453
2022-07-01,Kano,Fuel,2816377
2022-07-01,Kano,Marketing,2284466
2022-07-01,Kano,Repairs,3305881
2022-07-01,Kano,Security,3056359
2022-07-01,Kano,Travel,1823767
2022-07-01,Ibadan,Rent,3302758
2022-07-01,Ibadan,Utilities,2198058
2022-07-01,Ibadan,Fuel,778248
2022-07-01,Ibadan,Marketing,708680
2022-07-01,Ibadan,Repairs,3484818
2022-07-01,Ibadan,Security,3063669
2022-07-01,Ibadan,Travel,1230074
2022-08-01,Lagos,Rent,309214
2022-08-01,Lagos,Utilities,1731755
2022-08-01,Lagos,Fuel,1789560
2022-08-01,Lagos,Marketing,3780785
