Date,Branch,Department,Staff Count,Payroll Cost
2021-06-01,Kano,Logistics,51,19259538
2021-06-01,Ibadan,Operations,15,5480955
2021-06-01,Ibadan,Sales,50,7591200
2021-06-01,Ibadan,Finance,33,13614579
2021-06-01,Ibadan,Admin,57,19270503
2021-06-01,Ibadan,Logistics,33,4968678
2021-07-01,Lagos,Operations,49,12708787
2021-07-01,Lagos,Sales,43,6076459
2021-07-01,Lagos,Finance,56,8786568
2021-07-01,Lagos,Admin,29,4664940
2021-07-01,Lagos,Logistics,23,9024257
2021-07-01,Abuja,Operations,16,2769136
2021-07-01,Abuja,Sales,56,13502664
2021-07-01,Abuja,Finance,44,14169056
2021-07-01,Abuja,Admin,22,4867500
2021-07-01,Abuja,Logistics,43,10768189
2021-07-01,Port Harcourt,Operations,46,20601100
2021-07-01,Port Harcourt,Sales,21,8668254
2021-07-01,Port Harcourt,Finance,57,23519682
2021-07-01,Port Harcourt,Admin,36,6311484
2021-07-01,Port Harcourt,Logistics,59,24914815
2021-07-01,Kano,Operations,32,11536032
2021-07-01,Kano,Sales,54,18571140
2021-07-01,Kano,Finance,16,3319296
2021-07-01,Kano,Admin,60,12874740
2021-07-01,Kano,Logistics,45,14873895
2021-07-01,Ibadan,Operations,42,12472026
2021-07-01,Ibadan,Sales,52,10552360
2021-07-01,Ibadan,Finance,44,19119232
2021-07-01,Ibadan,Admin,38,11579322
2021-07-01,Ibadan,Logistics,30,12252030
2021-08-01,Lagos,Operations,30,9446640
2021-08-01,Lagos,Sales,36,12447072
2021-08-01,Lagos,Finance,56,16216536
2021-08-01,Lagos,Admin,48,11817936
2021-08-01,Lagos,Logistics,46,18678990
2021-08-01,Abuja,Operations,23,7282743
2021-08-01,Abuja,Sales,59,24100497
2021-08-01,Abuja,Finance,57,14433255
2021-08-01,Abuja,Admin,33,11787237
2021-08-01,Abuja,Logistics,38,12471182
2021-08-01,Port Harcourt,Operations,10,1381730
2021-08-01,Port Harcourt,Sales,28,12105828
2021-08-01,Port Harcourt,Finance,11,4305136
2021-08-01,Port Harcourt,Admin,18,5008518
2021-08-01,Port Harcourt,Logistics,10,2774610
2021-08-01,Kano,Operations,24,5583096
2021-08-01,Kano,Sales,30,3941310
2021-08-01,Kano,Finance,59,15616179
2021-08-01,Kano,Admin,45,17462385
2021-08-01,Kano,Logistics,45,18863730
2021-08-01,Ibadan,Operations,46,9251290
2021-08-01,Ibadan,Sales,16,2236544
2021-08-01,Ibadan,Finance,39,11952174
2021-08-01,Ibadan,Admin,19,3658735
2021-08-01,Ibadan,Logistics,26,8123882
2021-09-01,Lagos,Operations,47,11796812
2021-09-01,Lagos,Sales,24,6104280
2021-09-01,Lagos,Finance,29,4877336
2021-09-01,Lagos,Admin,46,15162014
2021-09-01,Lagos,Logistics,46,10763954
2021-09-01,Abuja,Operations,56,8986600
2021-09-01,Abuja,Sales,56,16252992
2021-09-01,Abuja,Finance,60,22379160
2021-09-01,Abuja,Admin,21,7895937
2021-09-01,Abuja,Logistics,54,22793994
2021-09-01,Port Harcourt,Operations,16,6913152
2021-09-01,Port Harcourt,Sales,51,14152092
2021-09-01,Port Harcourt,Finance,12,5065656
2021-09-01,Port Harcourt,Admin,34,5478896
2021-09-01,Port Harcourt,Logistics,59,8809821
2021-09-01,Kano,Operations,59,17423644
2021-09-01,Kano,Sales,32,11126400
2021-09-01,Kano,Finance,36,6595092
2021-09-01,Kano,Admin,59,14093035
2021-09-01,Kano,Logistics,57,24839403
2021-09-01,Ibadan,Operations,10,3205330
2021-09-01,Ibadan,Sales,13,3637322
2021-09-01,Ibadan,Finance,43,6088413
2021-09-01,Ibadan,Admin,30,12092340
2021-09-01,Ibadan,Logistics,46,9127458
2021-10-01,Lagos,Operations,30,11502090
2021-10-01,Lagos,Sales,54,12731094
2021-10-01,Lagos,Finance,19,2783234
2021-10-01,Lagos,Admin,53,17277099
2021-10-01,Lagos,Logistics,38,16416760
2021-10-01,Abuja,Operations,46,17692658
2021-10-01,Abuja,Sales,15,3546540
2021-10-01,Abuja,Finance,37,10061373
2021-10-01,Abuja,Admin,60,19604280
2021-10-01,Abuja,Logistics,19,3596795
2021-10-01,Port Harcourt,Operations,31,5061587
2021-10-01,Port Harcourt,Sales,40,16783960
2021-10-01,Port Harcourt,Finance,57,8313621
2021-10-01,Port Harcourt,Admin,45,14818095
2021-10-01,Port Harcourt,Logistics,26,4279730
2021-10-01,Kano,Operations,35,13408465
2021-10-01,Kano,Sales,37,6969098
2021-10-01,Kano,Finance,58,11061238
2021-10-01,Kano,Admin,40,16529280
2021-10-01,Kano,Logistics,22,8267138
2021-10-01,Ibadan,Operations,35,14683935
2021-10-01,Ibadan,Sales,22,9112686
2021-10-01,Ibadan,Finance,49,19347944
2021-10-01,Ibadan,Admin,25,6176050
2021-10-01,Ibadan,Logistics,14,3634330
2021-11-01,Lagos,Operations,59,20383202
2021-11-01,Lagos,Sales,30,12659970
2021-11-01,Lagos,Finance,15,2684970
2021-11-01,Lagos,Admin,52,17515472
2021-11-01,Lagos,Logistics,37,11525685
2021-11-01,Abuja,Operations,32,7035872
2021-11-01,Abuja,Sales,30,9018900
2021-11-01,Abuja,Finance,48,6369168
2021-11-01,Abuja,Admin,59,16508908
2021-11-01,Abuja,Logistics,20,6067040
2021-11-01,Port Harcourt,Operations,49,17240405
2021-11-01,Port Harcourt,Sales,49,9626050
2021-11-01,Port Harcourt,Finance,38,5454064
2021-11-01,Port Harcourt,Admin,24,5392608
2021-11-01,Port Harcourt,Logistics,53,16747417
2021-11-01,Kano,Operations,19,3134829
2021-11-01,Kano,Sales,17,2526081
2021-11-01,Kano,Finance,25,11139600
2021-11-01,Kano,Admin,19,5145751
2021-11-01,Kano,Logistics,10,2999730
2021-11-01,Ibadan,Operations,54,9630414
2021-11-01,Ibadan,Sales,29,10322869
2021-11-01,Ibadan,Finance,40,5277040
2021-11-01,Ibadan,Admin,31,7117011
2021-11-01,Ibadan,Logistics,57,22917933
2021-12-01,Lagos,Operations,23,5217550
2021-12-01,Lagos,Sales,44,17351048
2021-12-01,Lagos,Finance,58,14825438
2021-12-01,Lagos,Admin,45,16795980
2021-12-01,Lagos,Logistics,49,9511194
2021-12-01,Abuja,Operations,54,7000560
2021-12-01,Abuja,Sales,34,14472508
2021-12-01,Abuja,Finance,52,20602088
2021-12-01,Abuja,Admin,12,3047184
2021-12-01,Abuja,Logistics,20,3030280
2021-12-01,Port Harcourt,Operations,28,6306216
2021-12-01,Port Harcourt,Sales,60,26639460
2021-12-01,Port Harcourt,Finance,27,3991437
2021-12-01,Port Harcourt,Admin,39,4850391
2021-12-01,Port Harcourt,Logistics,14,4532654
2021-12-01,Kano,Operations,52,13636688
2021-12-01,Kano,Sales,52,16060616
2021-12-01,Kano,Finance,16,2080032
2021-12-01,Kano,Admin,28,9034172
2021-12-01,Kano,Logistics,24,7670328
2021-12-01,Ibadan,Operations,42,7233282
2021-12-01,Ibadan,Sales,30,11223060
2021-12-01,Ibadan,Finance,48,19137120
2021-12-01,Ibadan,Admin,15,3266040
2021-12-01,Ibadan,Logistics,22,8414670
2022-01-01,Lagos,Operations,39,16144479
2022-01-01,Lagos,Sales,55,7219630
2022-01-01,Lagos,Finance,12,2996448
2022-01-01,Lagos,Admin,43,12034367
2022-01-01,Lagos,Logistics,31,11682815
2022-01-01,Abuja,Operations,35,7081025
2022-01-01,Abuja,Sales,11,3319932
2022-01-01,Abuja,Finance,53,16138659
2022-01-01,Abuja,Admin,32,14329632
2022-01-01,Abuja,Logistics,29,7071331
2022-01-01,Port Harcourt,Operations,42,11114838
2022-01-01,Port Harcourt,Sales,13,5825235
2022-01-01,Port Harcourt,Finance,26,8397688
2022-01-01,Port Harcourt,Admin,11,4520428
2022-01-01,Port Harcourt,Logistics,27,6433290
2022-01-01,Kano,Operations,19,5684686
2022-01-01,Kano,Sales,35,6718740
2022-01-01,Kano,Finance,15,4805790
2022-01-01,Kano,Admin,43,18967257
2022-01-01,Kano,Logistics,50,11961850
2022-01-01,Ibadan,Operations,36,8856648
2022-01-01,Ibadan,Sales,46,9203864
2022-01-01,Ibadan,Finance,37,10499786
2022-01-01,Ibadan,Admin,48,14046720
2022-01-01,Ibadan,Logistics,38,15362868
2022-02-01,Lagos,Operations,18,4111200
2022-02-01,Lagos,Sales,51,9825354
2022-02-01,Lagos,Finance,47,18979775
2022-02-01,Lagos,Admin,53,11981604
2022-02-01,Lagos,Logistics,18,5076072
2022-02-01,Abuja,Operations,54,21309696
2022-02-01,Abuja,Sales,18,6218586
2022-02-01,Abuja,Finance,59,11569959
2022-02-01,Abuja,Admin,51,21223191
2022-02-01,Abuja,Logistics,20,5729180
2022-02-01,Port Harcourt,Operations,14,5770884
2022-02-01,Port Harcourt,Sales,44,8011036
2022-02-01,Port Harcourt,Finance,21,6016752
2022-02-01,Port Harcourt,Admin,19,2573683
2022-02-01,Port Harcourt,Logistics,58,16650872
2022-02-01,Kano,Operations,36,12082104
2022-02-01,Kano,Sales,29,10215569
2022-02-01,Kano,Finance,57,15022236
2022-02-01,Kano,Admin,19,4152089
2022-02-01,Kano,Logistics,16,3023472
2022-02-01,Ibadan,Operations,21,2808435
2022-02-01,Ibadan,Sales,58,25569532
2022-02-01,Ibadan,Finance,49,12735688
2022-02-01,Ibadan,Admin,48,20030064
2022-02-01,Ibadan,Logistics,49,11812136
2022-03-01,Lagos,Operations,48,11603040
2022-03-01,Lagos,Sales,24,3208200
2022-03-01,Lagos,Finance,32,5173376
2022-03-01,Lagos,Admin,54,19973304
2022-03-01,Lagos,Logistics,18,6900516
2022-03-01,Abuja,Operations,48,17556816
2022-03-01,Abuja,Sales,55,17383410
2022-03-01,Abuja,Finance,21,6785940
2022-03-01,Abuja,Admin,41,15105712
2022-03-01,Abuja,Logistics,18,3705678
2022-03-01,Port Harcourt,Operations,22,5249904
2022-03-01,Port Harcourt,Sales,12,4010616
2022-03-01,Port Harcourt,Finance,58,7416518
2022-03-01,Port Harcourt,Admin,27,9086958
2022-03-01,Port Harcourt,Logistics,24,5432232
2022-03-01,Kano,Operations,58,13180442
2022-03-01,Kano,Sales,14,2979746
2022-03-01,Kano,Finance,38,16853608
2022-03-01,Kano,Admin,41,11903858
2022-03-01,Kano,Logistics,39,9726015
2022-03-01,Ibadan,Operations,37,12293842
2022-03-01,Ibadan,Sales,59,8373811
2022-03-01,Ibadan,Finance,48,15332400
2022-03-01,Ibadan,Admin,56,15906688
2022-03-01,Ibadan,Logistics,35,15421140
2022-04-01,Lagos,Operations,57,23931906
2022-04-01,Lagos,Sales,48,19252848
2022-04-01,Lagos,Finance,43,6028213
2022-04-01,Lagos,Admin,43,7624459
2022-04-01,Lagos,Logistics,38,13662786
2022-04-01,Abuja,Operations,12,2985936
2022-04-01,Abuja,Sales,43,17285914
2022-04-01,Abuja,Finance,35,4920265
2022-04-01,Abuja,Admin,45,14539860
2022-04-01,Abuja,Logistics,43,6271335
2022-04-01,Port Harcourt,Operations,22,5998542
2022-04-01,Port Harcourt,Sales,38,12490106
2022-04-01,Port Harcourt,Finance,29,7827129
2022-04-01,Port Harcourt,Admin,39,8084154
2022-04-01,Port Harcourt,Logistics,37,10151320
2022-04-01,Kano,Operations,49,7281302
2022-04-01,Kano,Sales,54,21116160
2022-04-01,Kano,Finance,19,6897912
2022-04-01,Kano,Admin,51,18197769
2022-04-01,Kano,Logistics,15,5737320
2022-04-01,Ibadan,Operations,17,3642267
2022-04-01,Ibadan,Sales,59,25189637
2022-04-01,Ibadan,Finance,54,21949596
2022-04-01,Ibadan,Admin,18,5869440
2022-04-01,Ibadan,Logistics,36,10425096
2022-05-01,Lagos,Operations,38,5056318
2022-05-01,Lagos,Sales,21,7515039
2022-05-01,Lagos,Finance,47,10615890
2022-05-01,Lagos,Admin,39,6523920
2022-05-01,Lagos,Logistics,26,7537608
2022-05-01,Abuja,Operations,54,11122920
2022-05-01,Abuja,Sales,55,10162460
2022-05-01,Abuja,Finance,15,2697825
2022-05-01,Abuja,Admin,55,19558770
2022-05-01,Abuja,Logistics,50,15514300
2022-05-01,Port Harcourt,Operations,15,5919465
2022-05-01,Port Harcourt,Sales,55,17675460
2022-05-01,Port Harcourt,Finance,56,21742560
2022-05-01,Port Harcourt,Admin,49,9987817
2022-05-01,Port Harcourt,Logistics,34,13890326
2022-05-01,Kano,Operations,34,4862646
2022-05-01,Kano,Sales,59,12365928
2022-05-01,Kano,Finance,31,12910880
2022-05-01,Kano,Admin,52,10331880
2022-05-01,Kano,Logistics,20,3916300
2022-05-01,Ibadan,Operations,21,3084921
2022-05-01,Ibadan,Sales,36,10134468
2022-05-01,Ibadan,Finance,29,10265043
2022-05-01,Ibadan,Admin,28,12556348
2022-05-01,Ibadan,Logistics,21,3814272
2022-06-01,Lagos,Operations,18,4074336
2022-06-01,Lagos,Sales,10,4464000
2022-06-01,Lagos,Finance,58,14656774
2022-06-01,Lagos,Admin,10,3604600
2022-06-01,Lagos,Logistics,41,15638712
2022-06-01,Abuja,Operations,44,5412616
2022-06-01,Abuja,Sales,48,18178464
2022-06-01,Abuja,Finance,25,5842600
2022-06-01,Abuja,Admin,47,17362270
2022-06-01,Abuja,Logistics,39,13066443
2022-06-01,Port Harcourt,Operations,38,6141978
2022-06-01,Port Harcourt,Sales,48,20862048
2022-06-01,Port Harcourt,Finance,10,2483000
2022-06-01,Port Harcourt,Admin,45,11961495
2022-06-01,Port Harcourt,Logistics,49,22029714
2022-06-01,Kano,Operations,45,10298745
2022-06-01,Kano,Sales,13,2819817
2022-06-01,Kano,Finance,19,2828511
2022-06-01,Kano,Admin,51,15452286
2022-06-01,Kano,Logistics,12,2354616
2022-06-01,Ibadan,Operations,12,5077044
2022-06-01,Ibadan,Sales,48,13270512
2022-06-01,Ibadan,Finance,31,5145411
2022-06-01,Ibadan,Admin,13,2302144
2022-06-01,Ibadan,Logistics,36,7684308
2022-07-01,Lagos,Operations,20,5381940
2022-07-01,Lagos,Sales,49,21164815
2022-07-01,Lagos,Finance,46,19078132
2022-07-01,Lagos,Admin,21,7533288
2022-07-01,Lagos,Logistics,57,24142065
2022-07-01,Abuja,Operations,33,4580070
2022-07-01,Abuja,Sales,15,4153740
2022-07-01,Abuja,Finance,30,9397080
2022-07-01,Abuja,Admin,34,5286184
2022-07-01,Abuja,Logistics,58,19954320
2022-07-01,Port Harcourt,Operations,45,6931755
2022-07-01,Port Harcourt,Sales,28,10271604
2022-07-01,Port Harcourt,Finance,18,3311550
2022-07-01,Port Harcourt,Admin,54,14249196
2022-07-01,Port Harcourt,Logistics,31,12286137
2022-07-01,Kano,Operations,36,14222340
2022-07-01,Kano,Sales,23,5280846
2022-07-01,Kano,Finance,49,7374745
2022-07-01,Kano,Admin,16,6712960
2022-07-01,Kano,Logistics,56,25186840
2022-07-01,Ibadan,Operations,43,7136452
2022-07-01,Ibadan,Sales,40,17483080
2022-07-01,Ibadan,Finance,60,16234080
2022-07-01,Ibadan,Admin,37,16250733
2022-07-01,Ibadan,Logistics,30,7684080
2022-08-01,Lagos,Operations,43,18126220
2022-08-01,Lagos,Sales,49,14970529
2022-08-01,Lagos,Finance,18,7957152
2022-08-01,Lagos,Admin,46,17491684
2022-08-01,Lagos,Logistics,43,16381237
2022-08-01,Abuja,Operations,41,8787243
2022-08-01,Abuja,Sales,49,11858637
2022-08-01,Abuja,Finance,55,14976445
2022-08-01,Abuja,Admin,22,2658216
2022-08-01,Abuja,Logistics,17,2253775
2022-08-01,Port Harcourt,Operations,39,17468919
2022-08-01,Port Harcourt,Sales,60,10909620
2022-08-01,Port Harcourt,Finance,57,13035957
2022-08-01,Port Harcourt,Admin,49,16531914
2022-08-01,Port Harcourt,Logistics,36,5178636
2022-08-01,Kano,Operations,31,9402827
2022-08-01,Kano,Sales,45,10409670
2022-08-01,Kano,Finance,10,2254800
2022-08-01,Kano,Admin,54,14453262
2022-08-01,Kano,Logistics,26,4044690
2022-08-01,Ibadan,Operations,29,8045615
2022-08-01,Ibadan,Sales,42,17150910
2022-08-01,Ibadan,Finance,30,3696420
2022-08-01,Ibadan,Admin,17,5010512
2022-08-01,Ibadan,Logistics,31,10156933
2022-09-01,Lagos,Operations,56,23423568
2022-09-01,Lagos,Sales,49,6627985
2022-09-01,Lagos,Finance,21,4656120
2022-09-01,Lagos,Admin,31,9212456
2022-09-01,Lagos,Logistics,53,19673070
2022-09-01,Abuja,Operations,40,5545680
2022-09-01,Abuja,Sales,51,9749874
2022-09-01,Abuja,Finance,40,8058680
2022-09-01,Abuja,Admin,50,18074800
2022-09-01,Abuja,Logistics,44,13010492
2022-09-01,Port Harcourt,Operations,39,13144170
2022-09-01,Port Harcourt,Sales,57,8514147
2022-09-01,Port Harcourt,Finance,43,11908506
2022-09-01,Port Harcourt,Admin,46,13129044
2022-09-01,Port Harcourt,Logistics,45,18043110
2022-09-01,Kano,Operations,11,2521079
2022-09-01,Kano,Sales,46,13520136
2022-09-01,Kano,Finance,60,18323100
2022-09-01,Kano,Admin,14,2775892
2022-09-01,Kano,Logistics,27,3681261
2022-09-01,Ibadan,Operations,31,9818754
2022-09-01,Ibadan,Sales,50,20005650
2022-09-01,Ibadan,Finance,20,8387160
2022-09-01,Ibadan,Admin,48,15563712
2022-09-01,Ibadan,Logistics,21,9073071
2022-10-01,Lagos,Operations,17,4787676
2022-10-01,Lagos,Sales,55,15668840
2022-10-01,Lagos,Finance,55,7512010
2022-10-01,Lagos,Admin,27,9098622
2022-10-01,Lagos,Logistics,15,5708985
2022-10-01,Abuja,Operations,25,7870400
2022-10-01,Abuja,Sales,38,10589232
2022-10-01,Abuja,Finance,23,9091969
2022-10-01,Abuja,Admin,29,6140953
2022-10-01,Abuja,Logistics,17,5375332
2022-10-01,Port Harcourt,Operations,60,8376300
2022-10-01,Port Harcourt,Sales,59,13331463
2022-10-01,Port Harcourt,Finance,15,5289975
2022-10-01,Port Harcourt,Admin,42,5589066
2022-10-01,Port Harcourt,Logistics,40,15286880
2022-10-01,Kano,Operations,19,4174775
2022-10-01,Kano,Sales,31,11577818
2022-10-01,Kano,Finance,56,22093736
2022-10-01,Kano,Admin,29,8456951
2022-10-01,Kano,Logistics,19,3258728
2022-10-01,Ibadan,Operations,43,8152026
2022-10-01,Ibadan,Sales,23,3200772
2022-10-01,Ibadan,Finance,39,12605073
2022-10-01,Ibadan,Admin,55,21662245
2022-10-01,Ibadan,Logistics,17,2076618
2022-11-01,Lagos,Operations,29,4149436
2022-11-01,Lagos,Sales,53,22873581
2022-11-01,Lagos,Finance,15,4421085
2022-11-01,Lagos,Admin,39,5623410
2022-11-01,Lagos,Logistics,16,6286912
2022-11-01,Abuja,Operations,59,16745911
2022-11-01,Abuja,Sales,11,4650877
2022-11-01,Abuja,Finance,58,16451816
2022-11-01,Abuja,Admin,50,11500950
2022-11-01,Abuja,Logistics,30,6754440
2022-11-01,Port Harcourt,Operations,22,5945346
2022-11-01,Port Harcourt,Sales,27,10774755
2022-11-01,Port Harcourt,Finance,30,10538130
2022-11-01,Port Harcourt,Admin,52,9447464
2022-11-01,Port Harcourt,Logistics,27,5353749
2022-11-01,Kano,Operations,20,5269280
2022-11-01,Kano,Sales,17,2175966
2022-11-01,Kano,Finance,49,20256845
2022-11-01,Kano,Admin,42,7294308
2022-11-01,Kano,Logistics,23,9302143
2022-11-01,Ibadan,Operations,32,13056800
2022-11-01,Ibadan,Sales,30,7863270
2022-11-01,Ibadan,Finance,19,5101747
2022-11-01,Ibadan,Admin,46,11424468
2022-11-01,Ibadan,Logistics,20,3147020
2022-12-01,Lagos,Operations,29,12804254
2022-12-01,Lagos,Sales,31,12505958
2022-12-01,Lagos,Finance,38,5570610
2022-12-01,Lagos,Admin,18,2433600
2022-12-01,Lagos,Logistics,40,5858120
2022-12-01,Abuja,Operations,16,5137856
2022-12-01,Abuja,Sales,13,2146963
2022-12-01,Abuja,Finance,37,12042649
2022-12-01,Abuja,Admin,21,9083319
2022-12-01,Abuja,Logistics,47,16626062
2022-12-01,Port Harcourt,Operations,49,15016001
2022-12-01,Port Harcourt,Sales,29,8532873
2022-12-01,Port Harcourt,Finance,22,8793378
2022-12-01,Port Harcourt,Admin,15,5462370
2022-12-01,Port Harcourt,Logistics,46,8698508
2022-12-01,Kano,Operations,15,5482665
2022-12-01,Kano,Sales,16,5741712
2022-12-01,Kano,Finance,29,10556029
2022-12-01,Kano,Admin,40,9658960
2022-12-01,Kano,Logistics,24,4688424
2022-12-01,Ibadan,Operations,49,12509357
2022-12-01,Ibadan,Sales,33,10743513
2022-12-01,Ibadan,Finance,21,6156906
2022-12-01,Ibadan,Admin,60,17416080
2022-12-01,Ibadan,Logistics,39,14648127
2023-01-01,Lagos,Operations,11,1696970
2023-01-01,Lagos,Sales,40,7167400
2023-01-01,Lagos,Finance,32,11870432
2023-01-01,Lagos,Admin,39,8172411
2023-01-01,Lagos,Logistics,28,8477672
2023-01-01,Abuja,Operations,48,20222208
2023-01-01,Abuja,Sales,18,6953598
2023-01-01,Abuja,Finance,16,5323136
2023-01-01,Abuja,Admin,55,9684895
2023-01-01,Abuja,Logistics,30,12347460
2023-01-01,Port Harcourt,Operations,51,8016384
2023-01-01,Port Harcourt,Sales,60,16703760
