Date,Year,Month,MDA,LGA,Revenue Stream,Collection Channel,Collector,Amount,Revenue Target,Expected Amount,Remitted Amount,Variance
02/01/2021,2021,1,Ministry of Health,Funtua,PAYE Tax,Collection Agent,Collection Agent North,13872714.5,16365012.53,15518484.53,12738080.26,2780404.27
02/01/2021,2021,1,Ministry of Commerce and Industry,Funtua,Road Taxes,Cash Office,Collection Agent North,2122689.55,2422289.63,2321090.81,1813283.57,507807.24
02/01/2021,2021,1,Ministry of Commerce and Industry,Funtua,Market Fees,Collection Agent,Collection Agent South,11788467.15,14346251.99,12462792.47,10205472.04,2257320.43
02/01/2021,2021,1,Ministry of Commerce and Industry,Funtua,Land Use Charges,POS,Collection Agent South,15738589.5,18131236.85,15490427.24,14573071.76,917355.48
02/01/2021,2021,1,Ministry of Commerce and Industry,Funtua,Business Premises Levy,Online Portal,Collection Agent North,5646889.85,6002121.03,5402565.99,5609727.56,-207161.57
02/01/2021,2021,1,Ministry of Education,Funtua,Motor Vehicle Registration,Bank Transfer,IRS Team B,11470895.8,12967560.24,10972962.81,10782817.34,190145.47
02/01/2021,2021,1,Ministry of Commerce and Industry,Funtua,Development Levy,Collection Agent,Collection Agent South,3340679.85,3641475.63,3561734.47,3308336.86,253397.61
02/01/2021,2021,1,Ministry of Transport,Funtua,Tenement Rates,Cash Office,Collection Agent North,4338266.9,5566370.97,4739043.19,4229448.23,509594.96
02/01/2021,2021,1,Ministry of Transport,Funtua,Licensing Fees,Online Portal,Collection Agent North,12875738.1,17051977.07,16507474.07,12730806.83,3776667.24
02/01/2021,2021,1,Katsina State Internal Revenue Service,Funtua,Court Fines and Penalties,Collection Agent,Collection Agent South,13489410.3,18090720.91,15715027.76,12648933.36,3066094.4
02/01/2021,2021,1,Katsina State Internal Revenue Service,Malumfashi,PAYE Tax,Online Portal,Collection Agent North,15062217,17450366.49,16294968.28,13753524.99,2541443.29
02/01/2021,2021,1,Ministry of Education,Malumfashi,Road Taxes,Cash Office,MDA Desk Officer,8645116.95,11181923.92,9375976.29,8641308.21,734668.08
02/01/2021,2021,1,Katsina State Internal Revenue Service,Malumfashi,Market Fees,Cash Office,Collection Agent North,9102455.85,10924243.57,10551416.04,7975861.29,2575554.75
02/01/2021,2021,1,Ministry of Lands and Survey,Malumfashi,Land Use Charges,Online Portal,IRS Team A,12510820.1,16595663.58,13682549.72,11132282.99,2550266.73
02/01/2021,2021,1,State Water Board,Malumfashi,Business Premises Levy,Online Portal,IRS Team A,17542105.75,23388298.7,18952024.53,15932840.74,3019183.79
02/01/2021,2021,1,Ministry of Transport,Malumfashi,Motor Vehicle Registration,Collection Agent,MDA Desk Officer,3798424.7,4264877.63,3791836.93,3707746.62,84090.31
02/01/2021,2021,1,State Water Board,Malumfashi,Development Levy,Online Portal,IRS Team B,12582903.25,16793601.79,14964732.19,11780664.97,3184067.22
02/01/2021,2021,1,Ministry of Agriculture,Malumfashi,Tenement Rates,Online Portal,IRS Team A,19533684.95,21578114.61,17348425.34,18538066.68,-1189641.34
02/01/2021,2021,1,Ministry of Health,Malumfashi,Licensing Fees,Cash Office,Collection Agent South,15882065.8,16879904.56,16873605.75,13836976.08,3036629.67
02/01/2021,2021,1,Ministry of Commerce and Industry,Malumfashi,Court Fines and Penalties,POS,Collection Agent South,18519619.55,24245547.1,21643545.63,18240665.54,3402880.09
02/01/2021,2021,1,State Water Board,Dutsin-Ma,PAYE Tax,Online Portal,Collection Agent South,18848696.65,24885454.83,19977734.17,18084884.3,1892849.87
02/01/2021,2021,1,Ministry of Works and Housing,Dutsin-Ma,Road Taxes,Online Portal,MDA Desk Officer,6115825.35,6729891.6,5943916.59,5588313.83,355602.76
02/01/2021,2021,1,Katsina State Internal Revenue Service,Dutsin-Ma,Market Fees,Cash Office,IRS Team B,13437464.8,14908494.21,12730213.49,11756293.8,973919.69
02/01/2021,2021,1,Katsina Urban Planning Authority,Dutsin-Ma,Land Use Charges,POS,MDA Desk Officer,15937253.15,19123932.62,18650662.49,14082483.12,4568179.37
02/01/2021,2021,1,Ministry of Works and Housing,Dutsin-Ma,Business Premises Levy,Bank Transfer,Collection Agent North,11908467.35,14693362.44,13392715.76,11564386.27,1828329.49
02/01/2021,2021,1,Ministry of Works and Housing,Dutsin-Ma,Motor Vehicle Registration,Cash Office,Collection Agent North,11771406.9,15177234.59,13503355.08,10111906.74,3391448.34
02/01/2021,2021,1,Ministry of Lands and Survey,Dutsin-Ma,Development Levy,Collection Agent,MDA Desk Officer,10072638.4,11041166.12,9130073.89,9966287.23,-836213.34
02/01/2021,2021,1,Ministry of Education,Dutsin-Ma,Tenement Rates,Bank Transfer,IRS Team B,20573961.15,27219499.54,22175399.21,20349102.53,1826296.68
02/01/2021,2021,1,Ministry of Lands and Survey,Dutsin-Ma,Licensing Fees,Online Portal,Collection Agent South,1936384.95,2050602.56,2019709.06,1717534.21,302174.85
02/01/2021,2021,1,Ministry of Lands and Survey,Dutsin-Ma,Court Fines and Penalties,Online Portal,IRS Team B,18833929.5,21494323.59,18410094.41,17825456.17,584638.24
02/01/2021,2021,1,Ministry of Education,Kankia,PAYE Tax,Collection Agent,IRS Team A,7991896.25,10186463.46,9750639.46,7351620.05,2399019.41
02/01/2021,2021,1,Ministry of Education,Kankia,Road Taxes,Collection Agent,Collection Agent North,9718195.75,11343097.96,9503152.48,8372811.58,1130340.9
02/01/2021,2021,1,Ministry of Transport,Kankia,Market Fees,Bank Transfer,MDA Desk Officer,19169176.35,20928270.26,19803253.74,18917947.3,885306.44
02/01/2021,2021,1,Ministry of Works and Housing,Kankia,Land Use Charges,Cash Office,MDA Desk Officer,4155608.95,5051309.17,4058648.69,3856948.82,201699.87
02/01/2021,2021,1,Ministry of Commerce and Industry,Kankia,Business Premises Levy,POS,Collection Agent North,7296210.65,9711149.12,7974265.32,7109829.48,864435.84
02/01/2021,2021,1,Ministry of Works and Housing,Kankia,Motor Vehicle Registration,Collection Agent,MDA Desk Officer,16253418.05,20655509.04,19748774.94,14317516.75,5431258.19
02/01/2021,2021,1,Ministry of Health,Kankia,Development Levy,Cash Office,IRS Team B,9139286.9,11998968.04,9936519.35,8951163.91,985355.44
02/01/2021,2021,1,Ministry of Works and Housing,Kankia,Tenement Rates,Online Portal,IRS Team A,4861514.6,5247827.11,4428193.07,4446004.85,-17811.78
02/01/2021,2021,1,Ministry of Lands and Survey,Kankia,Licensing Fees,Bank Transfer,IRS Team A,5599599.55,6134413.04,5473533.82,4835495.57,638038.25
02/01/2021,2021,1,Katsina State Internal Revenue Service,Kankia,Court Fines and Penalties,Online Portal,Collection Agent North,14620001.75,19544355.74,18839588.36,14218479.25,4621109.11
02/01/2021,2021,1,Ministry of Lands and Survey,Mani,PAYE Tax,Online Portal,IRS Team B,6261608.55,6742631.08,5406971.79,5629857.9,-222886.11
02/01/2021,2021,1,Ministry of Commerce and Industry,Mani,Road Taxes,POS,IRS Team A,9456247.6,10093471.41,8205190.73,9349549.38,-1144358.65
02/01/2021,2021,1,Ministry of Education,Mani,Market Fees,POS,Collection Agent South,7282924.7,9378856.58,8975543.27,6851076.68,2124466.59
02/01/2021,2021,1,Katsina Urban Planning Authority,Mani,Land Use Charges,Online Portal,Collection Agent North,16531459.3,22200969.74,20225885.58,14970751.36,5255134.22
02/01/2021,2021,1,Ministry of Lands and Survey,Mani,Business Premises Levy,Bank Transfer,Collection Agent South,4238036.35,4817794.04,4156285.45,4137371.97,18913.48
02/01/2021,2021,1,Ministry of Commerce and Industry,Mani,Motor Vehicle Registration,Collection Agent,IRS Team A,17169148.1,21358097.67,17427716.15,16447063.51,980652.64
02/01/2021,2021,1,Ministry of Commerce and Industry,Mani,Development Levy,Cash Office,IRS Team A,13494399,17138286.4,16989396.63,12551237.07,4438159.56
02/01/2021,2021,1,Ministry of Works and Housing,Mani,Tenement Rates,POS,IRS Team B,9424609.95,11938052.49,10570838.23,8690714.57,1880123.66
02/01/2021,2021,1,Katsina Urban Planning Authority,Mani,Licensing Fees,Collection Agent,IRS Team B,14333184.85,16715171.09,14242543.31,12250109.51,1992433.8
02/01/2021,2021,1,Ministry of Health,Mani,Court Fines and Penalties,POS,MDA Desk Officer,19354718.5,21390849.56,17696148.33,18525706.35,-829558.02
02/01/2021,2021,1,Ministry of Agriculture,Mashi,PAYE Tax,Bank Transfer,IRS Team A,3681290.3,4264160.32,4191385.2,3328522.39,862862.81
02/01/2021,2021,1,Ministry of Lands and Survey,Mashi,Road Taxes,Bank Transfer,Collection Agent South,6588421.3,7431705.43,7123171.78,6454101.13,669070.65
02/01/2021,2021,1,Katsina Urban Planning Authority,Mashi,Market Fees,Bank Transfer,MDA Desk Officer,14579123.85,16562899.68,15903736.51,14287052.34,1616684.17
02/01/2021,2021,1,Ministry of Agriculture,Mashi,Land Use Charges,Cash Office,IRS Team B,20689131.35,21756798.56,21055387.93,19507733.49,1547654.44
02/01/2021,2021,1,Ministry of Transport,Mashi,Business Premises Levy,Cash Office,MDA Desk Officer,19712512.25,26274672.72,21967175.88,19429852.09,2537323.79
02/01/2021,2021,1,Katsina State Internal Revenue Service,Mashi,Motor Vehicle Registration,Cash Office,IRS Team B,9199737.8,10322057.2,8266466.75,8395507.79,-129041.04
02/01/2021,2021,1,Ministry of Works and Housing,Mashi,Development Levy,POS,Collection Agent South,17216796.05,19455058.17,16218312.48,16917067.96,-698755.48
02/01/2021,2021,1,Ministry of Agriculture,Mashi,Tenement Rates,Bank Transfer,IRS Team A,17701568.2,19234608.64,17576421.38,15752928.62,1823492.76
02/01/2021,2021,1,Katsina Urban Planning Authority,Mashi,Licensing Fees,POS,MDA Desk Officer,2758379.65,3153991.44,2868494.23,2618451.66,250042.57
02/01/2021,2021,1,Ministry of Health,Mashi,Court Fines and Penalties,Online Portal,MDA Desk Officer,2162212.75,2841292.28,2386665.18,1906628.59,480036.59
02/01/2021,2021,1,Ministry of Lands and Survey,Musawa,PAYE Tax,Bank Transfer,IRS Team B,2592579.55,2854549.91,2310668.56,2290171.99,20496.57
02/01/2021,2021,1,Ministry of Works and Housing,Musawa,Road Taxes,Cash Office,Collection Agent South,17725137.45,23743303.96,20897520.42,16976270.12,3921250.3
02/01/2021,2021,1,Ministry of Lands and Survey,Musawa,Market Fees,Collection Agent,MDA Desk Officer,18351896.65,19680239.07,19014785.78,16194228.79,2820556.99
02/01/2021,2021,1,Katsina State Internal Revenue Service,Musawa,Land Use Charges,Collection Agent,MDA Desk Officer,10201118.7,12857407.59,10821392.91,8725479.68,2095913.23
02/01/2021,2021,1,Katsina Urban Planning Authority,Musawa,Business Premises Levy,Bank Transfer,IRS Team A,18227196.4,23717867.34,22755738.95,17907178.64,4848560.31
02/01/2021,2021,1,Ministry of Lands and Survey,Musawa,Motor Vehicle Registration,Online Portal,IRS Team B,13595794.5,16897894.65,14886045.63,12430570.06,2455475.57
02/01/2021,2021,1,Ministry of Works and Housing,Musawa,Development Levy,Bank Transfer,IRS Team A,14850865.4,16555711.32,15418380.39,14057753.53,1360626.86
02/01/2021,2021,1,State Water Board,Musawa,Tenement Rates,Online Portal,MDA Desk Officer,16813848.7,20227597.94,19037370.78,15007214.58,4030156.2
02/01/2021,2021,1,Ministry of Health,Musawa,Licensing Fees,Collection Agent,Collection Agent South,18020309.1,23490372.67,23145275.25,15564927.06,7580348.19
02/01/2021,2021,1,Katsina State Internal Revenue Service,Musawa,Court Fines and Penalties,Collection Agent,Collection Agent South,18218633.5,23006007.29,20796254.94,17116813.75,3679441.19
02/01/2021,2021,1,State Water Board,Bakori,PAYE Tax,Bank Transfer,Collection Agent North,14533365.35,19229183.99,16330542.65,14094195.67,2236346.98
02/01/2021,2021,1,Ministry of Transport,Bakori,Road Taxes,Bank Transfer,MDA Desk Officer,12360270.15,14076835.57,13381193.87,11198666.84,2182527.03
02/01/2021,2021,1,Ministry of Agriculture,Bakori,Market Fees,Collection Agent,Collection Agent South,16005089.35,21595835.89,20093869.79,15934867.05,4159002.74
02/01/2021,2021,1,Ministry of Health,Bakori,Land Use Charges,Bank Transfer,MDA Desk Officer,5558328.35,5923600.95,4853595.81,5393434.89,-539839.08
02/01/2021,2021,1,Ministry of Lands and Survey,Bakori,Business Premises Levy,POS,IRS Team A,16279454.05,21864445.19,20194205.34,14402910.35,5791294.99
02/01/2021,2021,1,Ministry of Health,Bakori,Motor Vehicle Registration,Collection Agent,IRS Team A,9127924.9,11675177,10479898.33,8478494.93,2001403.4
02/01/2021,2021,1,Katsina Urban Planning Authority,Bakori,Development Levy,Cash Office,MDA Desk Officer,6195936.65,7091813.53,6531165.03,6051113.41,480051.62
02/01/2021,2021,1,Ministry of Agriculture,Bakori,Tenement Rates,Online Portal,Collection Agent North,16878781.15,18616226.18,15273176.93,16151543.12,-878366.19
02/01/2021,2021,1,Katsina Urban Planning Authority,Bakori,Licensing Fees,POS,MDA Desk Officer,2742505.05,3647499.67,3020350.88,2663207.05,357143.83
02/01/2021,2021,1,Ministry of Lands and Survey,Bakori,Court Fines and Penalties,POS,Collection Agent South,4951704.5,6507681.95,5868147.66,4694730.6,1173417.06
02/01/2021,2021,1,Ministry of Transport,Charanchi,PAYE Tax,Collection Agent,IRS Team A,16619055.95,19796273.19,16932506.82,16587023.79,345483.03
02/01/2021,2021,1,Ministry of Transport,Charanchi,Road Taxes,POS,IRS Team A,11466992.7,13508840.73,13099944.75,10559462.61,2540482.14
02/01/2021,2021,1,Katsina State Internal Revenue Service,Charanchi,Market Fees,Cash Office,Collection Agent North,7871620.05,9911661.97,9872607.84,7214431.15,2658176.69
02/01/2021,2021,1,Ministry of Works and Housing,Charanchi,Land Use Charges,Bank Transfer,MDA Desk Officer,2004138.35,2323881.12,2220845.61,1995307.76,225537.85
02/01/2021,2021,1,Katsina Urban Planning Authority,Charanchi,Business Premises Levy,Cash Office,Collection Agent South,12302741.4,15483693.25,14448061.51,10517603.66,3930457.85
02/01/2021,2021,1,Ministry of Transport,Charanchi,Motor Vehicle Registration,POS,Collection Agent North,4168958.15,4913409.78,4754143.63,3761352.22,992791.41
02/01/2021,2021,1,Ministry of Health,Charanchi,Development Levy,Online Portal,MDA Desk Officer,14247197.05,17286377.51,16159795.41,12849532.22,3310263.19
02/01/2021,2021,1,Katsina State Internal Revenue Service,Charanchi,Tenement Rates,Bank Transfer,Collection Agent South,17064269.25,18575504.2,16781462.15,16040273.34,741188.81
02/01/2021,2021,1,Ministry of Lands and Survey,Charanchi,Licensing Fees,Cash Office,Collection Agent North,11669255.85,12477169.36,10451964.55,10529910.81,-77946.26
02/01/2021,2021,1,Ministry of Lands and Survey,Charanchi,Court Fines and Penalties,Cash Office,IRS Team A,8074389.2,9437150.04,8227448.43,7999577.29,227871.14
02/01/2021,2021,1,Ministry of Education,Jibia,PAYE Tax,Online Portal,IRS Team A,3702851.65,4657168.46,4068678.21,3252966.98,815711.23
02/01/2021,2021,1,Ministry of Works and Housing,Jibia,Road Taxes,Cash Office,Collection Agent North,18424427.15,24481048.06,21723359.97,16897163.73,4826196.24
02/01/2021,2021,1,Ministry of Lands and Survey,Jibia,Market Fees,Bank Transfer,IRS Team A,2503998.5,3332457.32,3296927.9,2275851.25,1021076.65
02/01/2021,2021,1,Ministry of Commerce and Industry,Jibia,Land Use Charges,Online Portal,MDA Desk Officer,17800732.7,19027777.26,17527211.54,15453954.65,2073256.89
02/01/2021,2021,1,Ministry of Lands and Survey,Jibia,Business Premises Levy,Collection Agent,MDA Desk Officer,10299025.1,10915843.26,9179393.15,9197549.41,-18156.26
02/01/2021,2021,1,Ministry of Agriculture,Jibia,Motor Vehicle Registration,POS,MDA Desk Officer,15287151.25,18825986.84,16418891.13,14219480.78,2199410.35
02/01/2021,2021,1,Katsina State Internal Revenue Service,Jibia,Development Levy,Collection Agent,Collection Agent North,18427016.95,23982997.32,20184041.51,16328335.09,3855706.42
02/01/2021,2021,1,Katsina Urban Planning Authority,Jibia,Tenement Rates,POS,MDA Desk Officer,10906267.65,14430986.25,12014258.97,10028667.16,1985591.81
02/01/2021,2021,1,Ministry of Commerce and Industry,Jibia,Licensing Fees,Cash Office,Collection Agent North,16945819.25,20148114.43,19785523.72,15513112.24,4272411.48
02/01/2021,2021,1,Ministry of Agriculture,Jibia,Court Fines and Penalties,Bank Transfer,Collection Agent North,19349952.9,25346593.34,25261824.53,19078482.11,6183342.42
02/01/2021,2021,1,Ministry of Commerce and Industry,Batsari,PAYE Tax,Cash Office,Collection Agent South,13506210.65,16465965.5,14919456.83,11952621.77,2966835.06
02/01/2021,2021,1,Ministry of Health,Batsari,Road Taxes,Cash Office,Collection Agent South,2831725.5,3350621.44,3088947.35,2664964.2,423983.15
02/01/2021,2021,1,Ministry of Agriculture,Batsari,Market Fees,POS,Collection Agent South,16717746.65,18744493.87,17610537.05,16236279.59,1374257.46
02/01/2021,2021,1,Ministry of Works and Housing,Batsari,Land Use Charges,Collection Agent,Collection Agent North,20588031.4,25000332.27,21841541.19,19643714.77,2197826.42
02/01/2021,2021,1,Ministry of Health,Batsari,Business Premises Levy,POS,MDA Desk Officer,19809137.55,24957165.04,20606410.9,19704116.42,902294.48
02/01/2021,2021,1,Ministry of Agriculture,Batsari,Motor Vehicle Registration,Cash Office,IRS Team B,17128803.8,18809015.28,16056228.45,15155583.21,900645.24
02/01/2021,2021,1,Ministry of Education,Batsari,Development Levy,Online Portal,IRS Team B,17478107.1,21435576.9,17359327.15,17130161.87,229165.28
02/01/2021,2021,1,Ministry of Education,Batsari,Tenement Rates,Collection Agent,Collection Agent North,19657806.75,20792546.51,17293002.64,17691156.53,-398153.89
02/01/2021,2021,1,Ministry of Health,Batsari,Licensing Fees,Online Portal,IRS Team A,14571002.55,15739151.67,12721286.18,12856415.53,-135129.35
02/01/2021,2021,1,Ministry of Transport,Batsari,Court Fines and Penalties,Cash Office,IRS Team B,5096653.95,5495982.47,5008226.88,4370934.8,637292.08
02/01/2021,2021,1,Ministry of Education,Rimi,PAYE Tax,Bank Transfer,Collection Agent North,14402401.05,18972011.57,16078827.08,12904968.98,3173858.1
02/01/2021,2021,1,Ministry of Health,Rimi,Road Taxes,Collection Agent,MDA Desk Officer,10418113.35,13245278.79,13131589.11,9817223.63,3314365.48
02/01/2021,2021,1,Ministry of Lands and Survey,Rimi,Market Fees,Cash Office,Collection Agent South,7723696.7,8479980.72,7749852.03,6788095.49,961756.54
02/01/2021,2021,1,Ministry of Transport,Rimi,Land Use Charges,Collection Agent,IRS Team B,7500853.15,10102195.17,9268854.67,7437512.01,1831342.66
02/01/2021,2021,1,Ministry of Health,Rimi,Business Premises Levy,Collection Agent,IRS Team B,5532471.75,6194807.84,6066152.8,4801108.36,1265044.44
02/01/2021,2021,1,Ministry of Health,Rimi,Motor Vehicle Registration,Bank Transfer,Collection Agent North,7564259.55,9574109.91,8859969.01,7188084.9,1671884.11
02/01/2021,2021,1,Katsina Urban Planning Authority,Rimi,Development Levy,POS,Collection Agent South,6187699.2,7298642.48,6887080.58,6064562.71,822517.87
02/01/2021,2021,1,Ministry of Agriculture,Rimi,Tenement Rates,Online Portal,Collection Agent South,16978225.1,19340286.48,16385360.43,14817246.79,1568113.64
02/01/2021,2021,1,Ministry of Education,Rimi,Licensing Fees,Bank Transfer,IRS Team A,5666914.8,6647385.76,5720067.07,5231930.16,488136.91
02/01/2021,2021,1,Ministry of Transport,Rimi,Court Fines and Penalties,Online Portal,Collection Agent South,5304253.1,5684099.74,5166322.11,4584873.62,581448.49
02/01/2021,2021,1,Katsina State Internal Revenue Service,Kusada,PAYE Tax,POS,MDA Desk Officer,10424355.55,11990536.67,10650121.26,10031034.47,619086.79
02/01/2021,2021,1,Ministry of Agriculture,Kusada,Road Taxes,Bank Transfer,Collection Agent North,10750043.6,12835004.04,11168469.58,10510007.07,658462.51
02/01/2021,2021,1,Ministry of Commerce and Industry,Kusada,Market Fees,Online Portal,MDA Desk Officer,6177714.9,7550707.59,6179903.27,5259575.64,920327.63
02/01/2021,2021,1,Ministry of Commerce and Industry,Kusada,Land Use Charges,Online Portal,Collection Agent North,15494512.35,18349069.75,15231860.61,13728771.42,1503089.19
02/01/2021,2021,1,Ministry of Commerce and Industry,Kusada,Business Premises Levy,POS,Collection Agent North,14239745.05,18180505.29,17511476.1,13546107.39,3965368.71
02/01/2021,2021,1,Ministry of Lands and Survey,Kusada,Motor Vehicle Registration,Online Portal,Collection Agent North,6429809.85,7061833.23,7052443.94,5818562.23,1233881.71
02/01/2021,2021,1,Ministry of Lands and Survey,Kusada,Development Levy,Collection Agent,Collection Agent North,18704084.15,23495746.81,18823193.21,18482686.8,340506.41
02/01/2021,2021,1,Ministry of Education,Kusada,Tenement Rates,Collection Agent,IRS Team B,10885262.9,11934926.46,10977909.1,9978750.18,999158.92
02/01/2021,2021,1,State Water Board,Kusada,Licensing Fees,Online Portal,IRS Team A,15486455.45,19292674.63,16733591.88,15445646.32,1287945.56
02/01/2021,2021,1,Ministry of Education,Kusada,Court Fines and Penalties,Bank Transfer,MDA Desk Officer,2769887.7,3019130.11,2578859.41,2558627.26,20232.15
22/02/2021,2021,2,Ministry of Health,Katsina,PAYE Tax,POS,Collection Agent South,14415339,15677964.1,14562737.74,13946613.52,616124.22
22/02/2021,2021,2,Ministry of Transport,Katsina,Road Taxes,Bank Transfer,Collection Agent North,10678177,13016541.89,11089172.15,10327892.39,761279.76
22/02/2021,2021,2,Ministry of Commerce and Industry,Katsina,Market Fees,POS,IRS Team A,12582721,14088322.29,13437406.46,12582057.27,855349.19
22/02/2021,2021,2,Ministry of Works and Housing,Katsina,Land Use Charges,Online Portal,IRS Team B,6569668,8799033.33,7528044.73,6338748.95,1189295.78
22/02/2021,2021,2,Ministry of Transport,Katsina,Business Premises Levy,Collection Agent,IRS Team A,10617755,11325036.86,9395781.7,10249001.29,-853219.59
22/02/2021,2021,2,Ministry of Works and Housing,Katsina,Motor Vehicle Registration,Collection Agent,Collection Agent North,5343131,5675566.38,5514710.48,5213487.75,301222.73
22/02/2021,2021,2,Ministry of Commerce and Industry,Katsina,Development Levy,POS,IRS Team B,16811218,18771983.05,17602893.92,14455791.29,3147102.63
22/02/2021,2021,2,Katsina Urban Planning Authority,Katsina,Tenement Rates,Collection Agent,Collection Agent North,10064754,12191018.36,10963496.03,9518425.01,1445071.02
22/02/2021,2021,2,Ministry of Commerce and Industry,Katsina,Licensing Fees,Cash Office,IRS Team B,4716458,5682926.1,4789037.84,4145155.23,643882.61
22/02/2021,2021,2,Katsina Urban Planning Authority,Katsina,Court Fines and Penalties,POS,MDA Desk Officer,12634788,14326484.06,12809179.61,10999147.96,1810031.65
22/02/2021,2021,2,Ministry of Lands and Survey,Daura,PAYE Tax,Online Portal,IRS Team B,15244119,17137120.34,13973574.75,13808391.16,165183.59
22/02/2021,2021,2,Ministry of Commerce and Industry,Daura,Road Taxes,Bank Transfer,Collection Agent South,5402768,6382868.75,5178004.89,5201274.28,-23269.39
22/02/2021,2021,2,State Water Board,Daura,Market Fees,Collection Agent,IRS Team A,7706608,9590397.52,8421780.04,7389524.72,1032255.32
22/02/2021,2021,2,Ministry of Commerce and Industry,Daura,Land Use Charges,Bank Transfer,IRS Team B,14071984,17457704.79,16841572.41,14003278.98,2838293.43
22/02/2021,2021,2,Ministry of Agriculture,Daura,Business Premises Levy,Cash Office,IRS Team B,15225445,18009295.78,16661097.14,13404504.95,3256592.19
22/02/2021,2021,2,Ministry of Agriculture,Daura,Motor Vehicle Registration,Cash Office,Collection Agent South,7046109,8881033.81,8305892.85,6951884.1,1354008.75
22/02/2021,2021,2,Ministry of Commerce and Industry,Daura,Development Levy,Collection Agent,Collection Agent South,9646424,11191189.84,9976411.99,8958001.59,1018410.4
22/02/2021,2021,2,Ministry of Health,Daura,Tenement Rates,POS,Collection Agent North,12334613,15691018.46,14644736.74,11212244.25,3432492.49
22/02/2021,2021,2,Ministry of Education,Daura,Licensing Fees,POS,MDA Desk Officer,9771468,10333759.58,9611594.66,8556615.17,1054979.49
22/02/2021,2021,2,Ministry of Health,Daura,Court Fines and Penalties,Online Portal,IRS Team B,11806316,13938807.19,13711944.74,10945215.23,2766729.51
22/02/2021,2021,2,Ministry of Education,Funtua,PAYE Tax,Bank Transfer,IRS Team A,7850618,9983053.84,9250837.65,7809619.58,1441218.07
22/02/2021,2021,2,Ministry of Education,Funtua,Road Taxes,POS,IRS Team B,11667738,12439185.02,11191339.95,10508217.94,683122.01
