Date,Year,Month,Employee ID,MDA,LGA,Grade Level,Bank,Basic Salary,Allowances,Deductions,Net Pay,Employee Status
25/01/2021,2021,1,EMP10051,Ministry of Education,Kusada,GL 16,GTBank,344924,139569.44,60559.34,423934.1,Retired
25/01/2021,2021,1,EMP10052,Katsina State Internal Revenue Service,Funtua,GL 16,Keystone Bank,75133,32315.56,8838.18,98610.38,Suspended
25/01/2021,2021,1,EMP10053,Ministry of Commerce and Industry,Musawa,GL 04,GTBank,388102,49628.08,32065.38,405664.7,Active
25/01/2021,2021,1,EMP10054,Ministry of Works and Housing,Dutsin-Ma,GL 10,GTBank,403672,51033.27,26019.48,428685.79,Active
25/01/2021,2021,1,EMP10055,Ministry of Transport,Dutsin-Ma,GL 04,First Bank,166228,48356.99,25361.88,189223.11,Active
25/01/2021,2021,1,EMP10056,Ministry of Health,Funtua,GL 12,Access Bank,386878,44718.3,47138.55,384457.75,Active
25/01/2021,2021,1,EMP10057,Ministry of Transport,Charanchi,GL 12,Zenith Bank,228152,98470.09,38307.38,288314.71,Suspended
25/01/2021,2021,1,EMP10058,Katsina Urban Planning Authority,Rimi,GL 10,Zenith Bank,134982,29838.99,18416.49,146404.5,Active
25/01/2021,2021,1,EMP10059,Ministry of Transport,Kankia,GL 10,Keystone Bank,334191,78447.87,50409.67,362229.2,Duplicate Review
25/01/2021,2021,1,EMP10060,Ministry of Commerce and Industry,Jibia,GL 04,Keystone Bank,116765,26605.77,11398.73,131972.04,Retired
25/01/2021,2021,1,EMP10061,Ministry of Education,Bakori,GL 04,UBA,87388,23127.04,7150.61,103364.43,Duplicate Review
25/01/2021,2021,1,EMP10062,State Water Board,Jibia,GL 16,Zenith Bank,171405,45240.22,17835.45,198809.77,Active
25/01/2021,2021,1,EMP10063,Ministry of Transport,Dutsin-Ma,GL 08,Access Bank,346385,140679.53,52630.46,434434.07,Duplicate Review
25/01/2021,2021,1,EMP10064,Katsina State Internal Revenue Service,Bakori,GL 10,Zenith Bank,290315,48300.2,45265.67,293349.53,Suspended
25/01/2021,2021,1,EMP10065,Ministry of Health,Musawa,GL 14,Access Bank,151318,17680.59,14513.96,154484.63,Active
25/01/2021,2021,1,EMP10066,Katsina State Internal Revenue Service,Bakori,GL 06,First Bank,230771,45854.14,16110.8,260514.34,Duplicate Review
25/01/2021,2021,1,EMP10067,Ministry of Works and Housing,Dutsin-Ma,GL 16,GTBank,210730,78052.61,36455.66,252326.95,Active
25/01/2021,2021,1,EMP10068,Ministry of Agriculture,Funtua,GL 08,GTBank,322687,111063.33,14080.08,419670.25,Active
25/01/2021,2021,1,EMP10069,Ministry of Lands and Survey,Bakori,GL 14,Access Bank,426079,188519.65,32361.9,582236.75,Retired
25/01/2021,2021,1,EMP10070,Ministry of Commerce and Industry,Mashi,GL 06,Zenith Bank,77756,11153.96,11348.07,77561.89,Retired
25/01/2021,2021,1,EMP10071,Ministry of Education,Kankia,GL 16,UBA,248774,26213.81,41320.64,233667.17,Retired
25/01/2021,2021,1,EMP10072,Ministry of Commerce and Industry,Kankia,GL 08,Zenith Bank,328531,121797.01,49870.1,400457.91,Active
25/01/2021,2021,1,EMP10073,Ministry of Commerce and Industry,Kusada,GL 04,Access Bank,89784,10250.41,10475.95,89558.46,Suspended
25/01/2021,2021,1,EMP10074,State Water Board,Mashi,GL 06,GTBank,164094,69297.19,14448.53,218942.66,Active
25/01/2021,2021,1,EMP10075,Ministry of Transport,Jibia,GL 10,UBA,251746,43206.78,15831.65,279121.13,Duplicate Review
25/01/2021,2021,1,EMP10076,Ministry of Works and Housing,Dutsin-Ma,GL 04,Keystone Bank,320323,75426.91,36959.86,358790.05,Active
25/01/2021,2021,1,EMP10077,State Water Board,Charanchi,GL 06,Access Bank,110730,20538.55,10483.29,120785.26,Active
25/01/2021,2021,1,EMP10078,Ministry of Commerce and Industry,Charanchi,GL 16,Zenith Bank,397360,51885.48,67849.98,381395.5,Suspended
25/01/2021,2021,1,EMP10079,State Water Board,Charanchi,GL 12,Zenith Bank,301812,31198.85,19315.18,313695.67,Retired
25/01/2021,2021,1,EMP10080,Ministry of Works and Housing,Batsari,GL 04,Keystone Bank,210467,33507.61,34914.86,209059.75,Active
25/01/2021,2021,1,EMP10081,Ministry of Commerce and Industry,Jibia,GL 08,First Bank,213221,85703.87,31305.29,267619.58,Active
25/01/2021,2021,1,EMP10082,Ministry of Transport,Kankia,GL 08,Access Bank,427405,109864.82,38021.22,499248.6,Suspended
25/01/2021,2021,1,EMP10083,Katsina State Internal Revenue Service,Kankia,GL 10,GTBank,199912,26888.41,15636.6,211163.81,Duplicate Review
25/01/2021,2021,1,EMP10084,State Water Board,Funtua,GL 14,Access Bank,211318,41595.09,14018.34,238894.75,Suspended
25/01/2021,2021,1,EMP10085,Ministry of Works and Housing,Rimi,GL 04,UBA,233090,67294.66,21567.55,278817.11,Active
25/01/2021,2021,1,EMP10086,Ministry of Commerce and Industry,Mani,GL 08,Keystone Bank,299738,76866.19,23209.22,353394.97,Suspended
25/01/2021,2021,1,EMP10087,Katsina State Internal Revenue Service,Mani,GL 12,Access Bank,321764,128257.18,44134.18,405887,Duplicate Review
25/01/2021,2021,1,EMP10088,Ministry of Commerce and Industry,Malumfashi,GL 16,Access Bank,197723,52183.3,24724.31,225181.99,Suspended
25/01/2021,2021,1,EMP10089,Ministry of Transport,Jibia,GL 16,First Bank,125874,16568.26,21725.31,120716.95,Suspended
25/01/2021,2021,1,EMP10090,Ministry of Health,Katsina,GL 04,Access Bank,159239,17817.97,27208.23,149848.74,Duplicate Review
25/01/2021,2021,1,EMP10091,Ministry of Lands and Survey,Musawa,GL 16,Keystone Bank,102586,24352.96,4005.13,122933.83,Active
25/01/2021,2021,1,EMP10092,Katsina Urban Planning Authority,Malumfashi,GL 16,First Bank,383310,50356.23,55986.31,377679.92,Active
25/01/2021,2021,1,EMP10093,Ministry of Works and Housing,Katsina,GL 10,Keystone Bank,236804,47393.57,38525.47,245672.1,Active
25/01/2021,2021,1,EMP10094,Ministry of Works and Housing,Charanchi,GL 16,Zenith Bank,122009,47229.46,10302.79,158935.67,Duplicate Review
25/01/2021,2021,1,EMP10095,Ministry of Lands and Survey,Daura,GL 08,UBA,434032,190293.3,77722.77,546602.53,Active
25/01/2021,2021,1,EMP10096,Ministry of Education,Dutsin-Ma,GL 08,Keystone Bank,122869,16031.73,7588.18,131312.55,Active
25/01/2021,2021,1,EMP10097,Ministry of Education,Rimi,GL 14,First Bank,337143,110821.33,13976.96,433987.37,Active
25/01/2021,2021,1,EMP10098,Ministry of Education,Kankia,GL 06,GTBank,193303,26046.56,22166.31,197183.25,Retired
25/01/2021,2021,1,EMP10099,Ministry of Lands and Survey,Bakori,GL 16,Access Bank,115413,40156.43,5957.4,149612.03,Active
25/01/2021,2021,1,EMP10100,State Water Board,Rimi,GL 06,UBA,160239,43561.63,18197.72,185602.91,Duplicate Review
25/01/2021,2021,1,EMP10101,Ministry of Transport,Rimi,GL 12,Zenith Bank,168849,57028.33,21399.52,204477.81,Retired
25/01/2021,2021,1,EMP10102,Ministry of Transport,Musawa,GL 16,UBA,251552,62528.85,21353.22,292727.63,Active
25/01/2021,2021,1,EMP10103,Ministry of Transport,Musawa,GL 08,Keystone Bank,208887,33270.26,15726.9,226430.36,Active
25/01/2021,2021,1,EMP10104,Ministry of Commerce and Industry,Funtua,GL 10,Zenith Bank,323144,118278.18,42025.72,399396.46,Active
25/01/2021,2021,1,EMP10105,Ministry of Lands and Survey,Mashi,GL 06,Keystone Bank,362246,63024.37,33518.76,391751.61,Retired
25/01/2021,2021,1,EMP10106,Ministry of Works and Housing,Dutsin-Ma,GL 06,Keystone Bank,388362,165722.17,24963.95,529120.22,Active
25/01/2021,2021,1,EMP10107,Ministry of Agriculture,Rimi,GL 08,Access Bank,239937,72586.45,40355.68,272167.77,Duplicate Review
25/01/2021,2021,1,EMP10108,Ministry of Health,Dutsin-Ma,GL 14,UBA,374121,143559.45,36545.19,481135.26,Active
25/01/2021,2021,1,EMP10109,State Water Board,Dutsin-Ma,GL 06,Access Bank,247619,96809.93,41884.39,302544.54,Retired
25/01/2021,2021,1,EMP10110,Ministry of Health,Daura,GL 04,UBA,259638,39769.78,28964.64,270443.14,Suspended
25/01/2021,2021,1,EMP10111,Ministry of Health,Charanchi,GL 12,Zenith Bank,85561,31274.98,14559.04,102276.94,Retired
25/01/2021,2021,1,EMP10112,Ministry of Lands and Survey,Mashi,GL 16,Access Bank,415942,109322.82,55576.46,469688.36,Retired
25/01/2021,2021,1,EMP10113,Ministry of Commerce and Industry,Rimi,GL 16,Access Bank,136236,24826.3,15646.96,145415.34,Active
25/01/2021,2021,1,EMP10114,Katsina Urban Planning Authority,Funtua,GL 14,UBA,141798,19073.76,5579.47,155292.29,Active
25/01/2021,2021,1,EMP10115,State Water Board,Mashi,GL 06,UBA,145507,25288.97,7960.77,162835.2,Suspended
25/01/2021,2021,1,EMP10116,Ministry of Agriculture,Jibia,GL 06,Access Bank,429125,108049.77,14244.11,522930.66,Active
25/01/2021,2021,1,EMP10117,Ministry of Education,Katsina,GL 12,Access Bank,421331,56563.8,49907.84,427986.96,Active
25/01/2021,2021,1,EMP10118,Ministry of Health,Dutsin-Ma,GL 10,First Bank,364404,153546.07,13666.08,504283.99,Active
25/01/2021,2021,1,EMP10119,Ministry of Works and Housing,Batsari,GL 10,GTBank,208532,62286.84,25748.22,245070.62,Suspended
25/01/2021,2021,1,EMP10120,Ministry of Works and Housing,Bakori,GL 08,Access Bank,396899,127671.97,17593,506977.97,Active
25/01/2021,2021,1,EMP10121,Ministry of Agriculture,Charanchi,GL 08,GTBank,417149,117744.8,32700.07,502193.73,Active
25/01/2021,2021,1,EMP10122,Ministry of Works and Housing,Mani,GL 08,GTBank,252466,68395.58,10176.74,310684.84,Active
25/01/2021,2021,1,EMP10123,Ministry of Transport,Batsari,GL 04,GTBank,301787,131392.63,19604.87,413574.76,Active
25/01/2021,2021,1,EMP10124,Ministry of Transport,Batsari,GL 04,UBA,138075,21048.71,13474.53,145649.18,Active
25/01/2021,2021,1,EMP10125,Ministry of Transport,Katsina,GL 04,GTBank,209693,83762.55,31062.21,262393.34,Active
25/01/2021,2021,1,EMP10126,Ministry of Commerce and Industry,Mashi,GL 08,Keystone Bank,125123,34595.73,20541.22,139177.51,Active
25/01/2021,2021,1,EMP10127,Ministry of Education,Kankia,GL 10,GTBank,224787,60303.3,25240.32,259849.98,Active
25/01/2021,2021,1,EMP10128,Ministry of Education,Bakori,GL 10,UBA,205526,82827.68,27243.5,261110.18,Active
25/01/2021,2021,1,EMP10129,Ministry of Lands and Survey,Dutsin-Ma,GL 04,GTBank,143480,55990.52,9448.02,190022.5,Active
25/01/2021,2021,1,EMP10130,Ministry of Education,Musawa,GL 06,First Bank,302703,107795.32,9410.82,401087.5,Retired
25/01/2021,2021,1,EMP10131,Ministry of Health,Rimi,GL 08,Keystone Bank,362540,61759.02,30272.8,394026.22,Active
25/01/2021,2021,1,EMP10132,Ministry of Agriculture,Malumfashi,GL 14,Access Bank,346248,93187.74,59186.23,380249.51,Retired
25/01/2021,2021,1,EMP10133,Ministry of Health,Batsari,GL 12,First Bank,448861,67795.87,53317.32,463339.55,Retired
25/01/2021,2021,1,EMP10134,State Water Board,Dutsin-Ma,GL 14,First Bank,317024,41062.04,12388.89,345697.15,Active
25/01/2021,2021,1,EMP10135,State Water Board,Mani,GL 04,Zenith Bank,277318,42200.28,48195.54,271322.74,Retired
25/01/2021,2021,1,EMP10136,State Water Board,Mani,GL 16,UBA,372364,83655.06,65362.66,390656.4,Active
25/01/2021,2021,1,EMP10137,State Water Board,Rimi,GL 06,GTBank,258697,97698.73,31914.4,324481.33,Active
25/01/2021,2021,1,EMP10138,Ministry of Commerce and Industry,Katsina,GL 14,Access Bank,334381,142425.39,17064.35,459742.04,Active
25/01/2021,2021,1,EMP10139,Ministry of Lands and Survey,Batsari,GL 10,UBA,405373,46878.58,56545.51,395706.07,Active
25/01/2021,2021,1,EMP10140,Ministry of Lands and Survey,Rimi,GL 14,First Bank,191915,76502.47,10386.8,258030.67,Active
25/01/2021,2021,1,EMP10141,Ministry of Education,Dutsin-Ma,GL 12,Access Bank,208849,61406.35,6542.24,263713.11,Active
25/01/2021,2021,1,EMP10142,State Water Board,Kusada,GL 16,GTBank,433758,97851.64,57080.27,474529.37,Active
25/01/2021,2021,1,EMP10143,Ministry of Agriculture,Bakori,GL 12,Access Bank,116067,48491.94,12918.49,151640.45,Duplicate Review
25/01/2021,2021,1,EMP10144,Katsina State Internal Revenue Service,Batsari,GL 04,UBA,340270,122742.43,13072.59,449939.84,Retired
25/01/2021,2021,1,EMP10145,State Water Board,Bakori,GL 10,Zenith Bank,235030,76302.63,34644.14,276688.49,Active
25/01/2021,2021,1,EMP10146,Ministry of Transport,Kusada,GL 10,UBA,150309,42984.67,17760.2,175533.47,Active
25/01/2021,2021,1,EMP10147,Katsina State Internal Revenue Service,Malumfashi,GL 04,Zenith Bank,90273,10998.71,7357.84,93913.87,Duplicate Review
25/01/2021,2021,1,EMP10148,State Water Board,Daura,GL 12,First Bank,336657,64563.92,44187.99,357032.93,Retired
25/01/2021,2021,1,EMP10149,Katsina State Internal Revenue Service,Batsari,GL 16,Access Bank,403198,47830.32,15407.05,435621.27,Active
25/01/2021,2021,1,EMP10150,Katsina State Internal Revenue Service,Batsari,GL 08,GTBank,294392,81229.91,25280.42,350341.49,Retired
25/01/2021,2021,1,EMP10151,Katsina State Internal Revenue Service,Mashi,GL 08,Keystone Bank,232448,31480.23,21530.89,242397.34,Suspended
25/01/2021,2021,1,EMP10152,Ministry of Education,Rimi,GL 10,Keystone Bank,204785,82677.93,24829.22,262633.71,Retired
25/01/2021,2021,1,EMP10153,Ministry of Lands and Survey,Batsari,GL 04,Keystone Bank,440352,49101.79,39187.44,450266.35,Active
25/01/2021,2021,1,EMP10154,Ministry of Health,Dutsin-Ma,GL 14,UBA,325345,114313.82,56932.7,382726.12,Active
25/01/2021,2021,1,EMP10155,Ministry of Agriculture,Katsina,GL 10,Access Bank,75400,29351.11,10993.64,93757.47,Duplicate Review
25/01/2021,2021,1,EMP10156,State Water Board,Kankia,GL 10,UBA,411730,160965.88,39398.71,533297.17,Retired
25/01/2021,2021,1,EMP10157,Ministry of Agriculture,Funtua,GL 16,Zenith Bank,322609,73082.34,9860.23,385831.11,Active
25/01/2021,2021,1,EMP10158,Ministry of Education,Jibia,GL 06,Zenith Bank,434699,103996.84,26180.22,512515.62,Active
25/01/2021,2021,1,EMP10159,Ministry of Transport,Katsina,GL 12,UBA,216709,87679.37,15516.06,288872.31,Active
25/01/2021,2021,1,EMP10160,Katsina Urban Planning Authority,Mani,GL 08,Keystone Bank,345517,64920.77,43805.96,366631.81,Retired
25/01/2021,2021,1,EMP10161,Katsina State Internal Revenue Service,Kankia,GL 04,GTBank,110561,13229.88,19177.6,104613.28,Suspended
25/01/2021,2021,1,EMP10162,Ministry of Commerce and Industry,Mani,GL 10,First Bank,334780,93328.94,22058.11,406050.83,Suspended
25/01/2021,2021,1,EMP10163,Ministry of Works and Housing,Funtua,GL 08,Keystone Bank,412391,145143.74,29763.68,527771.06,Suspended
25/01/2021,2021,1,EMP10164,Ministry of Transport,Kankia,GL 12,UBA,162646,34416.86,29255.54,167807.32,Retired
25/01/2021,2021,1,EMP10165,Ministry of Works and Housing,Batsari,GL 16,Zenith Bank,126713,22308.04,17073.33,131947.71,Retired
25/01/2021,2021,1,EMP10166,Ministry of Transport,Kankia,GL 10,First Bank,271369,72434.91,27265.25,316538.66,Retired
25/01/2021,2021,1,EMP10167,Ministry of Lands and Survey,Mashi,GL 14,UBA,90125,13019.83,16221.21,86923.62,Duplicate Review
25/01/2021,2021,1,EMP10168,State Water Board,Dutsin-Ma,GL 04,Keystone Bank,258930,74840.79,11995.05,321775.74,Duplicate Review
25/01/2021,2021,1,EMP10169,Katsina State Internal Revenue Service,Mashi,GL 08,First Bank,97170,12609.56,7832.1,101947.46,Retired
25/01/2021,2021,1,EMP10170,Ministry of Transport,Kankia,GL 16,UBA,347628,45400.86,13859.67,379169.19,Suspended
25/01/2021,2021,1,EMP10171,Ministry of Health,Jibia,GL 04,Keystone Bank,401636,65939.99,69842.47,397733.52,Active
25/01/2021,2021,1,EMP10172,Ministry of Health,Funtua,GL 12,Access Bank,215624,69782.18,11922.2,273483.98,Duplicate Review
25/01/2021,2021,1,EMP10173,Ministry of Education,Kankia,GL 04,UBA,273850,72515.02,40424.82,305940.2,Active
25/01/2021,2021,1,EMP10174,Ministry of Health,Bakori,GL 04,Access Bank,281655,115517.16,48315.22,348856.94,Active
25/01/2021,2021,1,EMP10175,Katsina State Internal Revenue Service,Kusada,GL 04,UBA,243727,63227.14,10566.61,296387.53,Active
25/01/2021,2021,1,EMP10176,Katsina Urban Planning Authority,Mani,GL 12,Zenith Bank,231894,68139.82,7922.12,292111.7,Suspended
25/01/2021,2021,1,EMP10177,Ministry of Agriculture,Batsari,GL 16,GTBank,167164,47044.7,10539.37,203669.33,Active
25/01/2021,2021,1,EMP10178,Ministry of Commerce and Industry,Bakori,GL 14,Access Bank,114099,41860.47,17929.32,138030.15,Suspended
25/01/2021,2021,1,EMP10179,Katsina Urban Planning Authority,Malumfashi,GL 10,GTBank,235350,64821.76,7521.43,292650.33,Active
25/01/2021,2021,1,EMP10180,Ministry of Transport,Daura,GL 04,Keystone Bank,313260,126490.52,44175.04,395575.48,Duplicate Review
25/01/2021,2021,1,EMP10181,Ministry of Education,Rimi,GL 10,UBA,357578,125224.63,45217.19,437585.44,Retired
25/01/2021,2021,1,EMP10182,Ministry of Transport,Dutsin-Ma,GL 14,UBA,291149,116638.03,40537.87,367249.16,Duplicate Review
25/01/2021,2021,1,EMP10183,State Water Board,Dutsin-Ma,GL 08,First Bank,220456,60413.3,13391.84,267477.46,Active
25/01/2021,2021,1,EMP10184,Ministry of Works and Housing,Kankia,GL 06,GTBank,92469,22703.29,15454.42,99717.87,Suspended
25/01/2021,2021,1,EMP10185,Ministry of Works and Housing,Kankia,GL 04,UBA,343542,38446.6,18244.62,363743.98,Suspended
25/01/2021,2021,1,EMP10186,Ministry of Agriculture,Katsina,GL 14,Zenith Bank,395726,109423.13,47350.41,457798.72,Retired
25/01/2021,2021,1,EMP10187,Ministry of Health,Kusada,GL 08,UBA,309344,55476.06,48508.48,316311.58,Retired
25/01/2021,2021,1,EMP10188,Ministry of Lands and Survey,Funtua,GL 08,GTBank,332870,112572.82,49426.51,396016.31,Suspended
25/01/2021,2021,1,EMP10189,Ministry of Works and Housing,Mashi,GL 08,First Bank,439403,99245.83,67089.86,471558.97,Active
25/01/2021,2021,1,EMP10190,Ministry of Lands and Survey,Charanchi,GL 06,First Bank,101617,38526.51,5525.44,134618.07,Suspended
25/01/2021,2021,1,EMP10191,Ministry of Education,Funtua,GL 08,Access Bank,126853,25162.13,13038.02,138977.11,Active
25/01/2021,2021,1,EMP10192,Ministry of Transport,Charanchi,GL 12,GTBank,157219,28424.61,18696.12,166947.49,Active
25/01/2021,2021,1,EMP10193,Ministry of Health,Dutsin-Ma,GL 06,GTBank,221099,33043.97,27785.72,226357.25,Duplicate Review
25/01/2021,2021,1,EMP10194,Ministry of Lands and Survey,Mashi,GL 10,Keystone Bank,177970,78498.83,28591.29,227877.54,Suspended
25/01/2021,2021,1,EMP10195,Ministry of Health,Charanchi,GL 10,First Bank,175855,75785.09,17635.69,234004.4,Active
25/01/2021,2021,1,EMP10196,Ministry of Commerce and Industry,Charanchi,GL 12,Keystone Bank,192050,83598.14,24524.83,251123.31,Duplicate Review
25/01/2021,2021,1,EMP10197,Katsina Urban Planning Authority,Malumfashi,GL 08,Keystone Bank,251750,45660.97,28601.32,268809.65,Active
25/01/2021,2021,1,EMP10198,State Water Board,Rimi,GL 12,Access Bank,321218,114371.12,11124.4,424464.72,Active
25/01/2021,2021,1,EMP10199,Ministry of Works and Housing,Funtua,GL 14,First Bank,206728,58400.77,11496.55,253632.22,Retired
25/01/2021,2021,1,EMP10200,Ministry of Works and Housing,Dutsin-Ma,GL 12,GTBank,185109,66521.61,9455.07,242175.54,Active
25/01/2021,2021,1,EMP10201,Ministry of Agriculture,Bakori,GL 08,Keystone Bank,378699,83119.63,32342.93,429475.7,Active
25/01/2021,2021,1,EMP10202,Ministry of Lands and Survey,Mashi,GL 04,Access Bank,397095,139099.76,19446.98,516747.78,Active
25/01/2021,2021,1,EMP10203,Ministry of Education,Jibia,GL 12,Keystone Bank,159242,60592.42,13992.98,205841.44,Active
25/01/2021,2021,1,EMP10204,Ministry of Transport,Bakori,GL 08,Zenith Bank,174628,30796.86,12706.53,192718.33,Duplicate Review
25/01/2021,2021,1,EMP10205,Ministry of Lands and Survey,Rimi,GL 06,GTBank,81948,15812.52,14164.47,83596.05,Active
