Date,Year,Month,MDA,Revenue Target,Actual Revenue,Operating Cost,Staff Count,Compliance Score,Reconciliation Status
28/06/2021,2021,6,Ministry of Lands and Survey,535738533,400526143,59561430.44,678,85.6,Pending
28/06/2021,2021,6,Ministry of Transport,526320087,562395076.4,70852176.15,559,68.6,Pending
28/06/2021,2021,6,Katsina Urban Planning Authority,284317875,237558198,27754420.1,351,80.5,Reconciled
28/06/2021,2021,6,State Water Board,385502109,356445260.7,28782980.41,825,79.8,Pending
28/07/2021,2021,7,Katsina State Internal Revenue Service,307580704,293833617.4,57830472.19,203,73,Exception Noted
28/07/2021,2021,7,Ministry of Works and Housing,283579043,217874038.4,49700694.91,546,86.9,Exception Noted
28/07/2021,2021,7,Ministry of Health,541960747,513656001.5,93893381.78,116,90.9,Reconciled
28/07/2021,2021,7,Ministry of Education,158832364,108088694.1,22842951.58,251,58.4,Pending
28/07/2021,2021,7,Ministry of Agriculture,335466236,237440936.1,26374595.44,748,77.4,Pending
28/07/2021,2021,7,Ministry of Commerce and Industry,144170529,103115884.2,14442109.41,274,60.1,Exception Noted
28/07/2021,2021,7,Ministry of Lands and Survey,172687528,177623918.3,35287644.02,152,64.7,Exception Noted
28/07/2021,2021,7,Ministry of Transport,351346152,321174610.7,63293543.93,280,66.1,Reconciled
28/07/2021,2021,7,Katsina Urban Planning Authority,92665655,51913072.32,9171343.14,321,75.4,Exception Noted
28/07/2021,2021,7,State Water Board,294865188,331749748.8,60877795.11,543,93.5,Exception Noted
28/08/2021,2021,8,Katsina State Internal Revenue Service,283842735,276614027,46496912.9,598,64.6,Reconciled
28/08/2021,2021,8,Ministry of Works and Housing,417300831,400917515.4,86899645.33,200,94.9,Pending
28/08/2021,2021,8,Ministry of Health,164593788,143308827.4,32338918.86,289,76.1,Reconciled
28/08/2021,2021,8,Ministry of Education,369216971,278924785.3,45765242.7,97,89.6,Reconciled
28/08/2021,2021,8,Ministry of Agriculture,521414362,429141391.3,79466135.06,288,56.8,Exception Noted
28/08/2021,2021,8,Ministry of Commerce and Industry,230869695,170388346.9,14301776.29,359,47.1,Pending
28/08/2021,2021,8,Ministry of Lands and Survey,447683941,358639299.9,45287902.21,459,76.9,Pending
28/08/2021,2021,8,Ministry of Transport,341822487,200311120,29431499.68,133,89.7,Pending
28/08/2021,2021,8,Katsina Urban Planning Authority,266694002,182194848.4,22540769.9,327,80.1,Exception Noted
28/08/2021,2021,8,State Water Board,358142686,404248761.3,75516737.44,321,84.5,Pending
28/09/2021,2021,9,Katsina State Internal Revenue Service,118002371,134680059,22849965.55,428,91.6,Pending
28/09/2021,2021,9,Ministry of Works and Housing,168961653,113218568,11843015.59,491,53.1,Reconciled
28/09/2021,2021,9,Ministry of Health,513105380,481989592.4,57115275.76,494,65.4,Pending
28/09/2021,2021,9,Ministry of Education,381831102,270725123.5,66906418.49,681,93.1,Pending
28/09/2021,2021,9,Ministry of Agriculture,377479141,407406716.8,87260184.76,659,62.6,Exception Noted
28/09/2021,2021,9,Ministry of Commerce and Industry,170892933,123989478.4,16842102.41,491,94.5,Pending
28/09/2021,2021,9,Ministry of Lands and Survey,253014975,200601554.2,43117470.96,811,46.5,Pending
28/09/2021,2021,9,Ministry of Transport,271233969,256345082.2,40521112.92,298,67.3,Pending
28/09/2021,2021,9,Katsina Urban Planning Authority,476066982,366151209,66825055.02,614,84.5,Exception Noted
28/09/2021,2021,9,State Water Board,505761371,513462046.1,65557884.85,199,93.9,Reconciled
28/10/2021,2021,10,Katsina State Internal Revenue Service,361063003,403889167.5,89354373.51,888,65.4,Reconciled
28/10/2021,2021,10,Ministry of Works and Housing,450810740,419427332.9,49347323.55,160,94,Exception Noted
28/10/2021,2021,10,Ministry of Health,329103865,197701808.8,16722091.86,804,60.3,Exception Noted
28/10/2021,2021,10,Ministry of Education,191709603,136627445.3,24220394.9,355,73.3,Reconciled
28/10/2021,2021,10,Ministry of Agriculture,185589438,105189500.6,13759134.24,783,56.8,Exception Noted
28/10/2021,2021,10,Ministry of Commerce and Industry,529635205,572215611.7,118276257.5,381,51.7,Pending
28/10/2021,2021,10,Ministry of Lands and Survey,543796498,525676510.1,126602821.9,496,83,Exception Noted
28/10/2021,2021,10,Ministry of Transport,249113031,221411181.1,19218317.77,309,90.9,Exception Noted
28/10/2021,2021,10,Katsina Urban Planning Authority,370431860,269627476.6,62457685.52,699,76.1,Pending
28/10/2021,2021,10,State Water Board,462446310,393591572.2,35229021.96,666,46.3,Reconciled
28/11/2021,2021,11,Katsina State Internal Revenue Service,215837300,164689554.8,34881097.32,599,93.2,Reconciled
28/11/2021,2021,11,Ministry of Works and Housing,434486214,332902849.5,63338734.73,762,72.7,Pending
28/11/2021,2021,11,Ministry of Health,265659617,202424550.6,35564696.83,824,77.3,Reconciled
28/11/2021,2021,11,Ministry of Education,374774454,263948080.9,32121993.31,748,57.4,Pending
28/11/2021,2021,11,Ministry of Agriculture,288684565,180563622.5,41197394.78,534,87.9,Exception Noted
28/11/2021,2021,11,Ministry of Commerce and Industry,461136739,443438360.8,63508905.1,748,54.4,Exception Noted
28/11/2021,2021,11,Ministry of Lands and Survey,405753127,232145346.7,48704412.91,612,84.1,Pending
28/11/2021,2021,11,Ministry of Transport,251453648,244783421.8,26440269.95,117,76.8,Reconciled
28/11/2021,2021,11,Katsina Urban Planning Authority,383624478,439547736.6,103970577.3,585,75.5,Reconciled
28/11/2021,2021,11,State Water Board,317651063,242740443.7,40550243.2,843,46.4,Pending
28/12/2021,2021,12,Katsina State Internal Revenue Service,114342379,70707212.11,9753072.54,694,54.4,Exception Noted
28/12/2021,2021,12,Ministry of Works and Housing,444060705,350287399.2,56163224.25,220,82.6,Pending
28/12/2021,2021,12,Ministry of Health,128958458,107995689.4,24114266.73,520,78.7,Pending
28/12/2021,2021,12,Ministry of Education,264945074,301705620.3,38258179.71,614,84,Reconciled
28/12/2021,2021,12,Ministry of Agriculture,251664567,229475550.9,26834522.29,324,62.1,Exception Noted
28/12/2021,2021,12,Ministry of Commerce and Industry,407749937,439648890.5,72637127.73,884,72.4,Pending
28/12/2021,2021,12,Ministry of Lands and Survey,215686876,238467604.4,51494273.7,597,74.9,Exception Noted
28/12/2021,2021,12,Ministry of Transport,280902522,274520376.1,67973972.25,185,85.7,Reconciled
28/12/2021,2021,12,Katsina Urban Planning Authority,252994867,175257680.6,29609592.4,119,87.9,Pending
28/12/2021,2021,12,State Water Board,513142322,486783014.8,113727470.7,694,65.1,Pending
28/01/2022,2022,1,Katsina State Internal Revenue Service,101255164,115187502.9,17312438.73,156,80.7,Reconciled
28/01/2022,2022,1,Ministry of Works and Housing,500526865,296743368,35170470.39,385,62.8,Reconciled
28/01/2022,2022,1,Ministry of Health,516434791,566829022.2,108220624.3,369,68.5,Exception Noted
28/01/2022,2022,1,Ministry of Education,318334814,297931429,31113041.35,585,53.4,Exception Noted
28/01/2022,2022,1,Ministry of Agriculture,495308619,307114908.7,49460997.16,606,94.9,Reconciled
28/01/2022,2022,1,Ministry of Commerce and Industry,250342449,241334378.8,19507530.04,510,52.3,Reconciled
28/01/2022,2022,1,Ministry of Lands and Survey,324555549,266456731.6,41732403.78,450,66.5,Exception Noted
28/01/2022,2022,1,Ministry of Transport,368363531,221608563.1,37041902.79,548,76.6,Reconciled
28/01/2022,2022,1,Katsina Urban Planning Authority,524677889,339957394.6,35097605.67,595,62.3,Exception Noted
28/01/2022,2022,1,State Water Board,421251833,233050193.3,49569363.63,580,88.2,Pending
28/02/2022,2022,2,Katsina State Internal Revenue Service,84288924,63547738.3,10166476.52,421,60.8,Exception Noted
28/02/2022,2022,2,Ministry of Works and Housing,104816554,100766323.7,9918626.48,254,51.6,Exception Noted
28/02/2022,2022,2,Ministry of Health,335916031,383491623.8,59543936.13,207,50.3,Exception Noted
28/02/2022,2022,2,Ministry of Education,380843241,340342117.8,59279050.03,457,48.5,Exception Noted
28/02/2022,2022,2,Ministry of Agriculture,344978673,316592342,56274065.55,879,71.9,Reconciled
28/02/2022,2022,2,Ministry of Commerce and Industry,319520558,286512135.6,57641146.95,240,66.9,Reconciled
28/02/2022,2022,2,Ministry of Lands and Survey,333182964,343406740.2,29949322.24,799,85.7,Exception Noted
28/02/2022,2022,2,Ministry of Transport,424978233,363345520.6,88690043.79,891,67.7,Pending
28/02/2022,2022,2,Katsina Urban Planning Authority,409188758,265150646,48045895.47,599,92.8,Exception Noted
28/02/2022,2022,2,State Water Board,529038427,430804142.7,99428084.61,854,53.7,Reconciled
28/03/2022,2022,3,Katsina State Internal Revenue Service,457753123,280406324,29575454.65,82,74.4,Reconciled
28/03/2022,2022,3,Ministry of Works and Housing,466281204,432271907.9,37829461.45,612,91.5,Pending
28/03/2022,2022,3,Ministry of Health,193834139,199492501,24038148.36,300,59.1,Reconciled
28/03/2022,2022,3,Ministry of Education,505501373,409959373.7,49350389.65,732,51.6,Pending
28/03/2022,2022,3,Ministry of Agriculture,398157380,374148357,90751680.59,411,76.8,Reconciled
28/03/2022,2022,3,Ministry of Commerce and Industry,194603035,196850479.4,28379350.02,549,83.2,Reconciled
28/03/2022,2022,3,Ministry of Lands and Survey,432604700,321163595.9,52410221.32,313,51.3,Exception Noted
28/03/2022,2022,3,Ministry of Transport,83259732,77662256.17,11260768.96,284,55.7,Pending
28/03/2022,2022,3,Katsina Urban Planning Authority,243490866,134207285,32767168.46,168,45.2,Reconciled
28/03/2022,2022,3,State Water Board,193389335,117140257.6,12283572.47,405,45.8,Exception Noted
28/04/2022,2022,4,Katsina State Internal Revenue Service,517172649,391034104.7,41087692.15,190,50.9,Exception Noted
28/04/2022,2022,4,Ministry of Works and Housing,156825038,106642529.2,19748621.54,143,46.5,Exception Noted
28/04/2022,2022,4,Ministry of Health,262745841,205709396.9,26267968.03,805,67.1,Pending
28/04/2022,2022,4,Ministry of Education,125617142,93994675.61,17104196.8,812,58.2,Reconciled
28/04/2022,2022,4,Ministry of Agriculture,138223929,76540880.46,11717126.16,720,72.8,Reconciled
28/04/2022,2022,4,Ministry of Commerce and Industry,382855526,393818219.4,69301159.89,344,52,Pending
28/04/2022,2022,4,Ministry of Lands and Survey,416165277,434044602.5,71746148.97,824,94,Exception Noted
28/04/2022,2022,4,Ministry of Transport,149246002,108418131.5,23410018.61,140,68.4,Reconciled
28/04/2022,2022,4,Katsina Urban Planning Authority,270351685,268932606.8,31513975.83,107,92.6,Exception Noted
28/04/2022,2022,4,State Water Board,185796536,110535863.8,12543323.08,415,49.5,Exception Noted
28/05/2022,2022,5,Katsina State Internal Revenue Service,293971966,162171529.6,24552018.79,108,59.1,Pending
28/05/2022,2022,5,Ministry of Works and Housing,104853135,110528611.9,14559908.44,307,51.4,Pending
28/05/2022,2022,5,Ministry of Health,415616950,416152250,89283895.34,358,76.9,Reconciled
28/05/2022,2022,5,Ministry of Education,332019663,316269064.5,26519422.26,349,58.7,Reconciled
28/05/2022,2022,5,Ministry of Agriculture,96280998,76776083.42,9534825.5,853,92.1,Exception Noted
28/05/2022,2022,5,Ministry of Commerce and Industry,178646994,188779674.3,37762138.7,329,49.8,Exception Noted
28/05/2022,2022,5,Ministry of Lands and Survey,208841683,123901394.4,30685525.23,463,67.4,Exception Noted
28/05/2022,2022,5,Ministry of Transport,492943787,391834638.9,88168035.83,415,75.5,Exception Noted
28/05/2022,2022,5,Katsina Urban Planning Authority,345556769,391935355.8,92699476.77,796,81.3,Exception Noted
28/05/2022,2022,5,State Water Board,313242574,306344810,25253491.17,737,55.1,Exception Noted
28/06/2022,2022,6,Katsina State Internal Revenue Service,138239586,145868313.3,26624741.05,135,56.8,Pending
28/06/2022,2022,6,Ministry of Works and Housing,536438147,554163070.2,129637017.9,541,78.7,Exception Noted
28/06/2022,2022,6,Ministry of Health,278915825,315210772.2,70160749.06,192,56.3,Pending
28/06/2022,2022,6,Ministry of Education,322983625,192350539.8,32701015.86,465,73.3,Reconciled
28/06/2022,2022,6,Ministry of Agriculture,220611266,137311668.3,18618306.13,652,87.9,Pending
28/06/2022,2022,6,Ministry of Commerce and Industry,463249886,370185867.8,45368959.29,91,52.4,Reconciled
28/06/2022,2022,6,Ministry of Lands and Survey,381759604,310902703.6,51829158.6,433,89.5,Exception Noted
28/06/2022,2022,6,Ministry of Transport,357069618,406068280.9,86012029.97,155,82.5,Pending
28/06/2022,2022,6,Katsina Urban Planning Authority,322261827,204948019.1,27200206.93,841,85.4,Exception Noted
28/06/2022,2022,6,State Water Board,80954286,71664326.74,15585403.55,377,78.3,Exception Noted
28/07/2022,2022,7,Katsina State Internal Revenue Service,375167475,381334769.1,80700922.46,124,89.3,Reconciled
28/07/2022,2022,7,Ministry of Works and Housing,285249457,234861021.4,29103799.39,589,71.8,Exception Noted
28/07/2022,2022,7,Ministry of Health,237373184,151435363.5,27480454.15,408,48.5,Reconciled
28/07/2022,2022,7,Ministry of Education,293793696,271755967.9,31747964.29,358,67.1,Exception Noted
28/07/2022,2022,7,Ministry of Agriculture,371695881,354436486,40985866.89,842,45,Reconciled
28/07/2022,2022,7,Ministry of Commerce and Industry,116088795,85255260.08,11422947.77,216,88.1,Exception Noted
28/07/2022,2022,7,Ministry of Lands and Survey,259633816,271499647.6,67239184.2,863,71.9,Reconciled
28/07/2022,2022,7,Ministry of Transport,540962471,472660119.8,106737364.5,832,58.9,Exception Noted
28/07/2022,2022,7,Katsina Urban Planning Authority,492071411,271771801.3,26391593.93,232,83.7,Reconciled
28/07/2022,2022,7,State Water Board,539172546,455268734.3,63229556.1,405,57.5,Reconciled
28/08/2022,2022,8,Katsina State Internal Revenue Service,98336697,82768704.63,7648312.68,814,49.5,Reconciled
28/08/2022,2022,8,Ministry of Works and Housing,356025135,270130187.8,62174503.07,545,94.9,Reconciled
28/08/2022,2022,8,Ministry of Health,263685061,211931254.4,48166596.61,549,67.4,Pending
28/08/2022,2022,8,Ministry of Education,378315660,217546357.4,53049515.21,128,46.2,Reconciled
28/08/2022,2022,8,Ministry of Agriculture,354949338,312754476.4,28712593.38,390,49.2,Pending
28/08/2022,2022,8,Ministry of Commerce and Industry,312265069,277048547.2,57931723.83,567,61.2,Exception Noted
28/08/2022,2022,8,Ministry of Lands and Survey,410262575,397753758.9,76559265.36,488,56.4,Reconciled
28/08/2022,2022,8,Ministry of Transport,429126961,395701033.3,87504918.72,638,78.2,Pending
28/08/2022,2022,8,Katsina Urban Planning Authority,121465862,117617986.9,23815342.86,630,58,Reconciled
28/08/2022,2022,8,State Water Board,416661460,348630572.8,41692986.7,850,85.3,Reconciled
28/09/2022,2022,9,Katsina State Internal Revenue Service,161817042,127306475.3,28711125.47,173,69.7,Exception Noted
28/09/2022,2022,9,Ministry of Works and Housing,497474835,389520823.6,33782312.36,91,58.3,Reconciled
28/09/2022,2022,9,Ministry of Health,115005563,115421547.4,14995150.85,132,87.1,Pending
28/09/2022,2022,9,Ministry of Education,113021222,82429407.4,11937650.44,162,94.2,Pending
28/09/2022,2022,9,Ministry of Agriculture,274961361,262109712.2,61174073.77,159,69.6,Reconciled
28/09/2022,2022,9,Ministry of Commerce and Industry,347444276,350158122.8,32002720.2,98,92.5,Pending
28/09/2022,2022,9,Ministry of Lands and Survey,413064056,433362426.1,98439869.88,747,51.7,Pending
28/09/2022,2022,9,Ministry of Transport,128916887,130410735,31645986.84,314,72.1,Reconciled
28/09/2022,2022,9,Katsina Urban Planning Authority,135511290,119734106.1,21654716.2,754,72.4,Reconciled
28/09/2022,2022,9,State Water Board,456415704,465224402.4,68220003.38,833,78.4,Exception Noted
28/10/2022,2022,10,Katsina State Internal Revenue Service,101671825,115505569.1,23860433.2,745,92.6,Exception Noted
28/10/2022,2022,10,Ministry of Works and Housing,111704080,73865030.47,11446815.59,898,62.6,Pending
28/10/2022,2022,10,Ministry of Health,305653820,294108700.1,61040537.12,880,55.9,Reconciled
28/10/2022,2022,10,Ministry of Education,532314294,343664428.4,64370902.83,190,93.2,Pending
28/10/2022,2022,10,Ministry of Agriculture,382174524,433809364.1,92901920.14,260,51.8,Reconciled
28/10/2022,2022,10,Ministry of Commerce and Industry,114677299,69484838.2,13098887.48,729,61.6,Reconciled
28/10/2022,2022,10,Ministry of Lands and Survey,153126974,107816767.2,18429984.58,859,49.2,Exception Noted
28/10/2022,2022,10,Ministry of Transport,242484197,248042060,32340027.06,793,51.7,Exception Noted
28/10/2022,2022,10,Katsina Urban Planning Authority,211214143,156060887.5,16400050.11,895,66.5,Reconciled
28/10/2022,2022,10,State Water Board,321683588,307575467.6,65759661.17,554,56.4,Reconciled
28/11/2022,2022,11,Katsina State Internal Revenue Service,97611671,57014910.12,13818121.62,300,63.3,Pending
28/11/2022,2022,11,Ministry of Works and Housing,455014535,428920503,41683506.7,735,86.7,Exception Noted
28/11/2022,2022,11,Ministry of Health,507796056,420434361.8,98270648.25,712,74.9,Pending
28/11/2022,2022,11,Ministry of Education,363660893,343703582.2,28078630,285,46,Pending
28/11/2022,2022,11,Ministry of Agriculture,470641132,451295793.2,79109219.07,615,81.3,Pending
28/11/2022,2022,11,Ministry of Commerce and Industry,489419155,476256116.6,96257043.02,899,63.1,Pending
28/11/2022,2022,11,Ministry of Lands and Survey,191544401,199712825,41874213.53,131,78.2,Reconciled
28/11/2022,2022,11,Ministry of Transport,231153886,149279629.5,22448283.1,842,86.6,Exception Noted
28/11/2022,2022,11,Katsina Urban Planning Authority,91776114,72160130.54,17761308.99,762,81.5,Pending
28/11/2022,2022,11,State Water Board,307834878,267921657.2,49373664.29,458,51,Reconciled
28/12/2022,2022,12,Katsina State Internal Revenue Service,444143378,497384629.5,69658724.98,889,63.2,Pending
28/12/2022,2022,12,Ministry of Works and Housing,145222125,163424092.2,35205330.77,740,63.4,Pending
28/12/2022,2022,12,Ministry of Health,173786780,101378049.9,16986692.02,648,46.9,Pending
28/12/2022,2022,12,Ministry of Education,157622383,112786051.9,23053914.13,288,52.6,Exception Noted
28/12/2022,2022,12,Ministry of Agriculture,446753591,409028296.3,59250831.8,893,55.4,Reconciled
28/12/2022,2022,12,Ministry of Commerce and Industry,432795213,343592429.4,35351160.26,208,74,Reconciled
28/12/2022,2022,12,Ministry of Lands and Survey,403525429,273363969.9,23337214.79,475,53,Exception Noted
28/12/2022,2022,12,Ministry of Transport,463161043,442228358.6,66107277.92,487,74,Pending
28/12/2022,2022,12,Katsina Urban Planning Authority,338785177,364217039.3,72293666.29,819,57.7,Pending
28/12/2022,2022,12,State Water Board,354472017,268606918.7,21894260.08,471,80.9,Exception Noted
28/01/2023,2023,1,Katsina State Internal Revenue Service,391001363,217296913.2,42711402.44,454,80.9,Exception Noted
28/01/2023,2023,1,Ministry of Works and Housing,462459114,298074002.2,70309282.5,92,94.3,Exception Noted
28/01/2023,2023,1,Ministry of Health,277596899,209837322.1,20788487.37,547,86.6,Reconciled
28/01/2023,2023,1,Ministry of Education,329584301,190181464.2,39191108.31,628,54.4,Exception Noted
28/01/2023,2023,1,Ministry of Agriculture,536418874,357665692.4,32307569.38,82,60.1,Exception Noted
28/01/2023,2023,1,Ministry of Commerce and Industry,227626498,237557988.9,39882300.46,733,46.6,Exception Noted
28/01/2023,2023,1,Ministry of Lands and Survey,95516792,99734368.28,16713196.54,805,45.7,Exception Noted
28/01/2023,2023,1,Ministry of Transport,472358896,445450225.9,39085898.8,707,45.3,Exception Noted
28/01/2023,2023,1,Katsina Urban Planning Authority,242731292,194013696.3,20586279.61,869,59.8,Exception Noted
28/01/2023,2023,1,State Water Board,137972238,100075462,12806690.39,595,64.7,Exception Noted
28/02/2023,2023,2,Katsina State Internal Revenue Service,541344118,360185253.9,35053859.81,673,67.3,Exception Noted
28/02/2023,2023,2,Ministry of Works and Housing,96597024,73453781.26,17864121.23,708,86.3,Exception Noted
28/02/2023,2023,2,Ministry of Health,350386639,248078258.6,47693916.64,195,61.7,Exception Noted
28/02/2023,2023,2,Ministry of Education,528844730,371475719.3,87153853.53,306,85.2,Reconciled
28/02/2023,2023,2,Ministry of Agriculture,469666817,498487102,81639299.09,659,75,Pending
28/02/2023,2023,2,Ministry of Commerce and Industry,357084161,325900367.6,37116913.32,585,50.1,Exception Noted
28/02/2023,2023,2,Ministry of Lands and Survey,325250708,269102609.2,49941945.06,719,68.7,Pending
28/02/2023,2023,2,Ministry of Transport,469603398,519038168.9,59305253.64,328,64,Reconciled
28/02/2023,2023,2,Katsina Urban Planning Authority,477375522,280410773.2,48507084.27,161,84.5,Pending
28/02/2023,2023,2,State Water Board,491452501,306029457.2,67657907.79,149,76.6,Reconciled
28/03/2023,2023,3,Katsina State Internal Revenue Service,127721138,122414920.6,23181425.04,649,94.2,Pending
28/03/2023,2023,3,Ministry of Works and Housing,275421546,225316977.1,31507551.48,716,52.6,Reconciled
28/03/2023,2023,3,Ministry of Health,442858775,320215009.9,62129079.79,541,63.6,Exception Noted
28/03/2023,2023,3,Ministry of Education,516283336,297246013.8,69564994.03,467,86.1,Reconciled
28/03/2023,2023,3,Ministry of Agriculture,422176354,415393542.4,37052270.67,529,69.1,Pending
28/03/2023,2023,3,Ministry of Commerce and Industry,433289680,439633227.5,74330498.56,349,66.7,Pending
28/03/2023,2023,3,Ministry of Lands and Survey,345416722,385364657.8,85971282.91,893,72.3,Pending
28/03/2023,2023,3,Ministry of Transport,458893866,390566979.5,61924560.88,634,57.5,Exception Noted
28/03/2023,2023,3,Katsina Urban Planning Authority,85791895,58973535,12485909.05,96,53.5,Exception Noted
28/03/2023,2023,3,State Water Board,401042608,356818976.9,45715159.3,501,72.9,Reconciled
28/04/2023,2023,4,Katsina State Internal Revenue Service,264442480,219887670.6,18563329.46,235,47.6,Exception Noted
28/04/2023,2023,4,Ministry of Works and Housing,520919865,523563431.1,126756168.1,712,90.5,Exception Noted
28/04/2023,2023,4,Ministry of Health,406664726,446459367,106658038.9,313,86.2,Exception Noted
28/04/2023,2023,4,Ministry of Education,349209525,386391387.3,44000716.71,647,47.6,Pending
28/04/2023,2023,4,Ministry of Agriculture,300737387,305667370.9,56822159.54,418,51.6,Exception Noted
